.HEADER
..NAMES
Time,V U1.N24
.DATA
1.40427e-008,1.2619
1.40851e-008,1.2620
1.41275e-008,1.2620
1.41699e-008,1.2620
1.42124e-008,1.2619
1.42548e-008,1.2619
1.42972e-008,1.2619
1.43397e-008,1.2619
1.43821e-008,1.2620
1.44245e-008,1.2620
1.44669e-008,1.2620
1.45094e-008,1.2620
1.45518e-008,1.2619
1.45942e-008,1.2619
1.46366e-008,1.2619
1.46790e-008,1.2619
1.47215e-008,1.2620
1.47639e-008,1.2620
1.48063e-008,1.2620
1.48487e-008,1.2619
1.48912e-008,1.2619
1.49336e-008,1.2619
1.49760e-008,1.2619
1.50185e-008,1.2619
1.50609e-008,1.2619
1.51033e-008,1.2619
1.51457e-008,1.2619
1.51881e-008,1.2619
1.52306e-008,1.2619
1.52730e-008,1.2619
1.53154e-008,1.2619
1.53579e-008,1.2619
1.54003e-008,1.2619
1.54427e-008,1.2619
1.54851e-008,1.2619
1.55276e-008,1.2619
1.55700e-008,1.2619
1.56124e-008,1.2619
1.56548e-008,1.2619
1.56972e-008,1.2619
1.57397e-008,1.2619
1.57821e-008,1.2619
1.58245e-008,1.2619
1.58670e-008,1.2619
1.59094e-008,1.2619
1.59518e-008,1.2619
1.59942e-008,1.2619
1.60366e-008,1.2619
1.60791e-008,1.2619
1.61215e-008,1.2619
1.61639e-008,1.2619
1.62064e-008,1.2619
1.62488e-008,1.2619
1.62912e-008,1.2619
1.63336e-008,1.2430
1.63761e-008,1.0573
1.64185e-008,0.8398
1.64609e-008,0.6570
1.65033e-008,0.4896
1.65457e-008,0.3752
1.65882e-008,0.3262
1.66306e-008,0.2954
1.66730e-008,0.2821
1.67155e-008,0.2605
1.67579e-008,0.2429
1.68003e-008,0.2327
1.68427e-008,0.2402
1.68851e-008,0.2621
1.69276e-008,0.2927
1.69700e-008,0.3235
1.70124e-008,0.3227
1.70548e-008,0.2952
1.70973e-008,0.2638
1.71397e-008,0.2258
1.71821e-008,0.2051
1.72246e-008,0.2106
1.72670e-008,0.2187
1.73094e-008,0.3648
1.73518e-008,0.5649
1.73942e-008,0.7556
1.74367e-008,0.9329
1.74791e-008,1.0477
1.75215e-008,1.1113
1.75640e-008,1.1565
1.76064e-008,1.1792
1.76488e-008,1.2070
1.76912e-008,1.2229
1.77336e-008,1.2320
1.77761e-008,1.2253
1.78185e-008,1.2072
1.78609e-008,1.1838
1.79033e-008,1.1569
1.79458e-008,1.1546
1.79882e-008,1.1769
1.80306e-008,1.2048
1.80731e-008,1.2401
1.81155e-008,1.2611
1.81579e-008,1.2596
1.82003e-008,1.2556
1.82427e-008,1.2513
1.82852e-008,1.2505
1.83276e-008,1.2556
1.83700e-008,1.2588
1.84125e-008,1.2599
1.84549e-008,1.2588
1.84973e-008,1.2557
1.85397e-008,1.2542
1.85822e-008,1.2553
1.86246e-008,1.2591
1.86670e-008,1.2641
1.87094e-008,1.2691
1.87518e-008,1.2713
1.87943e-008,1.2683
1.88367e-008,1.2641
