.HEADER
..NAMES
Time,V U1.P26
.DATA
2.80005e-008,0.0732
2.80429e-008,0.0841
2.80854e-008,0.0760
2.81278e-008,0.0626
2.81702e-008,0.0501
2.82126e-008,0.0344
2.82550e-008,0.0242
2.82975e-008,0.0269
2.83399e-008,0.0362
2.83823e-008,0.0483
2.84248e-008,0.0592
2.84672e-008,0.0620
2.85096e-008,0.0575
2.85520e-008,0.0502
2.85944e-008,0.0411
2.86369e-008,0.0345
2.86793e-008,0.0294
2.87217e-008,0.0190
2.87642e-008,0.0047
2.88066e-008,-0.0081
2.88490e-008,-0.0199
2.88914e-008,-0.0296
2.89339e-008,-0.0325
2.89763e-008,-0.0297
2.90187e-008,-0.0221
2.90611e-008,0.0320
2.91035e-008,0.1313
2.91460e-008,0.2961
2.91884e-008,0.4497
2.92308e-008,0.5745
2.92733e-008,0.6678
2.93157e-008,0.7294
2.93581e-008,0.7706
2.94005e-008,0.7886
2.94429e-008,0.8023
2.94854e-008,0.8114
2.95278e-008,0.8259
2.95702e-008,0.8410
2.96127e-008,0.8581
2.96551e-008,0.8715
2.96975e-008,0.8882
2.97399e-008,0.9248
2.97824e-008,1.0067
2.98248e-008,1.1292
2.98672e-008,1.2681
2.99096e-008,1.3907
2.99521e-008,1.3639
2.99945e-008,1.1082
3.00369e-008,0.9026
3.00793e-008,0.7287
3.01218e-008,0.6251
3.01642e-008,0.5845
3.02066e-008,0.5738
3.02490e-008,0.6020
3.02914e-008,0.6658
3.03339e-008,0.7031
3.03763e-008,0.7002
3.04187e-008,0.7027
3.04612e-008,0.6865
3.05036e-008,0.6524
3.05460e-008,0.6600
3.05884e-008,0.6705
3.06309e-008,0.5612
3.06733e-008,0.3586
3.07157e-008,0.1299
3.07581e-008,-0.0759
3.08005e-008,-0.2107
3.08430e-008,-0.2251
3.08854e-008,-0.1824
3.09278e-008,-0.1237
3.09702e-008,-0.0740
3.10127e-008,-0.0557
3.10551e-008,-0.0441
3.10975e-008,-0.0393
3.11400e-008,-0.0736
3.11824e-008,-0.1174
3.12248e-008,-0.1276
3.12672e-008,-0.1218
3.13096e-008,-0.1044
3.13521e-008,-0.0683
3.13945e-008,-0.0421
3.14369e-008,-0.0440
3.14793e-008,-0.0407
3.15218e-008,-0.0129
3.15642e-008,0.0368
3.16066e-008,0.0898
3.16491e-008,0.1242
3.16915e-008,0.1315
3.17339e-008,0.1214
3.17763e-008,0.0939
3.18188e-008,0.0505
3.18612e-008,0.0498
3.19036e-008,0.1362
