.HEADER
..NAMES
Time,V U1.T24
.DATA
1.46790e-008,1.2625
1.47215e-008,1.2640
1.47639e-008,1.2639
1.48063e-008,1.2631
1.48487e-008,1.2625
1.48912e-008,1.2628
1.49336e-008,1.2636
1.49760e-008,1.2640
1.50185e-008,1.2636
1.50609e-008,1.2629
1.51033e-008,1.2620
1.51457e-008,1.2617
1.51881e-008,1.2624
1.52306e-008,1.2634
1.52730e-008,1.2640
1.53154e-008,1.2640
1.53579e-008,1.2633
1.54003e-008,1.2368
1.54427e-008,1.0330
1.54851e-008,0.8136
1.55276e-008,0.6116
1.55700e-008,0.4373
1.56124e-008,0.3324
1.56548e-008,0.2882
1.56972e-008,0.2610
1.57397e-008,0.2688
1.57821e-008,0.2638
1.58245e-008,0.2706
1.58670e-008,0.2938
1.59094e-008,0.2997
1.59518e-008,0.2960
1.59942e-008,0.2898
1.60366e-008,0.2624
1.60791e-008,0.2383
1.61215e-008,0.2440
1.61639e-008,0.2650
1.62064e-008,0.2885
1.62488e-008,0.3009
1.62912e-008,0.2893
1.63336e-008,0.2619
1.63761e-008,0.3819
1.64185e-008,0.5729
1.64609e-008,0.8009
1.65033e-008,1.0046
1.65457e-008,1.1200
1.65882e-008,1.1754
1.66306e-008,1.2041
1.66730e-008,1.1996
1.67155e-008,1.2139
1.67579e-008,1.2125
1.68003e-008,1.1918
1.68427e-008,1.1789
1.68851e-008,1.1726
1.69276e-008,1.1739
1.69700e-008,1.2005
1.70124e-008,1.2296
1.70548e-008,1.2390
1.70973e-008,1.2265
1.71397e-008,1.1957
1.71821e-008,1.1717
1.72246e-008,1.1733
1.72670e-008,1.1816
1.73094e-008,1.0331
1.73518e-008,0.8110
1.73942e-008,0.6075
1.74367e-008,0.4164
1.74791e-008,0.3104
1.75215e-008,0.2724
1.75640e-008,0.2505
1.76064e-008,0.2648
1.76488e-008,0.2612
1.76912e-008,0.2638
1.77336e-008,0.2883
1.77761e-008,0.3015
1.78185e-008,0.3003
1.78609e-008,0.2994
1.79033e-008,0.2714
1.79458e-008,0.2406
1.79882e-008,0.2376
1.80306e-008,0.2564
1.80731e-008,0.2851
1.81155e-008,0.3044
1.81579e-008,0.2977
1.82003e-008,0.2641
1.82427e-008,0.3448
1.82852e-008,0.5301
1.83276e-008,0.7454
1.83700e-008,0.9730
1.84125e-008,1.1059
1.84549e-008,1.1684
1.84973e-008,1.2018
1.85397e-008,1.1986
1.85822e-008,1.2100
1.86246e-008,1.2138
1.86670e-008,1.1965
1.87094e-008,1.1805
1.87518e-008,1.1743
1.87943e-008,1.1703
1.88367e-008,1.1933
1.88791e-008,1.2242
1.89216e-008,1.2391
1.89640e-008,1.2319
1.90064e-008,1.2030
1.90488e-008,1.1750
1.90912e-008,1.1698
1.91337e-008,1.1817
1.91761e-008,1.0742
1.92185e-008,0.8486
1.92610e-008,0.6534
1.93034e-008,0.4478
1.93458e-008,0.3246
1.93882e-008,0.2784
1.94307e-008,0.2522
1.94731e-008,0.2613
1.95155e-008,0.2633
1.95579e-008,0.2616
1.96003e-008,0.2829
1.96428e-008,0.3012
1.96852e-008,0.2994
1.97276e-008,0.3016
1.97701e-008,0.2783
1.98125e-008,0.2452
1.98549e-008,0.2360
1.98973e-008,0.2517
1.99397e-008,0.2792
1.99822e-008,0.3021
2.00246e-008,0.3014
2.00670e-008,0.2719
2.01095e-008,0.3174
2.01519e-008,0.4934
2.01943e-008,0.6931
2.02367e-008,0.9373
2.02792e-008,1.0861
2.03216e-008,1.1583
2.03640e-008,1.1975
2.04064e-008,1.2005
2.04488e-008,1.2066
2.04913e-008,1.2150
2.05337e-008,1.2010
2.05761e-008,1.1820
2.06186e-008,1.1763
2.06610e-008,1.1690
2.07034e-008,1.1874
2.07458e-008,1.2187
2.07882e-008,1.2380
2.08307e-008,1.2350
2.08731e-008,1.2096
2.09155e-008,1.1791
2.09580e-008,1.1685
2.10004e-008,1.1875
2.10428e-008,1.2249
2.10852e-008,1.2608
2.11277e-008,1.2748
2.11701e-008,1.2670
2.12125e-008,1.2557
2.12549e-008,1.2492
2.12973e-008,1.2489
2.13398e-008,1.2558
2.13822e-008,1.2598
2.14246e-008,1.2583
2.14671e-008,1.2580
2.15095e-008,1.2593
2.15519e-008,1.2631
2.15943e-008,1.2691
2.16367e-008,1.2717
2.16792e-008,1.2699
2.17216e-008,1.2649
2.17640e-008,1.2581
2.18064e-008,1.2563
2.18489e-008,1.2600
2.18913e-008,1.2654
2.19337e-008,1.2703
2.19762e-008,1.2704
2.20186e-008,1.2653
2.20610e-008,1.2604
2.21034e-008,1.2586
2.21458e-008,1.2600
2.21883e-008,1.2630
2.22307e-008,1.2645
2.22731e-008,1.2640
2.23156e-008,1.2628
2.23580e-008,1.2620
2.24004e-008,1.2625
2.24428e-008,1.2637
2.24852e-008,1.2641
2.25277e-008,1.2635
2.25701e-008,1.2626
2.26125e-008,1.2615
2.26549e-008,1.2613
