.HEADER
..NAMES
Time,V U1.W24&W25
.DATA
2.44813e-008,1.1904
2.45237e-008,1.1914
2.45662e-008,1.1885
2.46086e-008,1.1890
2.46510e-008,1.2062
2.46934e-008,1.2319
2.47359e-008,1.2449
2.47783e-008,1.2326
2.48207e-008,1.0771
2.48631e-008,0.8542
2.49055e-008,0.6519
2.49480e-008,0.4879
2.49904e-008,0.3692
2.50328e-008,0.2938
2.50753e-008,0.2643
2.51177e-008,0.2700
2.51601e-008,0.2876
2.52025e-008,0.3185
2.52449e-008,0.3420
2.52874e-008,0.3312
2.53298e-008,0.3060
2.53722e-008,0.2881
2.54146e-008,0.2877
2.54571e-008,0.2898
2.54995e-008,0.2906
2.55419e-008,0.2899
2.55844e-008,0.2740
2.56268e-008,0.2398
2.56692e-008,0.2155
2.57116e-008,0.2142
2.57540e-008,0.3285
2.57965e-008,0.5091
2.58389e-008,0.6980
2.58813e-008,0.8847
2.59238e-008,1.0228
2.59662e-008,1.1139
2.60086e-008,1.1588
2.60510e-008,1.1693
2.60935e-008,1.1696
2.61359e-008,1.1496
2.61783e-008,1.1317
2.62207e-008,1.1370
2.62631e-008,1.1531
2.63056e-008,1.1779
2.63480e-008,1.1893
2.63904e-008,1.1918
2.64329e-008,1.1890
2.64753e-008,1.1880
2.65177e-008,1.2013
2.65601e-008,1.2276
2.66025e-008,1.2433
2.66450e-008,1.2404
2.66874e-008,1.1168
2.67298e-008,0.8938
2.67723e-008,0.6917
2.68147e-008,0.5167
2.68571e-008,0.3880
2.68995e-008,0.3062
2.69420e-008,0.2663
2.69844e-008,0.2682
2.70268e-008,0.2828
2.70692e-008,0.3117
2.71116e-008,0.3404
2.71541e-008,0.3350
2.71965e-008,0.3113
2.72389e-008,0.2898
2.72814e-008,0.2873
2.73238e-008,0.2894
2.73662e-008,0.2906
2.74086e-008,0.2905
2.74510e-008,0.2791
2.74935e-008,0.2466
2.75359e-008,0.2186
2.75783e-008,0.2135
2.76208e-008,0.2992
2.76632e-008,0.4748
2.77056e-008,0.6552
2.77480e-008,0.8528
2.77905e-008,1.0001
2.78329e-008,1.0981
2.78753e-008,1.1537
2.79177e-008,1.1677
2.79601e-008,1.1713
2.80026e-008,1.1546
2.80450e-008,1.1334
2.80874e-008,1.1349
2.81299e-008,1.1487
2.81723e-008,1.1738
2.82147e-008,1.1879
2.82571e-008,1.1919
2.82995e-008,1.1896
2.83420e-008,1.1876
2.83844e-008,1.1970
2.84268e-008,1.2227
2.84693e-008,1.2413
2.85117e-008,1.2451
2.85541e-008,1.1532
2.85965e-008,0.9362
2.86390e-008,0.7343
2.86814e-008,0.5462
2.87238e-008,0.4087
2.87662e-008,0.3197
2.88086e-008,0.2704
2.88511e-008,0.2664
2.88935e-008,0.2787
2.89359e-008,0.3051
2.89784e-008,0.3369
2.90208e-008,0.3383
2.90632e-008,0.3166
2.91056e-008,0.2924
2.91480e-008,0.2870
2.91905e-008,0.2890
2.92329e-008,0.2905
2.92753e-008,0.2907
2.93178e-008,0.2832
2.93602e-008,0.2537
2.94026e-008,0.2225
2.94450e-008,0.2121
2.94875e-008,0.2709
2.95299e-008,0.4393
2.95723e-008,0.6159
2.96147e-008,0.8200
2.96571e-008,0.9755
2.96996e-008,1.0816
2.97420e-008,1.1466
2.97844e-008,1.1660
2.98269e-008,1.1719
2.98693e-008,1.1591
2.99117e-008,1.1362
2.99541e-008,1.1333
2.99965e-008,1.1450
3.00390e-008,1.1690
3.00814e-008,1.1862
3.01238e-008,1.1917
3.01663e-008,1.1902
3.02087e-008,1.1876
3.02511e-008,1.1935
3.02935e-008,1.2174
3.03360e-008,1.2389
3.03784e-008,1.2470
3.04208e-008,1.1883
3.04632e-008,0.9807
3.05056e-008,0.7749
3.05481e-008,0.5767
3.05905e-008,0.4318
3.06329e-008,0.3340
3.06753e-008,0.2759
3.07178e-008,0.2649
3.07602e-008,0.2752
3.08026e-008,0.2990
3.08451e-008,0.3318
3.08875e-008,0.3407
3.09299e-008,0.3217
3.09723e-008,0.2960
3.10147e-008,0.2869
3.10572e-008,0.2886
3.10996e-008,0.2903
3.11420e-008,0.2907
3.11844e-008,0.2864
3.12269e-008,0.2606
3.12693e-008,0.2273
3.13117e-008,0.2113
3.13542e-008,0.2417
3.13966e-008,0.4032
3.14390e-008,0.5807
3.14814e-008,0.7842
3.15239e-008,0.9483
3.15663e-008,1.0647
3.16087e-008,1.1382
3.16511e-008,1.1642
3.16935e-008,1.1716
3.17360e-008,1.1631
3.17784e-008,1.1399
3.18208e-008,1.1320
3.18633e-008,1.1420
3.19057e-008,1.1639
3.19481e-008,1.1842
3.19905e-008,1.1912
3.20330e-008,1.1908
3.20754e-008,1.1879
3.21178e-008,1.1909
3.21602e-008,1.2120
3.22026e-008,1.2359
3.22451e-008,1.2464
3.22875e-008,1.2160
3.23299e-008,1.0269
3.23723e-008,0.8123
3.24148e-008,0.6105
3.24572e-008,0.4575
3.24996e-008,0.3496
3.25421e-008,0.2829
3.25845e-008,0.2642
3.26269e-008,0.2724
3.26693e-008,0.2933
3.27117e-008,0.3258
3.27542e-008,0.3420
3.27966e-008,0.3264
3.28390e-008,0.3004
3.28814e-008,0.2872
3.29239e-008,0.2882
3.29663e-008,0.2901
3.30087e-008,0.2906
3.30512e-008,0.2885
3.30936e-008,0.2673
3.31360e-008,0.2328
3.31784e-008,0.2129
3.32209e-008,0.2208
3.32633e-008,0.3659
3.33057e-008,0.5462
3.33481e-008,0.7446
3.33905e-008,0.9189
3.34330e-008,1.0459
3.34754e-008,1.1283
3.35178e-008,1.1621
3.35603e-008,1.1708
3.36027e-008,1.1666
3.36451e-008,1.1442
3.36875e-008,1.1313
3.37300e-008,1.1394
3.37724e-008,1.1586
3.38148e-008,1.1816
3.38572e-008,1.1904
3.38996e-008,1.1914
3.39421e-008,1.1884
3.39845e-008,1.1891
3.40269e-008,1.2067
3.40694e-008,1.2323
3.41118e-008,1.2450
3.41542e-008,1.2319
3.41966e-008,1.0724
3.42391e-008,0.8498
3.42815e-008,0.6476
3.43239e-008,0.4847
3.43663e-008,0.3671
3.44087e-008,0.2924
3.44512e-008,0.2642
3.44936e-008,0.2702
3.45360e-008,0.2880
3.45784e-008,0.3193
3.46209e-008,0.3421
3.46633e-008,0.3307
3.47057e-008,0.3054
3.47482e-008,0.2880
3.47906e-008,0.2878
3.48330e-008,0.2898
3.48754e-008,0.2906
3.49178e-008,0.2898
3.49603e-008,0.2733
3.50027e-008,0.2390
3.50451e-008,0.2152
3.50875e-008,0.2143
3.51300e-008,0.3316
3.51724e-008,0.5125
3.52148e-008,0.7025
3.52573e-008,0.8880
3.52997e-008,1.0251
3.53421e-008,1.1155
3.53845e-008,1.1592
3.54270e-008,1.1695
3.54694e-008,1.1693
3.55118e-008,1.1491
3.55542e-008,1.1316
3.55966e-008,1.1371
3.56391e-008,1.1536
3.56815e-008,1.1783
3.57239e-008,1.1894
3.57664e-008,1.1917
3.58088e-008,1.1889
3.58512e-008,1.1880
3.58936e-008,1.2017
3.59361e-008,1.2280
3.59785e-008,1.2434
3.60209e-008,1.2399
3.60633e-008,1.1127
3.61057e-008,0.8891
3.61482e-008,0.6870
3.61906e-008,0.5133
3.62330e-008,0.3858
3.62754e-008,0.3047
3.63179e-008,0.2659
3.63603e-008,0.2684
3.64027e-008,0.2832
3.64452e-008,0.3125
3.64876e-008,0.3406
3.65300e-008,0.3346
3.65724e-008,0.3107
3.66148e-008,0.2895
3.66573e-008,0.2873
3.66997e-008,0.2894
3.67421e-008,0.2906
3.67845e-008,0.2904
3.68270e-008,0.2786
3.68694e-008,0.2458
3.69118e-008,0.2182
3.69543e-008,0.2135
3.69967e-008,0.3019
3.70391e-008,0.4783
3.70815e-008,0.6596
3.71240e-008,0.8562
3.71664e-008,1.0025
3.72088e-008,1.0998
3.72512e-008,1.1544
3.72936e-008,1.1678
3.73361e-008,1.1712
3.73785e-008,1.1540
3.74209e-008,1.1331
3.74634e-008,1.1351
3.75058e-008,1.1491
3.75482e-008,1.1742
3.75906e-008,1.1881
3.76331e-008,1.1918
3.76755e-008,1.1895
3.77179e-008,1.1876
3.77603e-008,1.1974
3.78027e-008,1.2232
3.78452e-008,1.2415
3.78876e-008,1.2448
3.79300e-008,1.1491
3.79725e-008,0.9312
3.80149e-008,0.7295
3.80573e-008,0.5428
3.80997e-008,0.4062
3.81422e-008,0.3181
3.81846e-008,0.2698
3.82270e-008,0.2665
3.82694e-008,0.2790
3.83118e-008,0.3058
3.83543e-008,0.3374
3.83967e-008,0.3380
3.84391e-008,0.3160
3.84815e-008,0.2920
3.85240e-008,0.2870
3.85664e-008,0.2890
3.86088e-008,0.2905
3.86513e-008,0.2907
3.86937e-008,0.2828
3.87361e-008,0.2528
3.87785e-008,0.2220
3.88210e-008,0.2122
3.88634e-008,0.2736
3.89058e-008,0.4429
3.89482e-008,0.6198
3.89906e-008,0.8234
3.90331e-008,0.9782
3.90755e-008,1.0833
3.91179e-008,1.1474
3.91604e-008,1.1662
3.92028e-008,1.1719
3.92452e-008,1.1586
3.92876e-008,1.1358
3.93301e-008,1.1333
3.93725e-008,1.1454
3.94149e-008,1.1695
3.94573e-008,1.1864
3.94997e-008,1.1917
3.95422e-008,1.1901
3.95846e-008,1.1875
3.96270e-008,1.1938
3.96695e-008,1.2179
3.97119e-008,1.2391
3.97543e-008,1.2470
3.97967e-008,1.1845
3.98392e-008,0.9755
3.98816e-008,0.7704
3.99240e-008,0.5731
3.99664e-008,0.4291
4.00088e-008,0.3323
4.00513e-008,0.2751
4.00937e-008,0.2650
4.01361e-008,0.2755
4.01785e-008,0.2996
4.02210e-008,0.3325
4.02634e-008,0.3405
4.03058e-008,0.3211
4.03483e-008,0.2955
4.03907e-008,0.2869
4.04331e-008,0.2887
4.04755e-008,0.2903
4.05179e-008,0.2907
4.05604e-008,0.2861
4.06028e-008,0.2599
4.06452e-008,0.2266
4.06876e-008,0.2112
4.07301e-008,0.2441
4.07725e-008,0.4069
4.08149e-008,0.5842
4.08574e-008,0.7881
4.08998e-008,0.9513
4.09422e-008,1.0665
4.09846e-008,1.1390
4.10271e-008,1.1643
4.10695e-008,1.1716
4.11119e-008,1.1627
4.11543e-008,1.1394
4.11967e-008,1.1321
4.12392e-008,1.1422
4.12816e-008,1.1644
4.13240e-008,1.1844
4.13665e-008,1.1913
4.14089e-008,1.1907
4.14513e-008,1.1878
4.14937e-008,1.1911
4.15362e-008,1.2125
4.15786e-008,1.2362
4.16210e-008,1.2465
4.16634e-008,1.2138
4.17058e-008,1.0216
4.17483e-008,0.8080
4.17907e-008,0.6064
4.18331e-008,0.4545
4.18756e-008,0.3478
4.19180e-008,0.2818
4.19604e-008,0.2642
4.20028e-008,0.2727
4.20453e-008,0.2939
4.20877e-008,0.3265
4.21301e-008,0.3420
4.21725e-008,0.3258
4.22149e-008,0.2998
4.22574e-008,0.2871
4.22998e-008,0.2882
4.23422e-008,0.2901
4.23846e-008,0.2906
4.24271e-008,0.2883
4.24695e-008,0.2666
4.25119e-008,0.2321
4.25544e-008,0.2126
4.25968e-008,0.2218
4.26392e-008,0.3695
4.26816e-008,0.5497
4.27241e-008,0.7489
4.27665e-008,0.9221
4.28089e-008,1.0481
4.28513e-008,1.1294
4.28937e-008,1.1624
4.29362e-008,1.1709
4.29786e-008,1.1662
4.30210e-008,1.1437
4.30635e-008,1.1313
4.31059e-008,1.1396
4.31483e-008,1.1591
4.31907e-008,1.1819
4.32332e-008,1.1905
4.32756e-008,1.1913
4.33180e-008,1.1883
4.33604e-008,1.1892
4.34028e-008,1.2072
4.34453e-008,1.2327
4.34877e-008,1.2451
4.35301e-008,1.2312
4.35726e-008,1.0676
4.36150e-008,0.8454
4.36574e-008,0.6432
4.36998e-008,0.4815
4.37423e-008,0.3650
4.37847e-008,0.2911
4.38271e-008,0.2640
4.38695e-008,0.2703
4.39119e-008,0.2886
4.39544e-008,0.3200
4.39968e-008,0.3422
4.40392e-008,0.3302
4.40816e-008,0.3048
4.41241e-008,0.2878
4.41665e-008,0.2878
4.42089e-008,0.2898
4.42514e-008,0.2906
4.42938e-008,0.2897
4.43362e-008,0.2727
4.43786e-008,0.2382
4.44210e-008,0.2148
4.44635e-008,0.2143
4.45059e-008,0.3348
4.45483e-008,0.5159
4.45907e-008,0.7070
4.46332e-008,0.8914
4.46756e-008,1.0274
4.47180e-008,1.1170
4.47605e-008,1.1597
4.48029e-008,1.1696
4.48453e-008,1.1691
4.48877e-008,1.1485
4.49302e-008,1.1314
4.49726e-008,1.1373
4.50150e-008,1.1541
4.50574e-008,1.1787
4.50998e-008,1.1895
4.51423e-008,1.1916
4.51847e-008,1.1888
4.52271e-008,1.1881
4.52696e-008,1.2022
4.53120e-008,1.2285
4.53544e-008,1.2436
