.HEADER
..NAMES
Time,V U1.P24
.DATA
1.62064e-008,0.2175
1.62488e-008,0.2175
1.62912e-008,0.2172
1.63336e-008,0.2167
1.63761e-008,0.2163
1.64185e-008,0.2163
1.64609e-008,0.2164
1.65033e-008,0.2167
1.65457e-008,0.2169
1.65882e-008,0.2170
1.66306e-008,0.2169
1.66730e-008,0.2167
1.67155e-008,0.2166
1.67579e-008,0.2166
1.68003e-008,0.2166
1.68427e-008,0.2167
1.68851e-008,0.2168
1.69276e-008,0.2168
1.69700e-008,0.2168
1.70124e-008,0.2168
1.70548e-008,0.2168
1.70973e-008,0.2167
1.71397e-008,0.2167
1.71821e-008,0.2167
1.72246e-008,0.2167
1.72670e-008,0.2201
1.73094e-008,0.3484
1.73518e-008,0.5369
1.73942e-008,0.7519
1.74367e-008,0.9514
1.74791e-008,1.0758
1.75215e-008,1.1422
1.75640e-008,1.1767
1.76064e-008,1.1839
1.76488e-008,1.2027
1.76912e-008,1.2086
1.77336e-008,1.2135
1.77761e-008,1.2247
1.78185e-008,1.2331
1.78609e-008,1.2444
1.79033e-008,1.2437
1.79458e-008,1.2320
1.79882e-008,1.2116
1.80306e-008,1.1855
1.80731e-008,1.1706
1.81155e-008,1.1761
1.81579e-008,1.1951
1.82003e-008,1.2081
1.82427e-008,1.0497
1.82852e-008,0.8010
1.83276e-008,0.5904
1.83700e-008,0.4038
1.84125e-008,0.3056
1.84549e-008,0.2770
1.84973e-008,0.2612
1.85397e-008,0.2742
1.85822e-008,0.2665
1.86246e-008,0.2626
1.86670e-008,0.2614
1.87094e-008,0.2472
1.87518e-008,0.2329
1.87943e-008,0.2235
1.88367e-008,0.2287
1.88791e-008,0.2501
1.89216e-008,0.2779
1.89640e-008,0.3089
1.90064e-008,0.3234
1.90488e-008,0.3051
1.90912e-008,0.2738
1.91337e-008,0.2346
1.91761e-008,0.2057
1.92185e-008,0.2029
1.92610e-008,0.2129
1.93034e-008,0.2262
1.93458e-008,0.2328
1.93882e-008,0.2290
1.94307e-008,0.2229
1.94731e-008,0.2172
1.95155e-008,0.2136
1.95579e-008,0.2143
1.96003e-008,0.2153
1.96428e-008,0.2164
1.96852e-008,0.2189
1.97276e-008,0.2213
1.97701e-008,0.2224
1.98125e-008,0.2202
1.98549e-008,0.2159
1.98973e-008,0.2115
1.99397e-008,0.2081
1.99822e-008,0.2084
2.00246e-008,0.2119
2.00670e-008,0.2163
2.01095e-008,0.2199
2.01519e-008,0.2209
2.01943e-008,0.2193
2.02367e-008,0.2170
2.02792e-008,0.2150
2.03216e-008,0.2148
2.03640e-008,0.2158
2.04064e-008,0.2169
2.04488e-008,0.2177
2.04913e-008,0.2178
2.05337e-008,0.2174
2.05761e-008,0.2169
2.06186e-008,0.2166
2.06610e-008,0.2163
2.07034e-008,0.2160
2.07458e-008,0.2160
2.07882e-008,0.2164
2.08307e-008,0.2171
2.08731e-008,0.2176
2.09155e-008,0.2178
2.09580e-008,0.2175
