.HEADER
..NAMES
Time,V U1.W26
.DATA
1.40427e-008,1.0974
1.40851e-008,0.8564
1.41275e-008,0.6650
1.41699e-008,0.4975
1.42124e-008,0.3526
1.42548e-008,0.2727
1.42972e-008,0.2136
1.43397e-008,0.1796
1.43821e-008,0.1791
1.44245e-008,0.2239
1.44669e-008,0.2619
1.45094e-008,0.2888
1.45518e-008,0.2913
1.45942e-008,0.2665
1.46366e-008,0.2565
1.46790e-008,0.2858
1.47215e-008,0.3031
1.47639e-008,0.3010
1.48063e-008,0.2925
1.48487e-008,0.2664
1.48912e-008,0.2155
1.49336e-008,0.1886
1.49760e-008,0.1980
1.50185e-008,0.2025
1.50609e-008,0.2027
1.51033e-008,0.2101
1.51457e-008,0.2165
1.51881e-008,0.2187
1.52306e-008,0.2260
1.52730e-008,0.2363
1.53154e-008,0.2326
1.53579e-008,0.2212
1.54003e-008,0.2119
1.54427e-008,0.2056
1.54851e-008,0.2096
1.55276e-008,0.2187
1.55700e-008,0.2195
1.56124e-008,0.2151
1.56548e-008,0.2132
1.56972e-008,0.2112
1.57397e-008,0.2087
1.57821e-008,0.2145
1.58245e-008,0.2221
1.58670e-008,0.2203
1.59094e-008,0.2851
1.59518e-008,0.4479
1.59942e-008,0.6251
1.60366e-008,0.8252
1.60791e-008,0.9928
1.61215e-008,1.1057
1.61639e-008,1.1851
1.62064e-008,1.2321
1.62488e-008,1.2638
1.62912e-008,1.2594
1.63336e-008,1.2406
1.63761e-008,1.2183
1.64185e-008,1.1994
1.64609e-008,1.2002
1.65033e-008,1.2130
1.65457e-008,1.2067
1.65882e-008,1.1962
1.66306e-008,1.1880
1.66730e-008,1.1861
1.67155e-008,1.1943
1.67579e-008,1.2250
1.68003e-008,1.2523
1.68427e-008,1.1604
1.68851e-008,0.9256
1.69276e-008,0.7290
1.69700e-008,0.5487
1.70124e-008,0.3898
1.70548e-008,0.2922
1.70973e-008,0.2325
1.71397e-008,0.1930
1.71821e-008,0.1776
1.72246e-008,0.2074
1.72670e-008,0.2481
1.73094e-008,0.2768
1.73518e-008,0.2915
1.73942e-008,0.2786
1.74367e-008,0.2569
1.74791e-008,0.2764
1.75215e-008,0.2990
1.75640e-008,0.3003
1.76064e-008,0.2942
1.76488e-008,0.2793
1.76912e-008,0.2341
1.77336e-008,0.1935
1.77761e-008,0.2499
1.78185e-008,0.4412
1.78609e-008,0.6301
1.79033e-008,0.8398
1.79458e-008,1.0091
1.79882e-008,1.1219
1.80306e-008,1.2011
1.80731e-008,1.2595
1.81155e-008,1.2889
1.81579e-008,1.2702
1.82003e-008,1.2335
1.82427e-008,1.2033
1.82852e-008,1.1853
1.83276e-008,1.1977
1.83700e-008,1.2201
1.84125e-008,1.2095
1.84549e-008,1.1909
1.84973e-008,1.1794
1.85397e-008,1.1764
1.85822e-008,1.1899
1.86246e-008,1.2303
1.86670e-008,1.2682
1.87094e-008,1.2762
1.87518e-008,1.2748
1.87943e-008,1.2734
1.88367e-008,1.2670
1.88791e-008,1.2623
1.89216e-008,1.2609
1.89640e-008,1.2568
1.90064e-008,1.2465
1.90488e-008,1.2442
1.90912e-008,1.2521
1.91337e-008,1.2614
1.91761e-008,1.2712
1.92185e-008,1.2731
1.92610e-008,1.2660
1.93034e-008,1.2609
1.93458e-008,1.2617
1.93882e-008,1.2642
1.94307e-008,1.2669
1.94731e-008,1.2704
1.95155e-008,1.2682
1.95579e-008,1.2610
1.96003e-008,1.2590
1.96428e-008,1.2613
1.96852e-008,1.2621
1.97276e-008,1.2623
1.97701e-008,1.2630
1.98125e-008,1.2621
1.98549e-008,1.2605
1.98973e-008,1.2626
1.99397e-008,1.2657
1.99822e-008,1.2661
2.00246e-008,1.2649
2.00670e-008,1.2626
2.01095e-008,1.2607
2.01519e-008,1.2611
2.01943e-008,1.2629
2.02367e-008,1.2638
2.02792e-008,1.2636
2.03216e-008,1.2633
2.03640e-008,1.2622
2.04064e-008,1.2615
2.04488e-008,1.2628
2.04913e-008,1.2640
2.05337e-008,1.2635
2.05761e-008,1.2347
2.06186e-008,1.0448
2.06610e-008,0.8410
2.07034e-008,0.6601
2.07458e-008,0.4905
2.07882e-008,0.3492
2.08307e-008,0.2732
2.08731e-008,0.2249
2.09155e-008,0.1985
2.09580e-008,0.2002
2.10004e-008,0.2346
2.10428e-008,0.2566
2.10852e-008,0.2760
2.11277e-008,0.2811
2.11701e-008,0.2634
2.12125e-008,0.2663
2.12549e-008,0.2897
2.12973e-008,0.2963
2.13398e-008,0.2914
2.13822e-008,0.2854
2.14246e-008,0.2604
2.14671e-008,0.2157
2.15095e-008,0.1968
2.15519e-008,0.2020
2.15943e-008,0.2000
2.16367e-008,0.2017
2.16792e-008,0.2117
2.17216e-008,0.2189
2.17640e-008,0.2199
2.18064e-008,0.2260
2.18489e-008,0.2327
2.18913e-008,0.2274
2.19337e-008,0.2195
2.19762e-008,0.2135
2.20186e-008,0.2087
2.20610e-008,0.2121
2.21034e-008,0.2175
2.21458e-008,0.2167
2.21883e-008,0.2142
2.22307e-008,0.2142
2.22731e-008,0.2120
2.23156e-008,0.2096
2.23580e-008,0.2152
2.24004e-008,0.2205
2.24428e-008,0.2219
2.24852e-008,0.3292
2.25277e-008,0.5029
2.25701e-008,0.6942
2.26125e-008,0.8802
2.26549e-008,1.0346
2.26974e-008,1.1336
2.27398e-008,1.2037
2.27822e-008,1.2445
2.28247e-008,1.2660
2.28671e-008,1.2524
2.29095e-008,1.2343
2.29519e-008,1.2098
2.29943e-008,1.1975
2.30368e-008,1.2059
2.30792e-008,1.2129
2.31216e-008,1.2028
2.31641e-008,1.1923
2.32065e-008,1.1860
2.32489e-008,1.1873
2.32913e-008,1.2020
2.33338e-008,1.2370
2.33762e-008,1.2643
2.34186e-008,1.2725
2.34610e-008,1.2750
2.35034e-008,1.2715
2.35459e-008,1.2654
2.35883e-008,1.2602
2.36307e-008,1.2585
2.36732e-008,1.2553
2.37156e-008,1.2493
2.37580e-008,1.2501
2.38004e-008,1.2550
2.38428e-008,1.2618
2.38853e-008,1.2690
2.39277e-008,1.2694
2.39701e-008,1.2652
2.40126e-008,1.2626
2.40550e-008,1.2630
2.40974e-008,1.2642
2.41398e-008,1.2664
2.41823e-008,1.2690
2.42247e-008,1.2663
2.42671e-008,1.2616
2.43095e-008,1.2604
2.43519e-008,1.2611
2.43944e-008,1.2615
2.44368e-008,1.2620
2.44792e-008,1.2629
2.45217e-008,1.2623
2.45641e-008,1.2615
2.46065e-008,1.2632
2.46489e-008,1.2648
2.46913e-008,1.2650
2.47338e-008,1.2642
2.47762e-008,1.2625
2.48186e-008,1.2613
2.48611e-008,1.2617
2.49035e-008,1.2628
2.49459e-008,1.2633
2.49883e-008,1.2633
2.50308e-008,1.2632
2.50732e-008,1.2622
2.51156e-008,1.2619
2.51580e-008,1.2628
2.52004e-008,1.2634
2.52429e-008,1.2632
2.52853e-008,1.2629
2.53277e-008,1.2629
2.53702e-008,1.2626
2.54126e-008,1.2626
2.54550e-008,1.2632
2.54974e-008,1.2633
2.55398e-008,1.2628
2.55823e-008,1.2625
2.56247e-008,1.2624
2.56671e-008,1.2626
2.57096e-008,1.2630
2.57520e-008,1.2632
2.57944e-008,1.2630
2.58368e-008,1.2628
2.58793e-008,1.2627
2.59217e-008,1.2626
2.59641e-008,1.2628
2.60065e-008,1.2630
2.60489e-008,1.2629
2.60914e-008,1.2627
2.61338e-008,1.2626
2.61762e-008,1.2586
2.62187e-008,1.1677
2.62611e-008,0.9513
2.63035e-008,0.7683
2.63459e-008,0.5906
2.63883e-008,0.4220
2.64308e-008,0.3143
2.64732e-008,0.2502
2.65156e-008,0.2122
2.65580e-008,0.1933
2.66005e-008,0.2132
2.66429e-008,0.2444
2.66853e-008,0.2651
2.67278e-008,0.2803
2.67702e-008,0.2762
2.68126e-008,0.2598
2.68550e-008,0.2764
2.68974e-008,0.2943
2.69399e-008,0.2940
2.69823e-008,0.2890
2.70247e-008,0.2794
2.70672e-008,0.2419
2.71096e-008,0.2030
2.71520e-008,0.1985
2.71944e-008,0.2017
2.72368e-008,0.1989
2.72793e-008,0.2054
2.73217e-008,0.2157
2.73641e-008,0.2196
2.74065e-008,0.2212
2.74490e-008,0.2296
2.74914e-008,0.2316
2.75338e-008,0.2236
2.75763e-008,0.2172
2.76187e-008,0.2109
2.76611e-008,0.2089
2.77035e-008,0.2147
2.77459e-008,0.2177
2.77884e-008,0.2153
2.78308e-008,0.2141
2.78732e-008,0.2138
2.79157e-008,0.2102
2.79581e-008,0.2109
2.80005e-008,0.2181
2.80429e-008,0.2201
2.80854e-008,0.2523
2.81278e-008,0.4011
2.81702e-008,0.5717
2.82126e-008,0.7758
2.82550e-008,0.9495
2.82975e-008,1.0803
2.83399e-008,1.1663
2.83823e-008,1.2220
2.84248e-008,1.2586
2.84672e-008,1.2631
2.85096e-008,1.2436
2.85520e-008,1.2246
2.85944e-008,1.2026
2.86369e-008,1.1981
2.86793e-008,1.2116
2.87217e-008,1.2095
2.87642e-008,1.1982
2.88066e-008,1.1886
2.88490e-008,1.1853
2.88914e-008,1.1905
2.89339e-008,1.2151
2.89763e-008,1.2503
2.90187e-008,1.2121
2.90611e-008,0.9899
2.91035e-008,0.7802
2.91460e-008,0.5930
2.91884e-008,0.4303
2.92308e-008,0.3105
2.92733e-008,0.2465
2.93157e-008,0.2013
2.93581e-008,0.1785
2.94005e-008,0.1955
2.94429e-008,0.2397
2.94854e-008,0.2689
2.95278e-008,0.2897
2.95702e-008,0.2846
2.96127e-008,0.2588
2.96551e-008,0.2681
2.96975e-008,0.2953
2.97399e-008,0.3014
2.97824e-008,0.2959
2.98248e-008,0.2854
2.98672e-008,0.2481
2.99096e-008,0.2005
2.99521e-008,0.2100
2.99945e-008,0.3839
3.00369e-008,0.5790
3.00793e-008,0.7873
3.01218e-008,0.9660
3.01642e-008,1.0985
3.02066e-008,1.1805
3.02490e-008,1.2466
3.02914e-008,1.2837
3.03339e-008,1.2789
3.03763e-008,1.2423
3.04187e-008,1.2121
3.04612e-008,1.1869
3.05036e-008,1.1918
3.05460e-008,1.2164
3.05884e-008,1.2147
3.06309e-008,1.1947
3.06733e-008,1.1815
3.07157e-008,1.1759
3.07581e-008,1.1837
3.08005e-008,1.2172
3.08430e-008,1.2605
3.08854e-008,1.2761
3.09278e-008,1.2745
3.09702e-008,1.2742
3.10127e-008,1.2687
3.10551e-008,1.2630
3.10975e-008,1.2610
3.11400e-008,1.2586
3.11824e-008,1.2491
3.12248e-008,1.2432
3.12672e-008,1.2494
3.13096e-008,1.2586
3.13521e-008,1.2686
3.13945e-008,1.2736
3.14369e-008,1.2680
3.14793e-008,1.2614
3.15218e-008,1.2610
3.15642e-008,1.2634
3.16066e-008,1.2659
3.16491e-008,1.2695
3.16915e-008,1.2695
3.17339e-008,1.2626
3.17763e-008,1.2587
3.18188e-008,1.2457
3.18612e-008,1.0867
3.19036e-008,0.8742
3.19460e-008,0.6942
3.19884e-008,0.5218
3.20309e-008,0.3663
3.20733e-008,0.2837
3.21157e-008,0.2343
3.21582e-008,0.2062
3.22006e-008,0.1991
3.22430e-008,0.2285
3.22854e-008,0.2498
3.23279e-008,0.2706
3.23703e-008,0.2813
3.24127e-008,0.2681
3.24551e-008,0.2641
3.24975e-008,0.2867
3.25400e-008,0.2953
3.25824e-008,0.2904
3.26248e-008,0.2865
3.26672e-008,0.2688
3.27097e-008,0.2242
3.27521e-008,0.1977
3.27945e-008,0.2011
3.28370e-008,0.1999
3.28794e-008,0.1997
3.29218e-008,0.2103
3.29642e-008,0.2192
3.30066e-008,0.2199
3.30491e-008,0.2237
3.30915e-008,0.2315
3.31339e-008,0.2284
3.31763e-008,0.2208
3.32188e-008,0.2153
3.32612e-008,0.2096
3.33036e-008,0.2108
3.33461e-008,0.2165
3.33885e-008,0.2168
3.34309e-008,0.2143
3.34733e-008,0.2146
3.35158e-008,0.2130
3.35582e-008,0.2094
3.36006e-008,0.2134
3.36430e-008,0.2199
3.36854e-008,0.2189
3.37279e-008,0.2169
3.37703e-008,0.2184
3.38127e-008,0.2186
3.38552e-008,0.2164
3.38976e-008,0.2171
3.39400e-008,0.2184
3.39824e-008,0.2157
3.40249e-008,0.2139
3.40673e-008,0.2148
3.41097e-008,0.2159
3.41521e-008,0.2172
3.41945e-008,0.2182
3.42370e-008,0.2174
3.42794e-008,0.2163
3.43218e-008,0.2164
3.43643e-008,0.2164
3.44067e-008,0.2163
3.44491e-008,0.2175
3.44915e-008,0.2179
3.45340e-008,0.2163
3.45764e-008,0.2158
3.46188e-008,0.2168
3.46612e-008,0.2169
3.47036e-008,0.2163
3.47461e-008,0.2168
3.47885e-008,0.2170
3.48309e-008,0.2161
3.48733e-008,0.2161
3.49158e-008,0.2170
3.49582e-008,0.2172
3.50006e-008,0.2169
3.50431e-008,0.2168
3.50855e-008,0.2165
3.51279e-008,0.2164
3.51703e-008,0.2166
3.52128e-008,0.2168
3.52552e-008,0.2168
3.52976e-008,0.2169
3.53400e-008,0.2167
3.53824e-008,0.2164
3.54249e-008,0.2166
3.54673e-008,0.2170
3.55097e-008,0.2168
3.55522e-008,0.2166
3.55946e-008,0.2789
3.56370e-008,0.4402
3.56794e-008,0.6149
3.57219e-008,0.8174
3.57643e-008,0.9852
3.58067e-008,1.0996
3.58491e-008,1.1833
3.58915e-008,1.2344
3.59340e-008,1.2660
3.59764e-008,1.2607
3.60188e-008,1.2393
3.60613e-008,1.2168
3.61037e-008,1.1988
3.61461e-008,1.2005
3.61885e-008,1.2139
3.62310e-008,1.2075
3.62734e-008,1.1963
3.63158e-008,1.1868
3.63582e-008,1.1846
3.64006e-008,1.1941
3.64431e-008,1.2247
3.64855e-008,1.2573
3.65279e-008,1.2707
3.65703e-008,1.2749
3.66128e-008,1.2734
3.66552e-008,1.2673
3.66976e-008,1.2623
3.67401e-008,1.2595
3.67825e-008,1.2571
3.68249e-008,1.2505
3.68673e-008,1.2486
3.69097e-008,1.2531
3.69522e-008,1.2592
3.69946e-008,1.2674
3.70370e-008,1.2704
3.70794e-008,1.2667
3.71219e-008,1.2631
3.71643e-008,1.2625
3.72067e-008,1.2638
3.72492e-008,1.2657
3.72916e-008,1.2686
3.73340e-008,1.2678
3.73764e-008,1.2629
3.74189e-008,1.2594
3.74613e-008,1.1975
3.75037e-008,0.9895
3.75461e-008,0.8022
3.75885e-008,0.6225
3.76310e-008,0.4510
3.76734e-008,0.3272
3.77158e-008,0.2603
3.77583e-008,0.2197
3.78007e-008,0.1972
3.78431e-008,0.2091
3.78855e-008,0.2409
3.79280e-008,0.2596
3.79704e-008,0.2770
3.80128e-008,0.2786
3.80552e-008,0.2613
3.80976e-008,0.2727
3.81401e-008,0.2932
3.81825e-008,0.2945
3.82249e-008,0.2890
3.82673e-008,0.2827
3.83098e-008,0.2511
3.83522e-008,0.2086
3.83946e-008,0.2309
3.84371e-008,0.4075
3.84795e-008,0.5944
3.85219e-008,0.8055
3.85643e-008,0.9839
3.86067e-008,1.1105
3.86492e-008,1.1890
3.86916e-008,1.2493
3.87340e-008,1.2837
3.87764e-008,1.2747
3.88189e-008,1.2406
3.88613e-008,1.2126
3.89037e-008,1.1886
3.89462e-008,1.1932
3.89886e-008,1.2160
3.90310e-008,1.2115
3.90734e-008,1.1936
3.91159e-008,1.1822
3.91583e-008,1.1776
3.92007e-008,1.1856
3.92431e-008,1.2205
3.92855e-008,1.2622
3.93280e-008,1.2759
3.93704e-008,1.2754
3.94128e-008,1.2750
3.94553e-008,1.2684
3.94977e-008,1.2620
3.95401e-008,1.2601
3.95825e-008,1.2580
3.96250e-008,1.2487
3.96674e-008,1.2443
3.97098e-008,1.2507
3.97522e-008,1.2590
3.97946e-008,1.2687
3.98371e-008,1.2731
3.98795e-008,1.2676
3.99219e-008,1.2618
3.99644e-008,1.2615
4.00068e-008,1.2635
4.00492e-008,1.2657
4.00916e-008,1.2695
4.01341e-008,1.2692
4.01765e-008,1.2623
4.02189e-008,1.2590
4.02613e-008,1.2383
4.03037e-008,1.0586
4.03462e-008,0.8529
4.03886e-008,0.6731
4.04310e-008,0.5011
4.04734e-008,0.3529
4.05159e-008,0.2762
4.05583e-008,0.2301
4.06007e-008,0.2034
4.06432e-008,0.2013
4.06856e-008,0.2325
4.07280e-008,0.2524
4.07704e-008,0.2725
4.08128e-008,0.2810
4.08553e-008,0.2655
4.08977e-008,0.2661
4.09401e-008,0.2891
4.09825e-008,0.2953
4.10250e-008,0.2899
4.10674e-008,0.2858
4.11098e-008,0.2641
4.11523e-008,0.2190
4.11947e-008,0.2026
4.12371e-008,0.3468
4.12795e-008,0.5417
4.13220e-008,0.7448
4.13644e-008,0.9344
4.14068e-008,1.0813
4.14492e-008,1.1670
4.14916e-008,1.2347
4.15341e-008,1.2753
4.15765e-008,1.2823
4.16189e-008,1.2504
4.16614e-008,1.2219
4.17038e-008,1.1927
4.17462e-008,1.1886
4.17886e-008,1.2101
4.18311e-008,1.2159
