.HEADER
..NAMES
Time,V U1.L24&L25
.DATA
2.44813e-008,1.1828
2.45237e-008,1.1877
2.45662e-008,1.2062
2.46086e-008,1.2225
2.46510e-008,1.2395
2.46934e-008,1.2490
2.47359e-008,1.2451
2.47783e-008,1.1650
2.48207e-008,0.9657
2.48631e-008,0.7801
2.49055e-008,0.5939
2.49480e-008,0.4469
2.49904e-008,0.3447
2.50328e-008,0.3059
2.50753e-008,0.2940
2.51177e-008,0.3015
2.51601e-008,0.3265
2.52025e-008,0.3350
2.52449e-008,0.3174
2.52874e-008,0.2998
2.53298e-008,0.2964
2.53722e-008,0.3001
2.54146e-008,0.3002
2.54571e-008,0.2921
2.54995e-008,0.2637
2.55419e-008,0.2385
2.55844e-008,0.2244
2.56268e-008,0.2192
2.56692e-008,0.2214
2.57116e-008,0.2643
2.57540e-008,0.4115
2.57965e-008,0.5725
2.58389e-008,0.7731
2.58813e-008,0.9326
2.59238e-008,1.0459
2.59662e-008,1.1010
2.60086e-008,1.1366
2.60510e-008,1.1533
2.60935e-008,1.1453
2.61359e-008,1.1398
2.61783e-008,1.1463
2.62207e-008,1.1587
2.62631e-008,1.1711
2.63056e-008,1.1784
2.63480e-008,1.1826
2.63904e-008,1.1855
2.64329e-008,1.2023
2.64753e-008,1.2195
2.65177e-008,1.2362
2.65601e-008,1.2483
2.66025e-008,1.2480
2.66450e-008,1.1982
2.66874e-008,1.0071
2.67298e-008,0.8159
2.67723e-008,0.6256
2.68147e-008,0.4740
2.68571e-008,0.3590
2.68995e-008,0.3092
2.69420e-008,0.2952
2.69844e-008,0.2983
2.70268e-008,0.3214
2.70692e-008,0.3361
2.71116e-008,0.3215
2.71541e-008,0.3023
2.71965e-008,0.2960
2.72389e-008,0.2996
2.72814e-008,0.3003
2.73238e-008,0.2953
2.73662e-008,0.2699
2.74086e-008,0.2423
2.74510e-008,0.2265
2.74935e-008,0.2195
2.75359e-008,0.2202
2.75783e-008,0.2413
2.76208e-008,0.3788
2.76632e-008,0.5409
2.77056e-008,0.7358
2.77480e-008,0.9033
2.77905e-008,1.0289
2.78329e-008,1.0935
2.78753e-008,1.1304
2.79177e-008,1.1525
2.79601e-008,1.1477
2.80026e-008,1.1395
2.80450e-008,1.1446
2.80874e-008,1.1558
2.81299e-008,1.1692
2.81723e-008,1.1771
2.82147e-008,1.1822
2.82571e-008,1.1841
2.82995e-008,1.1983
2.83420e-008,1.2165
2.83844e-008,1.2328
2.84268e-008,1.2470
2.84693e-008,1.2487
2.85117e-008,1.2197
2.85541e-008,1.0505
2.85965e-008,0.8503
2.86390e-008,0.6606
2.86814e-008,0.5022
2.87238e-008,0.3769
2.87662e-008,0.3137
2.88086e-008,0.2967
2.88511e-008,0.2958
2.88935e-008,0.3161
