.HEADER
..NAMES
Time,V U1.Y23
.DATA
2.43862e-008,1.2287
2.44321e-008,1.2283
2.44780e-008,1.2281
2.45239e-008,1.2283
2.45699e-008,1.2286
2.46158e-008,1.2289
2.46617e-008,1.2290
2.47076e-008,1.2288
2.47536e-008,1.2285
2.47995e-008,1.1939
2.48454e-008,1.0575
2.48913e-008,0.9166
2.49373e-008,0.7555
2.49832e-008,0.5897
2.50291e-008,0.4246
2.50750e-008,0.2941
2.51210e-008,0.2215
2.51669e-008,0.1882
2.52128e-008,0.1709
2.52587e-008,0.1659
2.53047e-008,0.1707
2.53506e-008,0.1840
2.53965e-008,0.1985
2.54424e-008,0.2077
2.54884e-008,0.2146
2.55343e-008,0.2150
2.55802e-008,0.2123
2.56262e-008,0.2194
2.56721e-008,0.2393
2.57180e-008,0.2606
2.57639e-008,0.2768
2.58099e-008,0.2834
2.58558e-008,0.2821
2.59017e-008,0.2687
2.59476e-008,0.2508
2.59936e-008,0.2394
2.60395e-008,0.2401
2.60854e-008,0.2483
2.61313e-008,0.2547
2.61773e-008,0.2554
2.62232e-008,0.2506
2.62691e-008,0.2385
2.63150e-008,0.2204
2.63610e-008,0.2089
2.64069e-008,0.2143
2.64528e-008,0.2295
2.64987e-008,0.2444
2.65446e-008,0.2537
2.65906e-008,0.2567
2.66365e-008,0.2545
2.66824e-008,0.2890
2.67283e-008,0.4367
2.67743e-008,0.5903
2.68202e-008,0.7851
2.68661e-008,0.9759
2.69120e-008,1.1240
2.69580e-008,1.2254
2.70039e-008,1.2689
2.70498e-008,1.2898
2.70957e-008,1.3008
2.71417e-008,1.3043
2.71876e-008,1.2985
2.72335e-008,1.2863
2.72794e-008,1.2682
2.73254e-008,1.2545
2.73713e-008,1.2446
2.74172e-008,1.2500
2.74631e-008,1.2646
2.75091e-008,1.2658
2.75550e-008,1.2462
2.76009e-008,1.2142
2.76469e-008,1.1832
2.76928e-008,1.1701
2.77387e-008,1.1794
2.77846e-008,1.2076
2.78306e-008,1.2366
2.78765e-008,1.2483
2.79224e-008,1.2384
2.79683e-008,1.2169
2.80143e-008,1.2011
2.80602e-008,1.2001
2.81061e-008,1.2135
2.81520e-008,1.2369
2.81980e-008,1.2613
2.82439e-008,1.2702
2.82898e-008,1.2573
2.83357e-008,1.2342
2.83817e-008,1.2131
2.84276e-008,1.2030
2.84735e-008,1.2074
2.85194e-008,1.2204
2.85653e-008,1.2334
2.86113e-008,1.2381
2.86572e-008,1.2342
2.87031e-008,1.2287
2.87490e-008,1.2276
2.87950e-008,1.2315
2.88409e-008,1.2366
2.88868e-008,1.2377
2.89327e-008,1.2338
2.89787e-008,1.2265
2.90246e-008,1.2201
2.90705e-008,1.2197
2.91164e-008,1.2257
2.91624e-008,1.2345
2.92083e-008,1.2414
2.92542e-008,1.2423
2.93001e-008,1.2363
2.93461e-008,1.2260
2.93920e-008,1.2175
2.94379e-008,1.2162
2.94839e-008,1.2229
2.95298e-008,1.2330
2.95757e-008,1.2400
2.96216e-008,1.2401
2.96676e-008,1.2340
2.97135e-008,1.2260
2.97594e-008,1.2209
2.98053e-008,1.2217
2.98513e-008,1.2272
2.98972e-008,1.2330
2.99431e-008,1.2354
2.99890e-008,1.2338
3.00350e-008,1.2299
3.00809e-008,1.2264
3.01268e-008,1.2252
3.01727e-008,1.2268
3.02187e-008,1.2299
3.02646e-008,1.2321
3.03105e-008,1.2318
3.03564e-008,1.2294
3.04024e-008,1.2265
3.04483e-008,1.2254
3.04942e-008,1.2271
3.05401e-008,1.2305
3.05861e-008,1.2332
3.06320e-008,1.2331
3.06779e-008,1.2301
3.07238e-008,1.2264
3.07698e-008,1.2243
3.08157e-008,1.2252
3.08616e-008,1.2284
3.09075e-008,1.2318
3.09535e-008,1.2332
3.09994e-008,1.2320
3.10453e-008,1.2291
3.10912e-008,1.2263
3.11372e-008,1.2253
3.11831e-008,1.2264
3.12290e-008,1.2288
3.12749e-008,1.2309
3.13209e-008,1.2317
3.13668e-008,1.2306
3.14127e-008,1.2284
3.14586e-008,1.2267
3.15045e-008,1.2265
3.15505e-008,1.2279
3.15964e-008,1.2297
3.16423e-008,1.2307
3.16882e-008,1.2302
3.17342e-008,1.2286
3.17801e-008,1.2272
3.18260e-008,1.2270
3.18719e-008,1.2280
3.19179e-008,1.2294
3.19638e-008,1.2303
3.20097e-008,1.2300
3.20556e-008,1.2288
3.21016e-008,1.2276
3.21475e-008,1.2271
3.21934e-008,1.2275
3.22393e-008,1.2287
3.22853e-008,1.2134
3.23312e-008,1.1051
3.23771e-008,0.9596
3.24230e-008,0.8051
3.24690e-008,0.6419
3.25149e-008,0.4699
3.25608e-008,0.3280
3.26067e-008,0.2380
3.26527e-008,0.1985
3.26986e-008,0.1749
3.27445e-008,0.1677
3.27904e-008,0.1671
3.28364e-008,0.1781
3.28823e-008,0.1936
3.29282e-008,0.2052
3.29741e-008,0.2136
3.30201e-008,0.2166
3.30660e-008,0.2135
3.31119e-008,0.2150
3.31578e-008,0.2318
3.32038e-008,0.2533
3.32497e-008,0.2727
3.32956e-008,0.2826
3.33415e-008,0.2845
3.33875e-008,0.2745
3.34334e-008,0.2560
3.34793e-008,0.2411
3.35253e-008,0.2379
3.35712e-008,0.2451
3.36171e-008,0.2535
3.36630e-008,0.2565
3.37090e-008,0.2536
3.37549e-008,0.2434
3.38008e-008,0.2258
3.38467e-008,0.2100
3.38927e-008,0.2103
3.39386e-008,0.2243
3.39845e-008,0.2407
3.40304e-008,0.2523
3.40764e-008,0.2569
3.41223e-008,0.2557
3.41682e-008,0.2500
3.42141e-008,0.2435
3.42601e-008,0.2395
3.43060e-008,0.2383
3.43519e-008,0.2378
3.43978e-008,0.2372
3.44438e-008,0.2368
3.44897e-008,0.2372
3.45356e-008,0.2387
3.45815e-008,0.2411
3.46275e-008,0.2444
3.46734e-008,0.2463
3.47193e-008,0.2449
3.47652e-008,0.2408
3.48112e-008,0.2359
3.48571e-008,0.2330
3.49030e-008,0.2340
3.49489e-008,0.2392
3.49949e-008,0.2460
3.50408e-008,0.2497
3.50867e-008,0.2480
3.51326e-008,0.2428
3.51786e-008,0.2380
3.52245e-008,0.2359
3.52704e-008,0.2368
3.53163e-008,0.2396
3.53622e-008,0.2432
3.54082e-008,0.2456
3.54541e-008,0.2452
3.55000e-008,0.2427
3.55459e-008,0.2400
3.55919e-008,0.2387
3.56378e-008,0.2391
3.56837e-008,0.2408
3.57296e-008,0.2427
3.57756e-008,0.2436
3.58215e-008,0.2430
3.58674e-008,0.2415
3.59133e-008,0.2406
3.59593e-008,0.2411
3.60052e-008,0.2425
3.60511e-008,0.2711
3.60970e-008,0.4217
3.61430e-008,0.5785
3.61889e-008,0.7680
3.62348e-008,0.9571
3.62807e-008,1.1136
3.63267e-008,1.2203
3.63726e-008,1.2712
3.64185e-008,1.2911
3.64644e-008,1.3015
3.65104e-008,1.3013
3.65563e-008,1.2943
3.66022e-008,1.2844
3.66481e-008,1.2708
3.66941e-008,1.2629
3.67400e-008,1.2557
3.67859e-008,1.2583
3.68318e-008,1.2663
3.68778e-008,1.2624
3.69237e-008,1.2399
3.69696e-008,1.2112
3.70155e-008,1.1858
3.70615e-008,1.1768
3.71074e-008,1.1857
3.71533e-008,1.2106
3.71992e-008,1.2363
3.72452e-008,1.2458
3.72911e-008,1.2357
3.73370e-008,1.2162
3.73830e-008,1.2029
3.74289e-008,1.2036
3.74748e-008,1.2165
3.75207e-008,1.2376
3.75667e-008,1.2601
3.76126e-008,1.2693
3.76585e-008,1.2576
3.77044e-008,1.2362
3.77504e-008,1.2167
3.77963e-008,1.2065
3.78422e-008,1.2087
3.78881e-008,1.2190
3.79341e-008,1.2307
3.79800e-008,1.2368
3.80259e-008,1.2355
3.80718e-008,1.2320
3.81178e-008,1.2311
3.81637e-008,1.2335
3.82096e-008,1.2364
3.82555e-008,1.2362
3.83015e-008,1.2324
3.83474e-008,1.2265
3.83933e-008,1.2218
3.84392e-008,1.2224
3.84852e-008,1.2282
3.85311e-008,1.2358
3.85770e-008,1.2411
3.86229e-008,1.2411
3.86689e-008,1.2355
3.87148e-008,1.2265
3.87607e-008,1.2192
3.88066e-008,1.2184
3.88526e-008,1.2245
3.88985e-008,1.2333
3.89444e-008,1.2393
3.89903e-008,1.2393
3.90363e-008,1.2342
3.90822e-008,1.2274
3.91281e-008,1.2228
3.91740e-008,1.2231
3.92199e-008,1.2276
3.92659e-008,1.2326
3.93118e-008,1.2349
3.93577e-008,1.2338
3.94036e-008,1.2308
3.94496e-008,1.2279
3.94955e-008,1.2267
3.95414e-008,1.2277
3.95873e-008,1.2299
3.96333e-008,1.2316
3.96792e-008,1.2315
3.97251e-008,1.2296
3.97710e-008,1.2241
3.98170e-008,1.1456
3.98629e-008,1.0020
3.99088e-008,0.8620
3.99547e-008,0.7011
4.00007e-008,0.5292
4.00466e-008,0.3708
4.00925e-008,0.2571
