.HEADER
..NAMES
Time,V U1.Y25
.DATA
2.42671e-008,0.2148
2.43095e-008,0.2197
2.43519e-008,0.2251
2.43944e-008,0.2267
2.44368e-008,0.2229
2.44792e-008,0.2166
2.45217e-008,0.2081
2.45641e-008,0.2028
2.46065e-008,0.2040
2.46489e-008,0.2095
2.46913e-008,0.2158
2.47338e-008,0.2210
2.47762e-008,0.2234
2.48186e-008,0.2777
2.48611e-008,0.4387
2.49035e-008,0.6100
2.49459e-008,0.8246
2.49883e-008,0.9758
2.50308e-008,1.0750
2.50732e-008,1.1282
2.51156e-008,1.1584
2.51580e-008,1.1814
2.52004e-008,1.1908
2.52429e-008,1.2054
2.52853e-008,1.2187
2.53277e-008,1.2296
2.53702e-008,1.2276
2.54126e-008,1.2122
2.54550e-008,1.1834
2.54974e-008,1.1501
2.55398e-008,1.1407
2.55823e-008,1.1518
2.56247e-008,1.1869
2.56671e-008,1.2280
2.57096e-008,1.2668
2.57520e-008,1.2822
2.57944e-008,1.2783
2.58368e-008,1.2692
2.58793e-008,1.2585
2.59217e-008,1.2543
2.59641e-008,1.2544
2.60065e-008,1.2584
2.60489e-008,1.2610
2.60914e-008,1.2626
2.61338e-008,1.2631
2.61762e-008,1.2605
2.62187e-008,1.2565
2.62611e-008,1.2530
2.63035e-008,1.2536
2.63459e-008,1.2577
2.63883e-008,1.2652
2.64308e-008,1.2721
2.64732e-008,1.2743
2.65156e-008,1.2715
2.65580e-008,1.2654
2.66005e-008,1.2595
2.66429e-008,1.2556
2.66853e-008,1.2562
2.67278e-008,1.2588
2.67702e-008,1.2612
2.68126e-008,1.2625
2.68550e-008,1.2628
2.68974e-008,1.2622
2.69399e-008,1.2613
2.69823e-008,1.2607
2.70247e-008,1.2603
2.70672e-008,1.2605
2.71096e-008,1.2614
2.71520e-008,1.2627
2.71944e-008,1.2636
2.72368e-008,1.2634
2.72793e-008,1.2623
2.73217e-008,1.2607
2.73641e-008,1.2596
2.74065e-008,1.2595
2.74490e-008,1.2604
2.74914e-008,1.2615
2.75338e-008,1.2623
2.75763e-008,1.2625
2.76187e-008,1.2201
2.76611e-008,1.0080
2.77035e-008,0.8105
2.77459e-008,0.6211
2.77884e-008,0.4656
2.78308e-008,0.3655
2.78732e-008,0.3211
2.79157e-008,0.3039
2.79581e-008,0.2846
2.80005e-008,0.2787
2.80429e-008,0.2661
2.80854e-008,0.2478
2.81278e-008,0.2374
2.81702e-008,0.2428
2.82126e-008,0.2653
2.82550e-008,0.2963
2.82975e-008,0.3351
2.83399e-008,0.3428
2.83823e-008,0.3215
2.84248e-008,0.2837
2.84672e-008,0.2401
2.85096e-008,0.1991
2.85520e-008,0.1817
2.85944e-008,0.1933
2.86369e-008,0.2043
2.86793e-008,0.2130
2.87217e-008,0.2202
2.87642e-008,0.2219
2.88066e-008,0.2175
2.88490e-008,0.2139
2.88914e-008,0.2136
2.89339e-008,0.2137
2.89763e-008,0.2170
2.90187e-008,0.2227
2.90611e-008,0.2267
2.91035e-008,0.2253
2.91460e-008,0.2201
2.91884e-008,0.2125
2.92308e-008,0.2046
2.92733e-008,0.2027
2.93157e-008,0.2065
2.93581e-008,0.2129
2.94005e-008,0.2186
2.94429e-008,0.2229
2.94854e-008,0.2286
2.95278e-008,0.3525
2.95702e-008,0.5247
2.96127e-008,0.7258
2.96551e-008,0.9079
2.96975e-008,1.0334
2.97399e-008,1.1098
2.97824e-008,1.1447
2.98248e-008,1.1720
2.98672e-008,1.1851
2.99096e-008,1.1986
2.99521e-008,1.2122
2.99945e-008,1.2243
3.00369e-008,1.2310
3.00793e-008,1.2210
3.01218e-008,1.2002
3.01642e-008,1.1642
3.02066e-008,1.1424
3.02490e-008,1.1438
3.02914e-008,1.1676
3.03339e-008,1.2078
3.03763e-008,1.2492
3.04187e-008,1.2786
3.04612e-008,1.2812
3.05036e-008,1.2743
3.05460e-008,1.2633
3.05884e-008,1.2557
3.06309e-008,1.2538
3.06733e-008,1.2563
3.07157e-008,1.2601
3.07581e-008,1.2618
3.08005e-008,1.2632
3.08430e-008,1.2621
3.08854e-008,1.2586
3.09278e-008,1.2544
3.09702e-008,1.2528
3.10127e-008,1.2553
3.10551e-008,1.2612
3.10975e-008,1.2693
3.11400e-008,1.2739
3.11824e-008,1.2735
3.12248e-008,1.2686
3.12672e-008,1.2623
3.13096e-008,1.2571
3.13521e-008,1.2441
3.13945e-008,1.1009
3.14369e-008,0.8814
3.14793e-008,0.7028
3.15218e-008,0.5268
3.15642e-008,0.4003
