.HEADER
..NAMES
Time,V U1.J20
.DATA
1.62575e-008,0.2442
1.63034e-008,0.2381
1.63493e-008,0.2348
1.63952e-008,0.2352
1.64412e-008,0.2383
1.64871e-008,0.2422
1.65330e-008,0.2451
1.65789e-008,0.2462
1.66249e-008,0.2453
1.66708e-008,0.2433
1.67167e-008,0.2410
1.67626e-008,0.2390
1.68085e-008,0.2381
1.68545e-008,0.2386
1.69004e-008,0.2404
1.69463e-008,0.2432
1.69922e-008,0.2458
1.70382e-008,0.2471
1.70841e-008,0.2464
1.71300e-008,0.2439
1.71759e-008,0.2407
1.72219e-008,0.2383
1.72678e-008,0.2380
1.73137e-008,0.2397
1.73596e-008,0.2426
1.74056e-008,0.2451
1.74515e-008,0.2461
1.74974e-008,0.2452
1.75433e-008,0.2431
1.75893e-008,0.2410
1.76352e-008,0.2398
1.76811e-008,0.2400
1.77271e-008,0.2413
1.77730e-008,0.2428
1.78189e-008,0.2439
1.78648e-008,0.2443
1.79108e-008,0.2439
1.79567e-008,0.2431
1.80026e-008,0.2423
1.80485e-008,0.2417
1.80945e-008,0.2414
1.81404e-008,0.2415
1.81863e-008,0.2420
1.82322e-008,0.2426
1.82782e-008,0.2433
1.83241e-008,0.2437
1.83700e-008,0.2437
1.84159e-008,0.2431
1.84619e-008,0.2423
1.85078e-008,0.2416
1.85537e-008,0.2414
1.85996e-008,0.2419
1.86455e-008,0.2427
1.86915e-008,0.2435
1.87374e-008,0.2438
1.87833e-008,0.2436
1.88292e-008,0.2429
1.88752e-008,0.2422
1.89211e-008,0.2418
1.89670e-008,0.2419
1.90129e-008,0.2423
1.90589e-008,0.2429
1.91048e-008,0.2432
1.91507e-008,0.2433
1.91966e-008,0.2431
1.92426e-008,0.2429
1.92885e-008,0.2426
1.93344e-008,0.2424
1.93803e-008,0.2424
1.94263e-008,0.2425
1.94722e-008,0.2427
1.95181e-008,0.2428
1.95640e-008,0.2430
1.96100e-008,0.2431
1.96559e-008,0.2431
1.97018e-008,0.2430
1.97478e-008,0.2427
1.97937e-008,0.2425
1.98396e-008,0.2425
1.98855e-008,0.2426
1.99315e-008,0.2428
1.99774e-008,0.2431
2.00233e-008,0.2432
2.00692e-008,0.2432
2.01152e-008,0.2430
2.01611e-008,0.2427
2.02070e-008,0.2426
2.02529e-008,0.2426
2.02989e-008,0.2427
2.03448e-008,0.2429
2.03907e-008,0.2431
2.04366e-008,0.2431
2.04826e-008,0.2430
2.05285e-008,0.2429
2.05744e-008,0.2428
2.06203e-008,0.2428
2.06662e-008,0.2428
2.07122e-008,0.2429
2.07581e-008,0.2429
2.08040e-008,0.2430
2.08499e-008,0.2430
2.08959e-008,0.2430
2.09418e-008,0.2430
2.09877e-008,0.2435
2.10336e-008,0.3057
2.10796e-008,0.4589
2.11255e-008,0.6200
2.11714e-008,0.8036
2.12173e-008,0.9892
2.12633e-008,1.1269
2.13092e-008,1.1964
2.13551e-008,1.2383
2.14010e-008,1.2566
2.14470e-008,1.2624
2.14929e-008,1.2654
2.15388e-008,1.2756
2.15847e-008,1.2796
2.16307e-008,1.2826
2.16766e-008,1.2820
2.17225e-008,1.2760
2.17685e-008,1.2574
2.18144e-008,1.2288
2.18603e-008,1.1897
2.19062e-008,1.1514
2.19522e-008,1.1237
2.19981e-008,1.1184
2.20440e-008,1.1345
2.20899e-008,1.1623
2.21359e-008,1.1855
2.21818e-008,1.1933
2.22277e-008,1.1825
2.22736e-008,1.1621
2.23196e-008,1.1471
2.23655e-008,1.1505
2.24114e-008,1.1743
2.24573e-008,1.2094
2.25033e-008,1.2409
2.25492e-008,1.2555
2.25951e-008,1.2490
2.26410e-008,1.2292
2.26869e-008,1.2076
2.27329e-008,1.1938
2.27788e-008,1.1926
2.28247e-008,1.2019
2.28706e-008,1.2149
2.29166e-008,1.2269
2.29625e-008,1.2357
2.30084e-008,1.2407
2.30543e-008,1.2418
2.31003e-008,1.2395
2.31462e-008,1.2340
2.31921e-008,1.2268
2.32380e-008,1.2217
2.32840e-008,1.2217
2.33299e-008,1.2277
2.33758e-008,1.2371
2.34217e-008,1.2449
2.34677e-008,1.2465
2.35136e-008,1.2407
2.35595e-008,1.2303
2.36055e-008,1.2209
2.36514e-008,1.2173
2.36973e-008,1.2211
2.37432e-008,1.2294
2.37892e-008,1.2376
2.38351e-008,1.2412
2.38810e-008,1.2391
2.39269e-008,1.2332
2.39729e-008,1.2271
2.40188e-008,1.2240
2.40647e-008,1.2248
2.41106e-008,1.2282
2.41566e-008,1.2320
2.42025e-008,1.2344
2.42484e-008,1.2347
2.42943e-008,1.2335
2.43403e-008,1.2316
2.43862e-008,1.2298
2.44321e-008,1.2283
2.44780e-008,1.2272
2.45239e-008,1.2268
2.45699e-008,1.2274
2.46158e-008,1.2293
2.46617e-008,1.2318
2.47076e-008,1.2340
2.47536e-008,1.2344
2.47995e-008,1.2328
2.48454e-008,1.2298
2.48913e-008,1.2269
2.49373e-008,1.2257
2.49832e-008,1.2269
2.50291e-008,1.2297
2.50750e-008,1.2325
2.51210e-008,1.2338
2.51669e-008,1.2331
2.52128e-008,1.2309
2.52587e-008,1.2285
2.53047e-008,1.2272
2.53506e-008,1.2275
2.53965e-008,1.2289
2.54424e-008,1.2305
2.54884e-008,1.2314
2.55343e-008,1.2315
2.55802e-008,1.2308
2.56262e-008,1.2301
2.56721e-008,1.2295
2.57180e-008,1.2293
2.57639e-008,1.2292
2.58099e-008,1.2292
2.58558e-008,1.2294
2.59017e-008,1.2297
2.59476e-008,1.2302
2.59936e-008,1.2307
2.60395e-008,1.2308
2.60854e-008,1.2304
2.61313e-008,1.2296
2.61773e-008,1.2288
2.62232e-008,1.2285
2.62691e-008,1.2288
2.63150e-008,1.2297
2.63610e-008,1.2305
2.64069e-008,1.2310
2.64528e-008,1.2307
2.64987e-008,1.2300
2.65446e-008,1.2292
2.65906e-008,1.2287
2.66365e-008,1.2288
2.66824e-008,1.2294
2.67283e-008,1.2300
2.67743e-008,1.2303
2.68202e-008,1.2303
2.68661e-008,1.2299
2.69120e-008,1.2296
2.69580e-008,1.2294
2.70039e-008,1.2293
2.70498e-008,1.2294
2.70957e-008,1.2295
2.71417e-008,1.2296
2.71876e-008,1.2296
2.72335e-008,1.2297
2.72794e-008,1.2298
2.73254e-008,1.2298
2.73713e-008,1.2297
2.74172e-008,1.2295
2.74631e-008,1.2293
2.75091e-008,1.2292
2.75550e-008,1.2293
2.76009e-008,1.2295
2.76469e-008,1.2298
2.76928e-008,1.2299
2.77387e-008,1.2298
2.77846e-008,1.2296
2.78306e-008,1.2293
2.78765e-008,1.2292
2.79224e-008,1.2292
2.79683e-008,1.2294
2.80143e-008,1.2296
2.80602e-008,1.2297
2.81061e-008,1.2297
2.81520e-008,1.2296
2.81980e-008,1.2294
2.82439e-008,1.2293
2.82898e-008,1.2293
2.83357e-008,1.2294
2.83817e-008,1.2294
2.84276e-008,1.2295
2.84735e-008,1.2295
2.85194e-008,1.2295
2.85653e-008,1.2295
2.86113e-008,1.2295
2.86572e-008,1.2294
2.87031e-008,1.2294
2.87490e-008,1.2294
2.87950e-008,1.2293
2.88409e-008,1.2293
2.88868e-008,1.2294
2.89327e-008,1.2295
2.89787e-008,1.2295
2.90246e-008,1.2295
2.90705e-008,1.2294
2.91164e-008,1.2293
2.91624e-008,1.2293
2.92083e-008,1.2293
2.92542e-008,1.2293
2.93001e-008,1.2294
2.93461e-008,1.2294
2.93920e-008,1.2294
2.94379e-008,1.2294
2.94839e-008,1.2293
2.95298e-008,1.2293
