.HEADER
..NAMES
Time,V U1.L24&L25
.DATA
1.62912e-008,-1.0274
1.63336e-008,-0.9423
1.63761e-008,-0.6046
1.64185e-008,-0.2520
1.64609e-008,0.1390
1.65033e-008,0.4527
1.65457e-008,0.6846
1.65882e-008,0.7904
1.66306e-008,0.8385
1.66730e-008,0.8515
1.67155e-008,0.8200
1.67579e-008,0.8053
1.68003e-008,0.8282
1.68427e-008,0.8614
1.68851e-008,0.8820
1.69276e-008,0.8831
1.69700e-008,0.8844
1.70124e-008,0.8901
1.70548e-008,0.9308
1.70973e-008,0.9743
1.71397e-008,1.0075
1.71821e-008,1.0284
1.72246e-008,1.0296
1.72670e-008,0.9681
1.73094e-008,0.6435
1.73518e-008,0.2856
1.73942e-008,-0.1022
1.74367e-008,-0.4222
1.74791e-008,-0.6651
1.75215e-008,-0.7829
1.75640e-008,-0.8336
1.76064e-008,-0.8526
1.76488e-008,-0.8231
1.76912e-008,-0.8020
1.77336e-008,-0.8220
1.77761e-008,-0.8565
1.78185e-008,-0.8802
1.78609e-008,-0.8825
1.79033e-008,-0.8836
1.79458e-008,-0.8869
1.79882e-008,-0.9249
1.80306e-008,-0.9707
1.80731e-008,-1.0044
1.81155e-008,-1.0263
1.81579e-008,-1.0284
1.82003e-008,-0.9851
1.82427e-008,-0.6814
1.82852e-008,-0.3184
1.83276e-008,0.0653
1.83700e-008,0.3950
1.84125e-008,0.6489
1.84549e-008,0.7787
1.84973e-008,0.8311
1.85397e-008,0.8534
1.85822e-008,0.8272
1.86246e-008,0.8040
1.86670e-008,0.8225
1.87094e-008,0.8549
1.87518e-008,0.8800
1.87943e-008,0.8832
1.88367e-008,0.8843
1.88791e-008,0.8868
1.89216e-008,0.9208
1.89640e-008,0.9671
1.90064e-008,1.0014
1.90488e-008,1.0261
1.90912e-008,1.0303
1.91337e-008,0.9994
1.91761e-008,0.7192
1.92185e-008,0.3517
1.92610e-008,-0.0259
1.93034e-008,-0.3643
1.93458e-008,-0.6265
1.93882e-008,-0.7688
1.94307e-008,-0.8260
1.94731e-008,-0.8533
1.95155e-008,-0.8309
1.95579e-008,-0.8021
1.96003e-008,-0.8165
1.96428e-008,-0.8495
1.96852e-008,-0.8778
1.97276e-008,-0.8827
1.97701e-008,-0.8835
1.98125e-008,-0.8845
1.98549e-008,-0.9149
1.98973e-008,-0.9631
1.99397e-008,-0.9982
1.99822e-008,-1.0238
2.00246e-008,-1.0291
2.00670e-008,-1.0056
2.01095e-008,-0.7530
2.01519e-008,-0.3842
2.01943e-008,-0.0130
2.02367e-008,0.3359
2.02792e-008,0.6079
2.03216e-008,0.7618
2.03640e-008,0.8231
2.04064e-008,0.8531
2.04488e-008,0.8348
2.04913e-008,0.8046
2.05337e-008,0.8171
2.05761e-008,0.8482
2.06186e-008,0.8770
2.06610e-008,0.8834
2.07034e-008,0.8839
2.07458e-008,0.8851
2.07882e-008,0.9113
2.08307e-008,0.9593
2.08731e-008,0.9949
2.09155e-008,1.0228
2.09580e-008,1.0307
2.10004e-008,1.0114
2.10428e-008,0.7866
2.10852e-008,0.4182
2.11277e-008,0.0538
2.11701e-008,-0.3045
2.12125e-008,-0.5840
2.12549e-008,-0.7488
2.12973e-008,-0.8169
2.13398e-008,-0.8516
2.13822e-008,-0.8385
2.14246e-008,-0.8045
2.14671e-008,-0.8112
2.15095e-008,-0.8425
2.15519e-008,-0.8742
2.15943e-008,-0.8828
2.16367e-008,-0.8831
2.16792e-008,-0.8835
2.17216e-008,-0.9057
2.17640e-008,-0.9549
2.18064e-008,-0.9918
2.18489e-008,-1.0203
2.18913e-008,-1.0294
2.19337e-008,-1.0141
2.19762e-008,-0.8159
2.20186e-008,-0.4522
2.20610e-008,-0.0948
2.21034e-008,0.2748
2.21458e-008,0.5633
2.21883e-008,0.7399
2.22307e-008,0.8131
2.22731e-008,0.8504
2.23156e-008,0.8417
2.23580e-008,0.8077
2.24004e-008,0.8120
2.24428e-008,0.8415
2.24852e-008,0.8729
2.25277e-008,0.8835
2.25701e-008,0.8835
2.26125e-008,0.8844
2.26549e-008,0.9028
2.26974e-008,0.9508
2.27398e-008,0.9884
2.27822e-008,1.0187
2.28247e-008,1.0306
2.28671e-008,1.0195
2.29095e-008,0.8471
2.29519e-008,0.4879
2.29943e-008,0.1355
2.30368e-008,-0.2429
2.30792e-008,-0.5373
2.31216e-008,-0.7259
2.31641e-008,-0.8059
2.32065e-008,-0.8478
2.32489e-008,-0.8448
2.32913e-008,-0.8092
2.33338e-008,-0.8068
2.33762e-008,-0.8355
2.34186e-008,-0.8695
2.34610e-008,-0.8827
2.35034e-008,-0.8828
2.35459e-008,-0.8834
2.35883e-008,-0.8978
2.36307e-008,-0.9458
2.36732e-008,-0.9853
2.37156e-008,-1.0160
2.37580e-008,-1.0292
2.38004e-008,-1.0220
2.38428e-008,-0.8759
2.38853e-008,-0.5236
2.39277e-008,-0.1742
2.39701e-008,0.2124
2.40126e-008,0.5136
2.40550e-008,0.7160
2.40974e-008,0.8019
2.41398e-008,0.8458
2.41823e-008,0.8471
2.42247e-008,0.8129
2.42671e-008,0.8080
2.43095e-008,0.8349
2.43519e-008,0.8678
2.43944e-008,0.8831
2.44368e-008,0.8832
2.44792e-008,0.8842
2.45217e-008,0.8957
2.45641e-008,0.9415
2.46065e-008,0.9818
2.46489e-008,1.0138
2.46913e-008,1.0299
2.47338e-008,1.0266
2.47762e-008,0.9076
2.48186e-008,0.5605
2.48611e-008,0.2108
2.49035e-008,-0.1795
2.49459e-008,-0.4850
2.49883e-008,-0.7007
2.50308e-008,-0.7949
2.50732e-008,-0.8419
2.51156e-008,-0.8495
2.51580e-008,-0.8154
2.52004e-008,-0.8038
2.52429e-008,-0.8288
2.52853e-008,-0.8638
2.53277e-008,-0.8820
2.53702e-008,-0.8827
2.54126e-008,-0.8835
2.54550e-008,-0.8916
2.54974e-008,-0.9361
2.55398e-008,-0.9786
2.55823e-008,-1.0109
2.56247e-008,-1.0283
2.56671e-008,-1.0273
2.57096e-008,-0.9372
2.57520e-008,-0.5969
2.57944e-008,-0.2450
2.58368e-008,0.1464
2.58793e-008,0.4588
2.59217e-008,0.6880
2.59641e-008,0.7914
2.60065e-008,0.8392
2.60489e-008,0.8511
2.60914e-008,0.8191
2.61338e-008,0.8053
2.61762e-008,0.8287
2.62187e-008,0.8620
2.62611e-008,0.8821
2.63035e-008,0.8830
2.63459e-008,0.8843
2.63883e-008,0.8904
2.64308e-008,0.9317
2.64732e-008,0.9750
2.65156e-008,1.0081
2.65580e-008,1.0285
2.66005e-008,1.0294
2.66429e-008,0.9637
2.66853e-008,0.6350
2.67278e-008,0.2781
2.67702e-008,-0.1105
2.68126e-008,-0.4287
2.68550e-008,-0.6693
2.68974e-008,-0.7844
2.69399e-008,-0.8346
2.69823e-008,-0.8525
2.70247e-008,-0.8224
2.70672e-008,-0.8022
2.71096e-008,-0.8227
2.71520e-008,-0.8573
2.71944e-008,-0.8806
2.72368e-008,-0.8826
2.72793e-008,-0.8837
2.73217e-008,-0.8873
2.73641e-008,-0.9261
2.74065e-008,-0.9716
2.74490e-008,-1.0052
2.74914e-008,-1.0267
2.75338e-008,-1.0284
2.75763e-008,-0.9823
2.76187e-008,-0.6732
2.76611e-008,-0.3113
2.77035e-008,0.0735
2.77459e-008,0.4013
2.77884e-008,0.6531
2.78308e-008,0.7802
2.78732e-008,0.8318
2.79157e-008,0.8532
2.79581e-008,0.8263
2.80005e-008,0.8040
2.80429e-008,0.8230
2.80854e-008,0.8555
2.81278e-008,0.8802
2.81702e-008,0.8831
2.82126e-008,0.8842
2.82550e-008,0.8870
2.82975e-008,0.9218
2.83399e-008,0.9678
2.83823e-008,1.0020
2.84248e-008,1.0263
2.84672e-008,1.0302
2.85096e-008,0.9980
2.85520e-008,0.7112
2.85944e-008,0.3444
2.86369e-008,-0.0346
2.86793e-008,-0.3709
2.87217e-008,-0.6311
2.87642e-008,-0.7708
2.88066e-008,-0.8270
2.88490e-008,-0.8535
2.88914e-008,-0.8302
2.89339e-008,-0.8020
2.89763e-008,-0.8171
2.90187e-008,-0.8504
2.90611e-008,-0.8782
2.91035e-008,-0.8828
2.91460e-008,-0.8836
2.91884e-008,-0.8848
2.92308e-008,-0.9161
2.92733e-008,-0.9641
2.93157e-008,-0.9990
2.93581e-008,-1.0242
2.94005e-008,-1.0292
2.94429e-008,-1.0045
2.94854e-008,-0.7457
2.95278e-008,-0.3773
2.95702e-008,-0.0045
2.96127e-008,0.3424
2.96551e-008,0.6124
2.96975e-008,0.7639
2.97399e-008,0.8239
2.97824e-008,0.8531
2.98248e-008,0.8340
2.98672e-008,0.8044
2.99096e-008,0.8175
2.99521e-008,0.8488
2.99945e-008,0.8773
3.00369e-008,0.8833
3.00793e-008,0.8839
3.01218e-008,0.8851
3.01642e-008,0.9122
3.02066e-008,0.9601
3.02490e-008,0.9956
3.02914e-008,1.0232
3.03339e-008,1.0306
3.03763e-008,1.0100
3.04187e-008,0.7797
3.04612e-008,0.4109
3.05036e-008,0.0448
3.05460e-008,-0.3113
3.05884e-008,-0.5889
3.06309e-008,-0.7514
3.06733e-008,-0.8181
3.07157e-008,-0.8520
3.07581e-008,-0.8379
3.08005e-008,-0.8041
3.08430e-008,-0.8118
3.08854e-008,-0.8433
3.09278e-008,-0.8747
3.09702e-008,-0.8829
3.10127e-008,-0.8833
3.10551e-008,-0.8837
3.10975e-008,-0.9067
3.11400e-008,-0.9559
3.11824e-008,-0.9926
3.12248e-008,-1.0209
3.12672e-008,-1.0295
3.13096e-008,-1.0129
3.13521e-008,-0.8096
3.13945e-008,-0.4451
3.14369e-008,-0.0859
3.14793e-008,0.2814
3.15218e-008,0.5683
