.HEADER
..NAMES
Time,V U1.R21&P21
.DATA
1.51980e-008,0.0536
1.52320e-008,0.0565
1.52660e-008,0.0718
1.53000e-008,0.1008
1.53340e-008,0.1549
1.53680e-008,0.2248
1.54020e-008,0.2883
1.54360e-008,0.3591
1.54700e-008,0.4252
1.55040e-008,0.4899
1.55380e-008,0.5880
1.55720e-008,0.6916
1.56060e-008,0.8111
1.56400e-008,0.9359
1.56740e-008,1.0424
1.57080e-008,1.1258
1.57420e-008,1.1931
1.57760e-008,1.2359
1.58100e-008,1.2583
1.58440e-008,1.2587
1.58780e-008,1.2464
1.59120e-008,1.2333
1.59460e-008,1.2229
1.59800e-008,1.2133
1.60140e-008,1.2100
1.60480e-008,1.2121
1.60820e-008,1.2188
1.61160e-008,1.2359
1.61500e-008,1.2601
1.61840e-008,1.2804
1.62180e-008,1.2992
1.62520e-008,1.3131
1.62860e-008,1.3199
1.63200e-008,1.3165
1.63540e-008,1.2579
1.63880e-008,1.1035
1.64220e-008,0.9277
1.64560e-008,0.7578
1.64900e-008,0.6091
1.65240e-008,0.4673
1.65580e-008,0.3429
1.65920e-008,0.2476
1.66260e-008,0.2099
1.66600e-008,0.2010
1.66940e-008,0.1903
1.67280e-008,0.1819
1.67620e-008,0.1821
1.67960e-008,0.1928
1.68300e-008,0.1902
1.68640e-008,0.1754
1.68980e-008,0.1601
1.69320e-008,0.1540
1.69660e-008,0.1309
1.70000e-008,0.0969
1.70340e-008,0.0674
1.70680e-008,0.0540
1.71020e-008,0.0553
1.71360e-008,0.0688
1.71700e-008,0.0953
1.72040e-008,0.1456
1.72380e-008,0.2148
1.72720e-008,0.2801
1.73060e-008,0.3509
1.73400e-008,0.4163
1.73740e-008,0.4793
1.74080e-008,0.5740
1.74420e-008,0.6750
1.74760e-008,0.7935
1.75100e-008,0.9181
1.75440e-008,1.0283
1.75780e-008,1.1153
1.76120e-008,1.1844
1.76460e-008,1.2312
1.76800e-008,1.2566
1.77140e-008,1.2598
1.77480e-008,1.2488
1.77820e-008,1.2350
1.78160e-008,1.2245
1.78500e-008,1.2146
1.78840e-008,1.2100
1.79180e-008,1.2115
1.79520e-008,1.2172
1.79860e-008,1.2326
1.80200e-008,1.2566
1.80540e-008,1.2776
1.80880e-008,1.2965
1.81220e-008,1.3117
1.81560e-008,1.3194
1.81900e-008,1.3202
1.82240e-008,1.2768
1.82580e-008,1.1299
1.82920e-008,0.9519
1.83260e-008,0.7836
1.83600e-008,0.6300
1.83940e-008,0.4880
1.84280e-008,0.3602
1.84620e-008,0.2592
1.84960e-008,0.2126
1.85300e-008,0.2027
1.85640e-008,0.1915
1.85980e-008,0.1835
1.86320e-008,0.1809
1.86660e-008,0.1918
1.87000e-008,0.1916
1.87340e-008,0.1782
1.87680e-008,0.1614
