.HEADER
..NAMES
Time,V U1.J23
.DATA
2.15943e-008,0.2398
2.16367e-008,0.2512
2.16792e-008,0.2621
2.17216e-008,0.2793
2.17640e-008,0.2974
2.18064e-008,0.2962
2.18489e-008,0.2836
2.18913e-008,0.2588
2.19337e-008,0.2293
2.19762e-008,0.3050
2.20186e-008,0.5153
2.20610e-008,0.7147
2.21034e-008,0.9213
2.21458e-008,1.0233
2.21883e-008,1.0726
2.22307e-008,1.1101
2.22731e-008,1.1376
2.23156e-008,1.1881
2.23580e-008,1.2130
2.24004e-008,1.2271
2.24428e-008,1.2376
2.24852e-008,1.2383
2.25277e-008,1.2364
2.25701e-008,1.2256
2.26125e-008,1.2137
2.26549e-008,1.1964
2.26974e-008,1.1782
2.27398e-008,1.1764
2.27822e-008,1.1853
2.28247e-008,1.2098
2.28671e-008,1.2406
2.29095e-008,1.2564
2.29519e-008,1.2577
2.29943e-008,1.2499
2.30368e-008,1.2460
2.30792e-008,1.2519
2.31216e-008,1.2611
2.31641e-008,1.2681
2.32065e-008,1.2671
2.32489e-008,1.2612
2.32913e-008,1.2577
2.33338e-008,1.2575
2.33762e-008,1.2586
2.34186e-008,1.2595
2.34610e-008,1.2605
2.35034e-008,1.2619
2.35459e-008,1.2641
2.35883e-008,1.2670
2.36307e-008,1.2682
2.36732e-008,1.2675
2.37156e-008,1.2658
2.37580e-008,1.2635
2.38004e-008,1.2602
2.38428e-008,1.1865
2.38853e-008,0.9534
2.39277e-008,0.7639
2.39701e-008,0.5809
2.40126e-008,0.4527
2.40550e-008,0.3852
2.40974e-008,0.3382
2.41398e-008,0.3157
2.41823e-008,0.2839
2.42247e-008,0.2593
2.42671e-008,0.2495
2.43095e-008,0.2351
2.43519e-008,0.2316
2.43944e-008,0.2372
2.44368e-008,0.2475
2.44792e-008,0.2588
2.45217e-008,0.2724
2.45641e-008,0.2930
2.46065e-008,0.2979
2.46489e-008,0.2882
2.46913e-008,0.2681
2.47338e-008,0.2374
2.47762e-008,0.2579
2.48186e-008,0.4509
2.48611e-008,0.6523
2.49035e-008,0.8733
2.49459e-008,1.0023
2.49883e-008,1.0602
2.50308e-008,1.1012
2.50732e-008,1.1273
2.51156e-008,1.1742
2.51580e-008,1.2084
2.52004e-008,1.2224
2.52429e-008,1.2358
2.52853e-008,1.2387
2.53277e-008,1.2377
2.53702e-008,1.2295
2.54126e-008,1.2171
2.54550e-008,1.2027
2.54974e-008,1.1821
2.55398e-008,1.1755
2.55823e-008,1.1814
2.56247e-008,1.2007
2.56671e-008,1.2325
2.57096e-008,1.2536
2.57520e-008,1.2586
2.57944e-008,1.2526
2.58368e-008,1.2461
2.58793e-008,1.2495
2.59217e-008,1.2583
2.59641e-008,1.2667
2.60065e-008,1.2684
2.60489e-008,1.2629
2.60914e-008,1.2584
2.61338e-008,1.2573
2.61762e-008,1.2583
2.62187e-008,1.2593
2.62611e-008,1.2601
2.63035e-008,1.2615
2.63459e-008,1.2634
2.63883e-008,1.2662
2.64308e-008,1.2681
2.64732e-008,1.2678
2.65156e-008,1.2664
2.65580e-008,1.2642
2.66005e-008,1.2621
2.66429e-008,1.2335
2.66853e-008,1.0270
2.67278e-008,0.8133
2.67702e-008,0.6311
2.68126e-008,0.4849
2.68550e-008,0.4015
2.68974e-008,0.3490
2.69399e-008,0.3207
2.69823e-008,0.2948
2.70247e-008,0.2640
2.70672e-008,0.2529
2.71096e-008,0.2388
2.71520e-008,0.2312
2.71944e-008,0.2351
2.72368e-008,0.2440
2.72793e-008,0.2559
2.73217e-008,0.2672
2.73641e-008,0.2876
2.74065e-008,0.2986
2.74490e-008,0.2919
2.74914e-008,0.2756
2.75338e-008,0.2462
2.75763e-008,0.2223
2.76187e-008,0.2164
2.76611e-008,0.2191
2.77035e-008,0.2236
2.77459e-008,0.2224
2.77884e-008,0.2173
2.78308e-008,0.2125
2.78732e-008,0.2102
2.79157e-008,0.2132
2.79581e-008,0.2167
2.80005e-008,0.2180
2.80429e-008,0.2189
2.80854e-008,0.2195
2.81278e-008,0.2188
2.81702e-008,0.2168
2.82126e-008,0.2150
2.82550e-008,0.2128
2.82975e-008,0.2107
2.83399e-008,0.2106
2.83823e-008,0.2115
2.84248e-008,0.2132
2.84672e-008,0.2154
2.85096e-008,0.2181
2.85520e-008,0.3372
2.85944e-008,0.5218
2.86369e-008,0.7184
2.86793e-008,0.9034
2.87217e-008,1.0091
2.87642e-008,1.0758
2.88066e-008,1.1150
2.88490e-008,1.1462
2.88914e-008,1.1868
2.89339e-008,1.2067
2.89763e-008,1.2247
2.90187e-008,1.2330
2.90611e-008,1.2345
2.91035e-008,1.2333
2.91460e-008,1.2245
2.91884e-008,1.2154
2.92308e-008,1.1986
2.92733e-008,1.1849
2.93157e-008,1.1831
2.93581e-008,1.1906
2.94005e-008,1.2137
2.94429e-008,1.2212
2.94854e-008,1.0589
2.95278e-008,0.8046
2.95702e-008,0.6135
2.96127e-008,0.4599
2.96551e-008,0.3895
2.96975e-008,0.3548
2.97399e-008,0.3263
2.97824e-008,0.3011
2.98248e-008,0.2599
2.98672e-008,0.2450
2.99096e-008,0.2351
2.99521e-008,0.2271
2.99945e-008,0.2308
3.00369e-008,0.2400
3.00793e-008,0.2544
3.01218e-008,0.2681
3.01642e-008,0.2896
3.02066e-008,0.3057
3.02490e-008,0.2993
3.02914e-008,0.2806
3.03339e-008,0.2485
3.03763e-008,0.2188
3.04187e-008,0.2117
3.04612e-008,0.2180
3.05036e-008,0.2260
3.05460e-008,0.2257
3.05884e-008,0.2177
3.06309e-008,0.2104
3.06733e-008,0.2073
3.07157e-008,0.2116
3.07581e-008,0.2177
3.08005e-008,0.2197
3.08430e-008,0.2197
3.08854e-008,0.2196
3.09278e-008,0.2191
3.09702e-008,0.2175
3.10127e-008,0.2153
3.10551e-008,0.2129
3.10975e-008,0.2103
3.11400e-008,0.2098
3.11824e-008,0.2112
3.12248e-008,0.2131
3.12672e-008,0.2156
3.13096e-008,0.2171
3.13521e-008,0.2168
3.13945e-008,0.2153
3.14369e-008,0.2142
3.14793e-008,0.2145
3.15218e-008,0.2157
3.15642e-008,0.2169
3.16066e-008,0.2172
3.16491e-008,0.2161
3.16915e-008,0.2148
3.17339e-008,0.2144
3.17763e-008,0.2147
3.18188e-008,0.2150
3.18612e-008,0.2152
3.19036e-008,0.2152
3.19460e-008,0.2153
3.19884e-008,0.2156
3.20309e-008,0.2158
3.20733e-008,0.2158
3.21157e-008,0.2156
3.21582e-008,0.2153
3.22006e-008,0.2152
3.22430e-008,0.2153
3.22854e-008,0.2154
3.23279e-008,0.2155
3.23703e-008,0.2155
3.24127e-008,0.2154
3.24551e-008,0.2153
3.24975e-008,0.2152
3.25400e-008,0.2152
3.25824e-008,0.2153
3.26248e-008,0.2155
3.26672e-008,0.2156
3.27097e-008,0.2155
3.27521e-008,0.2154
3.27945e-008,0.2154
3.28370e-008,0.2154
3.28794e-008,0.2154
3.29218e-008,0.2154
3.29642e-008,0.2154
3.30066e-008,0.2154
3.30491e-008,0.2154
3.30915e-008,0.2155
3.31339e-008,0.2155
3.31763e-008,0.2154
3.32188e-008,0.2622
3.32612e-008,0.4348
3.33036e-008,0.6126
3.33461e-008,0.8296
3.33885e-008,0.9684
3.34309e-008,1.0459
3.34733e-008,1.0977
3.35158e-008,1.1264
3.35582e-008,1.1702
3.36006e-008,1.1997
3.36430e-008,1.2169
3.36854e-008,1.2311
3.37279e-008,1.2343
3.37703e-008,1.2352
3.38127e-008,1.2294
3.38552e-008,1.2200
3.38976e-008,1.2075
3.39400e-008,1.1896
3.39824e-008,1.1828
3.40249e-008,1.1854
3.40673e-008,1.2012
3.41097e-008,1.2282
3.41521e-008,1.2477
3.41945e-008,1.2558
3.42370e-008,1.2536
3.42794e-008,1.2488
3.43218e-008,1.2506
3.43643e-008,1.2568
3.44067e-008,1.2640
3.44491e-008,1.2666
3.44915e-008,1.2635
3.45340e-008,1.2602
3.45764e-008,1.2586
3.46188e-008,1.2589
3.46612e-008,1.2597
3.47036e-008,1.2605
3.47461e-008,1.2617
3.47885e-008,1.2633
3.48309e-008,1.2657
3.48733e-008,1.2675
3.49158e-008,1.2676
3.49582e-008,1.2667
3.50006e-008,1.2647
3.50431e-008,1.2627
3.50855e-008,1.2183
3.51279e-008,0.9962
3.51703e-008,0.7931
3.52128e-008,0.6097
3.52552e-008,0.4715
3.52976e-008,0.3951
3.53400e-008,0.3452
3.53824e-008,0.3191
3.54249e-008,0.2902
3.54673e-008,0.2616
3.55097e-008,0.2517
3.55522e-008,0.2375
3.55946e-008,0.2316
3.56370e-008,0.2362
3.56794e-008,0.2456
3.57219e-008,0.2573
3.57643e-008,0.2695
3.58067e-008,0.2903
3.58491e-008,0.2987
3.58915e-008,0.2906
3.59340e-008,0.2728
3.59764e-008,0.2427
3.60188e-008,0.2370
3.60613e-008,0.4115
3.61037e-008,0.6200
3.61461e-008,0.8387
3.61885e-008,0.9862
3.62310e-008,1.0520
3.62734e-008,1.0959
3.63158e-008,1.1232
3.63582e-008,1.1653
3.64006e-008,1.2051
3.64431e-008,1.2200
3.64855e-008,1.2344
