.HEADER
..NAMES
Time,V U1.V24
.DATA
1.48487e-008,1.2614
1.48912e-008,1.2586
1.49336e-008,1.2445
1.49760e-008,1.0744
1.50185e-008,0.8566
1.50609e-008,0.6736
1.51033e-008,0.5017
1.51457e-008,0.3808
1.51881e-008,0.3279
1.52306e-008,0.3005
1.52730e-008,0.2836
1.53154e-008,0.2764
1.53579e-008,0.2718
1.54003e-008,0.2680
1.54427e-008,0.2671
1.54851e-008,0.2524
1.55276e-008,0.2342
1.55700e-008,0.2515
1.56124e-008,0.2749
1.56548e-008,0.2812
1.56972e-008,0.2950
1.57397e-008,0.2857
1.57821e-008,0.2381
1.58245e-008,0.2098
1.58670e-008,0.2022
1.59094e-008,0.1977
1.59518e-008,0.2068
1.59942e-008,0.2189
1.60366e-008,0.2207
1.60791e-008,0.2198
1.61215e-008,0.2177
1.61639e-008,0.2155
1.62064e-008,0.2165
1.62488e-008,0.2162
1.62912e-008,0.2111
1.63336e-008,0.2111
1.63761e-008,0.2173
1.64185e-008,0.2177
1.64609e-008,0.2168
1.65033e-008,0.2192
1.65457e-008,0.2134
1.65882e-008,0.2060
1.66306e-008,0.2100
1.66730e-008,0.2144
1.67155e-008,0.2160
1.67579e-008,0.2190
1.68003e-008,0.2189
1.68427e-008,0.2160
1.68851e-008,0.2149
1.69276e-008,0.2143
1.69700e-008,0.2147
1.70124e-008,0.2161
1.70548e-008,0.2154
1.70973e-008,0.2143
1.71397e-008,0.2156
1.71821e-008,0.2164
1.72246e-008,0.2154
1.72670e-008,0.2158
1.73094e-008,0.2162
1.73518e-008,0.2141
1.73942e-008,0.2139
1.74367e-008,0.2161
1.74791e-008,0.2163
1.75215e-008,0.2160
1.75640e-008,0.2162
1.76064e-008,0.2153
1.76488e-008,0.2147
1.76912e-008,0.2150
1.77336e-008,0.2153
1.77761e-008,0.2157
1.78185e-008,0.2159
1.78609e-008,0.2153
1.79033e-008,0.2153
1.79458e-008,0.2157
1.79882e-008,0.2155
1.80306e-008,0.2153
1.80731e-008,0.2157
1.81155e-008,0.2155
1.81579e-008,0.2150
1.82003e-008,0.2155
1.82427e-008,0.2159
1.82852e-008,0.2156
1.83276e-008,0.2155
1.83700e-008,0.2155
1.84125e-008,0.2153
1.84549e-008,0.2154
1.84973e-008,0.2156
1.85397e-008,0.2156
1.85822e-008,0.2157
1.86246e-008,0.2156
1.86670e-008,0.2154
1.87094e-008,0.2813
1.87518e-008,0.4518
1.87943e-008,0.6275
1.88367e-008,0.8417
1.88791e-008,0.9898
1.89216e-008,1.0821
1.89640e-008,1.1328
1.90064e-008,1.1652
1.90488e-008,1.1810
1.90912e-008,1.1937
1.91337e-008,1.1996
1.91761e-008,1.2021
1.92185e-008,1.2092
1.92610e-008,1.2275
1.93034e-008,1.2311
1.93458e-008,1.2169
1.93882e-008,1.2044
1.94307e-008,1.1854
1.94731e-008,1.1802
1.95155e-008,1.2069
1.95579e-008,1.2412
1.96003e-008,1.2577
1.96428e-008,1.1698
1.96852e-008,0.9139
1.97276e-008,0.7113
1.97701e-008,0.5234
1.98125e-008,0.3962
1.98549e-008,0.3305
1.98973e-008,0.3069
1.99397e-008,0.2838
1.99822e-008,0.2768
2.00246e-008,0.2732
2.00670e-008,0.2735
2.01095e-008,0.2700
2.01519e-008,0.2589
2.01943e-008,0.2331
2.02367e-008,0.2336
2.02792e-008,0.2696
2.03216e-008,0.2897
2.03640e-008,0.3003
2.04064e-008,0.2992
2.04488e-008,0.2557
2.04913e-008,0.2057
2.05337e-008,0.1965
2.05761e-008,0.2460
2.06186e-008,0.4434
2.06610e-008,0.6422
2.07034e-008,0.8610
2.07458e-008,1.0013
2.07882e-008,1.0909
2.08307e-008,1.1344
2.08731e-008,1.1666
2.09155e-008,1.1826
2.09580e-008,1.1915
2.10004e-008,1.1925
2.10428e-008,1.2006
2.10852e-008,1.2122
2.11277e-008,1.2310
2.11701e-008,1.2387
2.12125e-008,1.2171
2.12549e-008,1.1918
2.12973e-008,1.1750
2.13398e-008,1.1761
2.13822e-008,1.2065
2.14246e-008,1.2489
2.14671e-008,1.2691
2.15095e-008,1.2768
2.15519e-008,1.2686
2.15943e-008,1.2579
2.16367e-008,1.2532
2.16792e-008,1.2559
2.17216e-008,1.2580
2.17640e-008,1.2602
2.18064e-008,1.2603
2.18489e-008,1.2615
2.18913e-008,1.2638
2.19337e-008,1.2673
2.19762e-008,1.2654
2.20186e-008,1.2603
2.20610e-008,1.2584
2.21034e-008,1.2591
2.21458e-008,1.2625
2.21883e-008,1.2695
2.22307e-008,1.2715
2.22731e-008,1.2669
2.23156e-008,1.2626
2.23580e-008,1.2590
2.24004e-008,1.2586
2.24428e-008,1.2613
2.24852e-008,1.2637
2.25277e-008,1.2641
2.25701e-008,1.2637
2.26125e-008,1.2628
2.26549e-008,1.2626
2.26974e-008,1.2633
2.27398e-008,1.2637
2.27822e-008,1.2627
2.28247e-008,1.2620
2.28671e-008,1.2622
2.29095e-008,1.2626
2.29519e-008,1.2636
2.29943e-008,1.2645
2.30368e-008,1.2635
2.30792e-008,1.2621
2.31216e-008,1.2618
2.31641e-008,1.2620
2.32065e-008,1.2628
2.32489e-008,1.2637
2.32913e-008,1.2636
2.33338e-008,1.2631
2.33762e-008,1.2385
2.34186e-008,1.0435
2.34610e-008,0.8333
2.35034e-008,0.6474
2.35459e-008,0.4832
2.35883e-008,0.3706
2.36307e-008,0.3238
2.36732e-008,0.2969
2.37156e-008,0.2831
2.37580e-008,0.2763
2.38004e-008,0.2720
2.38428e-008,0.2686
2.38853e-008,0.2662
2.39277e-008,0.2479
2.39701e-008,0.2334
2.40126e-008,0.2559
2.40550e-008,0.2772
2.40974e-008,0.2839
2.41398e-008,0.2965
2.41823e-008,0.2805
2.42247e-008,0.2315
2.42671e-008,0.2082
2.43095e-008,0.2079
2.43519e-008,0.3530
2.43944e-008,0.5615
2.44368e-008,0.7764
2.44792e-008,0.9529
2.45217e-008,1.0652
2.45641e-008,1.1216
2.46065e-008,1.1549
2.46489e-008,1.1778
2.46913e-008,1.1903
2.47338e-008,1.1926
2.47762e-008,1.1980
2.48186e-008,1.2062
2.48611e-008,1.2204
2.49035e-008,1.2378
2.49459e-008,1.2289
2.49883e-008,1.2027
2.50308e-008,1.1823
2.50732e-008,1.1728
2.51156e-008,1.1886
2.51580e-008,1.2314
2.52004e-008,1.2625
2.52429e-008,1.2761
2.52853e-008,1.2743
2.53277e-008,1.2625
2.53702e-008,1.2536
2.54126e-008,1.2538
2.54550e-008,1.2568
2.54974e-008,1.2596
2.55398e-008,1.2604
2.55823e-008,1.2609
2.56247e-008,1.2622
2.56671e-008,1.2656
2.57096e-008,1.2669
2.57520e-008,1.2626
2.57944e-008,1.2590
2.58368e-008,1.2585
2.58793e-008,1.2600
2.59217e-008,1.2661
2.59641e-008,1.2715
2.60065e-008,1.2692
2.60489e-008,1.2645
2.60914e-008,1.2603
2.61338e-008,1.2580
2.61762e-008,1.2497
2.62187e-008,1.1151
2.62611e-008,0.8884
2.63035e-008,0.7078
2.63459e-008,0.5277
2.63883e-008,0.3970
2.64308e-008,0.3346
2.64732e-008,0.3053
2.65156e-008,0.2852
2.65580e-008,0.2775
2.66005e-008,0.2720
2.66429e-008,0.2686
2.66853e-008,0.2682
2.67278e-008,0.2567
2.67702e-008,0.2355
2.68126e-008,0.2460
2.68550e-008,0.2722
2.68974e-008,0.2796
2.69399e-008,0.2932
2.69823e-008,0.2912
2.70247e-008,0.2470
2.70672e-008,0.2118
2.71096e-008,0.2034
2.71520e-008,0.2969
2.71944e-008,0.5029
2.72368e-008,0.7067
2.72793e-008,0.9110
2.73217e-008,1.0372
2.73641e-008,1.1079
2.74065e-008,1.1458
2.74490e-008,1.1734
2.74914e-008,1.1872
2.75338e-008,1.1928
2.75763e-008,1.1956
2.76187e-008,1.2031
2.76611e-008,1.2148
2.77035e-008,1.2344
2.77459e-008,1.2348
2.77884e-008,1.2105
2.78308e-008,1.1881
2.78732e-008,1.1731
2.79157e-008,1.1801
2.79581e-008,1.2180
2.80005e-008,1.2561
2.80429e-008,1.2732
2.80854e-008,1.2769
2.81278e-008,1.2659
2.81702e-008,1.2552
2.82126e-008,1.2528
2.82550e-008,1.2561
2.82975e-008,1.2588
2.83399e-008,1.2604
2.83823e-008,1.2605
2.84248e-008,1.2616
2.84672e-008,1.2644
2.85096e-008,1.2672
2.85520e-008,1.2642
2.85944e-008,1.2597
2.86369e-008,1.2584
2.86793e-008,1.2591
2.87217e-008,1.2638
2.87642e-008,1.2706
2.88066e-008,1.2705
2.88490e-008,1.2658
2.88914e-008,1.2615
2.89339e-008,1.2582
2.89763e-008,1.2557
2.90187e-008,1.1736
2.90611e-008,0.9484
2.91035e-008,0.7652
2.91460e-008,0.5748
2.91884e-008,0.4283
2.92308e-008,0.3463
2.92733e-008,0.3135
2.93157e-008,0.2889
2.93581e-008,0.2802
2.94005e-008,0.2731
2.94429e-008,0.2695
2.94854e-008,0.2683
2.95278e-008,0.2623
2.95702e-008,0.2401
2.96127e-008,0.2389
2.96551e-008,0.2664
2.96975e-008,0.2777
2.97399e-008,0.2888
2.97824e-008,0.2962
2.98248e-008,0.2624
2.98672e-008,0.2179
2.99096e-008,0.2057
2.99521e-008,0.2497
2.99945e-008,0.4412
3.00369e-008,0.6400
3.00793e-008,0.8630
3.01218e-008,1.0055
3.01642e-008,1.0941
3.02066e-008,1.1356
3.02490e-008,1.1665
3.02914e-008,1.1829
3.03339e-008,1.1927
3.03763e-008,1.1939
3.04187e-008,1.2008
3.04612e-008,1.2105
3.05036e-008,1.2288
3.05460e-008,1.2380
3.05884e-008,1.2185
3.06309e-008,1.1940
3.06733e-008,1.1757
3.07157e-008,1.1751
3.07581e-008,1.2046
3.08005e-008,1.2475
3.08430e-008,1.2693
3.08854e-008,1.2781
3.09278e-008,1.2694
3.09702e-008,1.2578
3.10127e-008,1.2525
3.10551e-008,1.2552
3.10975e-008,1.2579
3.11400e-008,1.2603
3.11824e-008,1.2604
3.12248e-008,1.2612
3.12672e-008,1.2632
3.13096e-008,1.2669
3.13521e-008,1.2656
3.13945e-008,1.2607
3.14369e-008,1.2585
3.14793e-008,1.2587
3.15218e-008,1.2619
3.15642e-008,1.2690
3.16066e-008,1.2714
3.16491e-008,1.2672
3.16915e-008,1.2627
3.17339e-008,1.2588
3.17763e-008,1.2582
3.18188e-008,1.2238
3.18612e-008,1.0167
3.19036e-008,0.8165
3.19460e-008,0.6266
3.19884e-008,0.4665
3.20309e-008,0.3616
3.20733e-008,0.3210
3.21157e-008,0.2949
3.21582e-008,0.2824
3.22006e-008,0.2745
3.22430e-008,0.2705
3.22854e-008,0.2682
3.23279e-008,0.2660
3.23703e-008,0.2468
3.24127e-008,0.2348
3.24551e-008,0.2584
3.24975e-008,0.2763
3.25400e-008,0.2843
3.25824e-008,0.2970
3.26248e-008,0.2766
3.26672e-008,0.2277
3.27097e-008,0.2076
3.27521e-008,0.1999
3.27945e-008,0.1988
3.28370e-008,0.2102
3.28794e-008,0.2204
3.29218e-008,0.2204
3.29642e-008,0.2196
3.30066e-008,0.2167
3.30491e-008,0.2156
3.30915e-008,0.2170
3.31339e-008,0.2154
3.31763e-008,0.2102
3.32188e-008,0.2125
3.32612e-008,0.2180
3.33036e-008,0.2171
3.33461e-008,0.2175
3.33885e-008,0.2189
3.34309e-008,0.2110
3.34733e-008,0.2060
3.35158e-008,0.2114
3.35582e-008,0.2148
3.36006e-008,0.2168
3.36430e-008,0.2195
3.36854e-008,0.2183
3.37279e-008,0.2156
3.37703e-008,0.2147
3.38127e-008,0.2142
3.38552e-008,0.2152
3.38976e-008,0.2162
3.39400e-008,0.2151
3.39824e-008,0.2144
3.40249e-008,0.2160
3.40673e-008,0.2163
3.41097e-008,0.2154
3.41521e-008,0.2161
3.41945e-008,0.2159
3.42370e-008,0.2137
3.42794e-008,0.2144
3.43218e-008,0.2164
3.43643e-008,0.2162
3.44067e-008,0.2161
3.44491e-008,0.2161
3.44915e-008,0.2151
3.45340e-008,0.2148
3.45764e-008,0.2151
3.46188e-008,0.2154
3.46612e-008,0.2159
3.47036e-008,0.2158
3.47461e-008,0.2152
3.47885e-008,0.2154
3.48309e-008,0.2158
3.48733e-008,0.2155
3.49158e-008,0.2155
3.49582e-008,0.2158
3.50006e-008,0.2154
3.50431e-008,0.2150
3.50855e-008,0.2157
3.51279e-008,0.2159
3.51703e-008,0.2156
3.52128e-008,0.2156
3.52552e-008,0.2155
3.52976e-008,0.2153
3.53400e-008,0.2155
3.53824e-008,0.2156
3.54249e-008,0.2157
3.54673e-008,0.2157
3.55097e-008,0.2155
3.55522e-008,0.2154
3.55946e-008,0.2156
3.56370e-008,0.2156
3.56794e-008,0.2155
3.57219e-008,0.2156
3.57643e-008,0.2157
3.58067e-008,0.2155
3.58491e-008,0.2155
3.58915e-008,0.2157
3.59340e-008,0.2157
3.59764e-008,0.2156
3.60188e-008,0.2156
3.60613e-008,0.2156
3.61037e-008,0.2156
3.61461e-008,0.2156
3.61885e-008,0.2157
3.62310e-008,0.2157
3.62734e-008,0.2156
3.63158e-008,0.2156
3.63582e-008,0.2156
3.64006e-008,0.2157
3.64431e-008,0.2156
3.64855e-008,0.2156
3.65279e-008,0.2157
3.65703e-008,0.2156
3.66128e-008,0.2156
3.66552e-008,0.2157
3.66976e-008,0.2157
3.67401e-008,0.2157
3.67825e-008,0.2157
3.68249e-008,0.2157
3.68673e-008,0.2157
3.69097e-008,0.2157
3.69522e-008,0.2157
3.69946e-008,0.2157
3.70370e-008,0.2157
3.70794e-008,0.2157
3.71219e-008,0.2157
3.71643e-008,0.2157
3.72067e-008,0.2157
3.72492e-008,0.2157
3.72916e-008,0.2157
3.73340e-008,0.2157
3.73764e-008,0.2157
3.74189e-008,0.2157
3.74613e-008,0.2869
3.75037e-008,0.4595
3.75461e-008,0.6371
3.75885e-008,0.8494
3.76310e-008,0.9951
3.76734e-008,1.0851
3.77158e-008,1.1349
3.77583e-008,1.1663
3.78007e-008,1.1819
3.78431e-008,1.1943
3.78855e-008,1.2000
3.79280e-008,1.2023
3.79704e-008,1.2100
3.80128e-008,1.2284
3.80552e-008,1.2309
3.80976e-008,1.2164
3.81401e-008,1.2039
3.81825e-008,1.1849
3.82249e-008,1.1807
3.82673e-008,1.2086
3.83098e-008,1.2426
3.83522e-008,1.2576
3.83946e-008,1.1605
3.84371e-008,0.9033
3.84795e-008,0.7032
3.85219e-008,0.5171
3.85643e-008,0.3922
3.86067e-008,0.3295
3.86492e-008,0.3061
3.86916e-008,0.2833
3.87340e-008,0.2766
3.87764e-008,0.2734
3.88189e-008,0.2735
3.88613e-008,0.2699
3.89037e-008,0.2581
3.89462e-008,0.2323
3.89886e-008,0.2349
3.90310e-008,0.2713
3.90734e-008,0.2902
3.91159e-008,0.3009
3.91583e-008,0.2985
3.92007e-008,0.2532
3.92431e-008,0.2047
3.92855e-008,0.1967
3.93280e-008,0.2521
3.93704e-008,0.4526
3.94128e-008,0.6508
3.94553e-008,0.8686
3.94977e-008,1.0064
3.95401e-008,1.0934
3.95825e-008,1.1360
3.96250e-008,1.1679
3.96674e-008,1.1833
3.97098e-008,1.1917
3.97522e-008,1.1929
3.97946e-008,1.2011
3.98371e-008,1.2129
3.98795e-008,1.2320
3.99219e-008,1.2386
3.99644e-008,1.2159
4.00068e-008,1.1911
4.00492e-008,1.1747
4.00916e-008,1.1767
4.01341e-008,1.2084
4.01765e-008,1.2506
4.02189e-008,1.2689
4.02613e-008,1.2017
4.03037e-008,0.9461
4.03462e-008,0.7342
4.03886e-008,0.5448
4.04310e-008,0.4134
4.04734e-008,0.3370
4.05159e-008,0.3099
4.05583e-008,0.2858
4.06007e-008,0.2786
4.06432e-008,0.2745
4.06856e-008,0.2751
4.07280e-008,0.2712
4.07704e-008,0.2598
4.08128e-008,0.2336
4.08553e-008,0.2306
4.08977e-008,0.2670
4.09401e-008,0.2909
4.09825e-008,0.3003
4.10250e-008,0.3007
4.10674e-008,0.2619
4.11098e-008,0.2086
4.11523e-008,0.1967
4.11947e-008,0.2240
4.12371e-008,0.4109
4.12795e-008,0.6133
4.13220e-008,0.8311
4.13644e-008,0.9825
4.14068e-008,1.0820
4.14492e-008,1.1293
4.14916e-008,1.1626
4.15341e-008,1.1808
4.15765e-008,1.1905
4.16189e-008,1.1917
4.16614e-008,1.1999
4.17038e-008,1.2106
4.17462e-008,1.2280
4.17886e-008,1.2396
4.18311e-008,1.2210
4.18735e-008,1.1945
4.19159e-008,1.1771
4.19583e-008,1.1749
4.20007e-008,1.2002
4.20432e-008,1.2438
4.20856e-008,1.2669
4.21280e-008,1.2764
4.21704e-008,1.2705
4.22129e-008,1.2596
4.22553e-008,1.2535
4.22977e-008,1.2556
4.23402e-008,1.2576
4.23826e-008,1.2599
4.24250e-008,1.2604
4.24674e-008,1.2615
4.25098e-008,1.2634
4.25523e-008,1.2670
4.25947e-008,1.2661
4.26371e-008,1.2609
4.26795e-008,1.2585
4.27220e-008,1.2591
4.27644e-008,1.2618
4.28068e-008,1.2686
4.28493e-008,1.2718
