.HEADER
..NAMES
Time,V U1.K23
.DATA
3.52976e-008,0.3019
3.53400e-008,0.2639
3.53824e-008,0.2300
3.54249e-008,0.2232
3.54673e-008,0.2228
3.55097e-008,0.2217
3.55522e-008,0.2726
3.55946e-008,0.4589
3.56370e-008,0.6417
3.56794e-008,0.8435
3.57219e-008,0.9688
3.57643e-008,1.0516
3.58067e-008,1.1105
3.58491e-008,1.1600
3.58915e-008,1.1872
3.59340e-008,1.1987
3.59764e-008,1.1968
3.60188e-008,1.1929
3.60613e-008,1.2050
3.61037e-008,1.2071
3.61461e-008,1.1939
3.61885e-008,1.1750
3.62310e-008,1.1659
3.62734e-008,1.1887
3.63158e-008,1.2259
3.63582e-008,1.2474
3.64006e-008,1.2534
3.64431e-008,1.2479
3.64855e-008,1.1725
3.65279e-008,0.9303
3.65703e-008,0.7360
3.66128e-008,0.5729
3.66552e-008,0.4557
3.66976e-008,0.3736
3.67401e-008,0.3231
3.67825e-008,0.2863
3.68249e-008,0.2746
3.68673e-008,0.2725
3.69097e-008,0.2685
3.69522e-008,0.2689
3.69946e-008,0.2609
3.70370e-008,0.2693
3.70794e-008,0.2955
3.71219e-008,0.3114
3.71643e-008,0.3059
3.72067e-008,0.2734
3.72492e-008,0.2353
3.72916e-008,0.2234
3.73340e-008,0.2225
3.73764e-008,0.2215
3.74189e-008,0.2200
3.74613e-008,0.2168
3.75037e-008,0.2166
3.75461e-008,0.2195
3.75885e-008,0.2186
3.76310e-008,0.2157
3.76734e-008,0.2153
3.77158e-008,0.2152
3.77583e-008,0.2174
3.78007e-008,0.2187
3.78431e-008,0.2157
3.78855e-008,0.2104
3.79280e-008,0.2062
3.79704e-008,0.2085
3.80128e-008,0.2148
3.80552e-008,0.2180
3.80976e-008,0.2172
3.81401e-008,0.2151
3.81825e-008,0.2143
3.82249e-008,0.2157
3.82673e-008,0.2162
3.83098e-008,0.2150
3.83522e-008,0.2263
3.83946e-008,0.3731
3.84371e-008,0.5581
3.84795e-008,0.7597
3.85219e-008,0.9181
3.85643e-008,1.0217
3.86067e-008,1.0879
3.86492e-008,1.1401
3.86916e-008,1.1784
3.87340e-008,1.1928
3.87764e-008,1.2002
3.88189e-008,1.1964
3.88613e-008,1.2074
3.89037e-008,1.2144
3.89462e-008,1.2025
3.89886e-008,1.1821
3.90310e-008,1.1658
3.90734e-008,1.1756
3.91159e-008,1.2106
3.91583e-008,1.2387
3.92007e-008,1.2521
3.92431e-008,1.2521
3.92855e-008,1.2488
3.93280e-008,1.2526
3.93704e-008,1.2582
3.94128e-008,1.2596
3.94553e-008,1.2590
3.94977e-008,1.2593
3.95401e-008,1.2609
3.95825e-008,1.2642
3.96250e-008,1.2640
3.96674e-008,1.2612
3.97098e-008,1.2605
3.97522e-008,1.2637
3.97946e-008,1.2698
3.98371e-008,1.2725
3.98795e-008,1.2690
3.99219e-008,1.2637
3.99644e-008,1.2608
4.00068e-008,1.2619
4.00492e-008,1.2645
4.00916e-008,1.2650
4.01341e-008,1.2639
4.01765e-008,1.2634
4.02189e-008,1.2639
4.02613e-008,1.2646
4.03037e-008,1.2647
4.03462e-008,1.2640
4.03886e-008,1.2636
4.04310e-008,1.2643
4.04734e-008,1.2652
4.05159e-008,1.2653
4.05583e-008,1.2642
4.06007e-008,1.2631
4.06432e-008,1.2630
4.06856e-008,1.2640
4.07280e-008,1.2650
4.07704e-008,1.2650
4.08128e-008,1.2643
4.08553e-008,1.2639
4.08977e-008,1.2641
4.09401e-008,1.2644
4.09825e-008,1.2645
4.10250e-008,1.2642
4.10674e-008,1.2640
4.11098e-008,1.2642
4.11523e-008,1.2644
4.11947e-008,1.2644
4.12371e-008,1.2642
4.12795e-008,1.2640
4.13220e-008,1.2640
4.13644e-008,1.2643
4.14068e-008,1.2645
4.14492e-008,1.2644
4.14916e-008,1.2641
4.15341e-008,1.2640
4.15765e-008,1.2641
4.16189e-008,1.2643
4.16614e-008,1.2643
4.17038e-008,1.2642
4.17462e-008,1.2641
4.17886e-008,1.2642
4.18311e-008,1.2642
4.18735e-008,1.2642
4.19159e-008,1.2642
4.19583e-008,1.2641
4.20007e-008,1.2642
4.20432e-008,1.2642
4.20856e-008,1.2557
4.21280e-008,1.1250
4.21704e-008,0.8846
4.22129e-008,0.7085
4.22553e-008,0.5522
4.22977e-008,0.4356
4.23402e-008,0.3625
4.23826e-008,0.3144
4.24250e-008,0.2805
4.24674e-008,0.2779
4.25098e-008,0.2715
4.25523e-008,0.2702
4.25947e-008,0.2639
4.26371e-008,0.2537
4.26795e-008,0.2706
4.27220e-008,0.2987
4.27644e-008,0.3122
4.28068e-008,0.3019
4.28493e-008,0.2636
4.28917e-008,0.2322
4.29341e-008,0.2242
4.29765e-008,0.2212
4.30190e-008,0.2202
4.30614e-008,0.2190
4.31038e-008,0.2166
4.31462e-008,0.2177
4.31886e-008,0.2197
4.32311e-008,0.2171
4.32735e-008,0.2151
4.33159e-008,0.2145
4.33584e-008,0.2151
4.34008e-008,0.2185
4.34432e-008,0.2190
4.34856e-008,0.2150
4.35281e-008,0.2088
4.35705e-008,0.2056
4.36129e-008,0.2098
4.36553e-008,0.2157
4.36977e-008,0.2177
4.37402e-008,0.2165
4.37826e-008,0.2147
4.38250e-008,0.2146
