.HEADER
..NAMES
Time,V U1.T22
.DATA
1.72219e-008,1.2294
1.72678e-008,1.2098
1.73137e-008,1.0849
1.73596e-008,0.9476
1.74056e-008,0.8134
1.74515e-008,0.6622
1.74974e-008,0.5107
1.75433e-008,0.3910
1.75893e-008,0.3174
1.76352e-008,0.2807
1.76811e-008,0.2600
1.77271e-008,0.2496
1.77730e-008,0.2437
1.78189e-008,0.2439
1.78648e-008,0.2532
1.79108e-008,0.2499
1.79567e-008,0.2412
1.80026e-008,0.2289
1.80485e-008,0.2102
1.80945e-008,0.2079
1.81404e-008,0.2284
1.81863e-008,0.2501
1.82322e-008,0.2763
1.82782e-008,0.2910
1.83241e-008,0.2863
1.83700e-008,0.2767
1.84159e-008,0.2610
1.84619e-008,0.2519
1.85078e-008,0.2540
1.85537e-008,0.2629
1.85996e-008,0.2772
1.86455e-008,0.2814
1.86915e-008,0.2743
1.87374e-008,0.2594
1.87833e-008,0.2403
1.88292e-008,0.2282
1.88752e-008,0.2240
1.89211e-008,0.2236
1.89670e-008,0.2291
1.90129e-008,0.2356
1.90589e-008,0.2419
1.91048e-008,0.2488
1.91507e-008,0.2709
1.91966e-008,0.4199
1.92426e-008,0.5631
1.92885e-008,0.7233
1.93344e-008,0.8930
1.93803e-008,1.0269
1.94263e-008,1.1110
1.94722e-008,1.1671
1.95181e-008,1.1996
1.95640e-008,1.2228
1.96100e-008,1.2348
1.96559e-008,1.2326
1.97018e-008,1.2236
1.97478e-008,1.2046
1.97937e-008,1.2057
1.98396e-008,1.2160
1.98855e-008,1.2361
1.99315e-008,1.2672
1.99774e-008,1.2734
2.00233e-008,1.2490
2.00692e-008,1.2176
2.01152e-008,1.1770
2.01611e-008,1.1571
2.02070e-008,1.1731
2.02529e-008,1.1968
2.02989e-008,1.2253
2.03448e-008,1.2341
2.03907e-008,1.2186
2.04366e-008,1.1970
2.04826e-008,1.1771
2.05285e-008,1.1789
2.05744e-008,1.1973
2.06203e-008,1.2203
2.06662e-008,1.2406
2.07122e-008,1.2463
2.07581e-008,1.2421
2.08040e-008,1.2385
2.08499e-008,1.2335
2.08959e-008,1.2320
2.09418e-008,1.2308
2.09877e-008,1.2237
2.10336e-008,1.1733
2.10796e-008,1.0213
2.11255e-008,0.9036
2.11714e-008,0.7668
2.12173e-008,0.6269
2.12633e-008,0.4907
2.13092e-008,0.3810
2.13551e-008,0.3116
2.14010e-008,0.2648
2.14470e-008,0.2385
2.14929e-008,0.2279
2.15388e-008,0.2332
2.15847e-008,0.2510
2.16307e-008,0.2684
2.16766e-008,0.2638
2.17225e-008,0.2481
2.17685e-008,0.2244
2.18144e-008,0.2013
2.18603e-008,0.2079
2.19062e-008,0.2313
2.19522e-008,0.2578
2.19981e-008,0.2834
2.20440e-008,0.2918
2.20899e-008,0.2851
2.21359e-008,0.2750
2.21818e-008,0.2611
2.22277e-008,0.2560
