.HEADER
..NAMES
Time,V U1.H23
.DATA
2.56247e-008,1.2635
2.56671e-008,1.2634
2.57096e-008,1.2635
2.57520e-008,1.2635
2.57944e-008,1.2635
2.58368e-008,1.2635
2.58793e-008,1.2635
2.59217e-008,1.2634
2.59641e-008,1.2634
2.60065e-008,1.2634
2.60489e-008,1.2635
2.60914e-008,1.2635
2.61338e-008,1.2635
2.61762e-008,1.2563
2.62187e-008,1.1381
2.62611e-008,0.9063
2.63035e-008,0.7273
2.63459e-008,0.5441
2.63883e-008,0.4074
2.64308e-008,0.3356
2.64732e-008,0.3100
2.65156e-008,0.2877
2.65580e-008,0.2819
2.66005e-008,0.2760
2.66429e-008,0.2722
2.66853e-008,0.2694
2.67278e-008,0.2619
2.67702e-008,0.2367
2.68126e-008,0.2187
2.68550e-008,0.2373
2.68974e-008,0.2620
2.69399e-008,0.2756
2.69823e-008,0.2955
2.70247e-008,0.2913
2.70672e-008,0.2471
2.71096e-008,0.2116
2.71520e-008,0.2030
2.71944e-008,0.1956
2.72368e-008,0.2021
2.72793e-008,0.2162
2.73217e-008,0.2223
2.73641e-008,0.2200
2.74065e-008,0.2195
2.74490e-008,0.2165
2.74914e-008,0.2167
2.75338e-008,0.2176
2.75763e-008,0.2139
2.76187e-008,0.2088
2.76611e-008,0.2117
2.77035e-008,0.2174
2.77459e-008,0.2184
2.77884e-008,0.2203
2.78308e-008,0.2219
2.78732e-008,0.2144
2.79157e-008,0.2064
2.79581e-008,0.2092
2.80005e-008,0.2136
2.80429e-008,0.2153
2.80854e-008,0.2190
2.81278e-008,0.2202
2.81702e-008,0.2173
2.82126e-008,0.2152
2.82550e-008,0.2148
2.82975e-008,0.2148
2.83399e-008,0.2162
2.83823e-008,0.2162
2.84248e-008,0.2148
2.84672e-008,0.2149
2.85096e-008,0.2164
2.85520e-008,0.2164
2.85944e-008,0.2163
2.86369e-008,0.2171
2.86793e-008,0.2161
2.87217e-008,0.2138
2.87642e-008,0.2142
2.88066e-008,0.2162
2.88490e-008,0.2165
2.88914e-008,0.2165
2.89339e-008,0.2169
2.89763e-008,0.2160
2.90187e-008,0.2150
2.90611e-008,0.2152
2.91035e-008,0.2156
2.91460e-008,0.2160
2.91884e-008,0.2163
2.92308e-008,0.2158
2.92733e-008,0.2155
2.93157e-008,0.2159
2.93581e-008,0.2160
2.94005e-008,0.2158
2.94429e-008,0.2161
2.94854e-008,0.2161
2.95278e-008,0.2155
2.95702e-008,0.2154
2.96127e-008,0.2160
2.96551e-008,0.2162
2.96975e-008,0.2160
2.97399e-008,0.2160
2.97824e-008,0.2160
2.98248e-008,0.2156
2.98672e-008,0.2157
2.99096e-008,0.2159
2.99521e-008,0.2441
2.99945e-008,0.4010
3.00369e-008,0.5745
3.00793e-008,0.7902
3.01218e-008,0.9542
3.01642e-008,1.0656
3.02066e-008,1.1212
3.02490e-008,1.1552
3.02914e-008,1.1755
3.03339e-008,1.1885
3.03763e-008,1.1965
3.04187e-008,1.2009
3.04612e-008,1.2046
3.05036e-008,1.2184
3.05460e-008,1.2406
3.05884e-008,1.2480
3.06309e-008,1.2326
3.06733e-008,1.2164
3.07157e-008,1.1914
3.07581e-008,1.1812
3.08005e-008,1.2005
3.08430e-008,1.2377
3.08854e-008,1.2606
3.09278e-008,1.2775
3.09702e-008,1.2757
3.10127e-008,1.2651
3.10551e-008,1.2566
3.10975e-008,1.2558
3.11400e-008,1.2570
3.11824e-008,1.2606
3.12248e-008,1.2621
3.12672e-008,1.2612
3.13096e-008,1.2623
3.13521e-008,1.2662
3.13945e-008,1.2683
3.14369e-008,1.2659
3.14793e-008,1.2628
3.15218e-008,1.2599
3.15642e-008,1.2573
3.16066e-008,1.2607
3.16491e-008,1.2679
3.16915e-008,1.2710
3.17339e-008,1.2690
3.17763e-008,1.2661
3.18188e-008,1.2615
3.18612e-008,1.2593
3.19036e-008,1.2606
3.19460e-008,1.2631
3.19884e-008,1.2644
3.20309e-008,1.2650
3.20733e-008,1.2640
3.21157e-008,1.2631
3.21582e-008,1.2636
3.22006e-008,1.2644
3.22430e-008,1.2640
3.22854e-008,1.2635
3.23279e-008,1.2631
3.23703e-008,1.2625
3.24127e-008,1.2628
3.24551e-008,1.2644
3.24975e-008,1.2653
3.25400e-008,1.2644
3.25824e-008,1.2634
3.26248e-008,1.2628
3.26672e-008,1.2624
3.27097e-008,1.2630
3.27521e-008,1.2640
3.27945e-008,1.2643
3.28370e-008,1.2641
3.28794e-008,1.2637
3.29218e-008,1.2632
3.29642e-008,1.2633
3.30066e-008,1.2637
3.30491e-008,1.2637
3.30915e-008,1.2636
3.31339e-008,1.2635
3.31763e-008,1.2634
3.32188e-008,1.2633
3.32612e-008,1.2636
3.33036e-008,1.2640
3.33461e-008,1.2638
3.33885e-008,1.2634
3.34309e-008,1.2633
3.34733e-008,1.2633
3.35158e-008,1.2634
3.35582e-008,1.2637
3.36006e-008,1.2638
3.36430e-008,1.2636
3.36854e-008,1.2635
3.37279e-008,1.2634
3.37703e-008,1.2634
3.38127e-008,1.2635
3.38552e-008,1.2636
3.38976e-008,1.2635
3.39400e-008,1.2635
3.39824e-008,1.2635
3.40249e-008,1.2634
3.40673e-008,1.2635
3.41097e-008,1.2636
3.41521e-008,1.2636
3.41945e-008,1.2634
3.42370e-008,1.2634
3.42794e-008,1.2634
3.43218e-008,1.2634
3.43643e-008,1.2635
3.44067e-008,1.2635
3.44491e-008,1.2635
3.44915e-008,1.2634
3.45340e-008,1.2634
3.45764e-008,1.2634
3.46188e-008,1.2635
3.46612e-008,1.2635
3.47036e-008,1.2635
3.47461e-008,1.2634
3.47885e-008,1.2634
3.48309e-008,1.2634
3.48733e-008,1.2634
3.49158e-008,1.2635
3.49582e-008,1.2635
3.50006e-008,1.2634
3.50431e-008,1.2634
3.50855e-008,1.2634
3.51279e-008,1.2634
3.51703e-008,1.2634
3.52128e-008,1.2634
3.52552e-008,1.2634
3.52976e-008,1.2634
3.53400e-008,1.2634
3.53824e-008,1.2634
3.54249e-008,1.2634
3.54673e-008,1.2634
3.55097e-008,1.2634
3.55522e-008,1.2634
3.55946e-008,1.2634
3.56370e-008,1.2634
3.56794e-008,1.2634
3.57219e-008,1.2634
3.57643e-008,1.2634
3.58067e-008,1.2634
3.58491e-008,1.2634
3.58915e-008,1.2634
3.59340e-008,1.2634
3.59764e-008,1.2634
3.60188e-008,1.2634
3.60613e-008,1.2634
3.61037e-008,1.2634
3.61461e-008,1.2634
3.61885e-008,1.2634
3.62310e-008,1.2634
3.62734e-008,1.2634
3.63158e-008,1.2634
3.63582e-008,1.2633
3.64006e-008,1.2633
3.64431e-008,1.2633
3.64855e-008,1.2581
3.65279e-008,1.1534
3.65703e-008,0.9218
3.66128e-008,0.7419
3.66552e-008,0.5560
3.66976e-008,0.4154
3.67401e-008,0.3385
3.67825e-008,0.3117
3.68249e-008,0.2889
3.68673e-008,0.2822
3.69097e-008,0.2762
3.69522e-008,0.2723
3.69946e-008,0.2695
3.70370e-008,0.2630
3.70794e-008,0.2388
3.71219e-008,0.2189
3.71643e-008,0.2347
3.72067e-008,0.2609
3.72492e-008,0.2740
3.72916e-008,0.2943
3.73340e-008,0.2931
3.73764e-008,0.2510
3.74189e-008,0.2128
3.74613e-008,0.2036
3.75037e-008,0.1957
3.75461e-008,0.2011
3.75885e-008,0.2152
3.76310e-008,0.2222
3.76734e-008,0.2200
3.77158e-008,0.2196
3.77583e-008,0.2166
3.78007e-008,0.2165
3.78431e-008,0.2176
3.78855e-008,0.2143
3.79280e-008,0.2089
3.79704e-008,0.2112
3.80128e-008,0.2170
3.80552e-008,0.2183
3.80976e-008,0.2200
3.81401e-008,0.2220
3.81825e-008,0.2151
3.82249e-008,0.2066
3.82673e-008,0.2087
3.83098e-008,0.2133
3.83522e-008,0.2150
3.83946e-008,0.2187
3.84371e-008,0.2202
3.84795e-008,0.2175
3.85219e-008,0.2152
3.85643e-008,0.2148
3.86067e-008,0.2146
3.86492e-008,0.2160
3.86916e-008,0.2162
3.87340e-008,0.2148
3.87764e-008,0.2147
3.88189e-008,0.2162
3.88613e-008,0.2163
3.89037e-008,0.2162
3.89462e-008,0.2170
3.89886e-008,0.2162
3.90310e-008,0.2138
3.90734e-008,0.2140
3.91159e-008,0.2160
3.91583e-008,0.2164
3.92007e-008,0.2164
3.92431e-008,0.2168
3.92855e-008,0.2160
3.93280e-008,0.2150
3.93704e-008,0.2151
3.94128e-008,0.2155
3.94553e-008,0.2159
3.94977e-008,0.2162
3.95401e-008,0.2158
3.95825e-008,0.2155
3.96250e-008,0.2158
3.96674e-008,0.2159
3.97098e-008,0.2157
3.97522e-008,0.2160
3.97946e-008,0.2161
3.98371e-008,0.2155
3.98795e-008,0.2153
3.99219e-008,0.2159
3.99644e-008,0.2162
4.00068e-008,0.2159
4.00492e-008,0.2159
4.00916e-008,0.2159
4.01341e-008,0.2156
4.01765e-008,0.2156
4.02189e-008,0.2158
4.02613e-008,0.2353
4.03037e-008,0.3866
4.03462e-008,0.5618
4.03886e-008,0.7741
4.04310e-008,0.9433
4.04734e-008,1.0591
4.05159e-008,1.1181
4.05583e-008,1.1528
4.06007e-008,1.1748
4.06432e-008,1.1874
4.06856e-008,1.1960
4.07280e-008,1.2006
4.07704e-008,1.2040
4.08128e-008,1.2167
4.08553e-008,1.2391
4.08977e-008,1.2484
4.09401e-008,1.2338
4.09825e-008,1.2179
