.HEADER
..NAMES
Time,V U1.G24
.DATA
1.42124e-008,-0.0107
1.42548e-008,-0.0106
1.42972e-008,-0.0136
1.43397e-008,-0.0150
1.43821e-008,-0.0147
1.44245e-008,-0.0172
1.44669e-008,-0.0195
1.45094e-008,-0.0167
1.45518e-008,-0.0111
1.45942e-008,-0.0026
1.46366e-008,0.0116
1.46790e-008,0.0263
1.47215e-008,0.0333
1.47639e-008,0.0316
1.48063e-008,0.0236
1.48487e-008,0.0129
1.48912e-008,0.0039
1.49336e-008,-0.0001
1.49760e-008,0.0011
1.50185e-008,0.0041
1.50609e-008,0.0053
1.51033e-008,0.0049
1.51457e-008,0.0053
1.51881e-008,0.0064
1.52306e-008,0.0067
1.52730e-008,0.0074
1.53154e-008,0.0090
1.53579e-008,0.0093
1.54003e-008,0.0078
1.54427e-008,0.0057
1.54851e-008,0.0015
1.55276e-008,-0.0052
1.55700e-008,-0.0116
1.56124e-008,-0.0149
1.56548e-008,-0.0145
1.56972e-008,-0.0108
1.57397e-008,-0.0054
1.57821e-008,-0.0006
1.58245e-008,0.0015
1.58670e-008,0.0008
1.59094e-008,0.0020
1.59518e-008,0.0657
1.59942e-008,0.1869
1.60366e-008,0.3574
1.60791e-008,0.5034
1.61215e-008,0.6225
1.61639e-008,0.7085
1.62064e-008,0.7679
1.62488e-008,0.8078
1.62912e-008,0.8364
1.63336e-008,0.8540
1.63761e-008,0.8651
1.64185e-008,0.8742
1.64609e-008,0.8845
1.65033e-008,0.8961
1.65457e-008,0.9015
1.65882e-008,0.9095
1.66306e-008,0.9450
1.66730e-008,1.0318
1.67155e-008,1.1588
1.67579e-008,1.3057
1.68003e-008,1.4372
1.68427e-008,1.5232
1.68851e-008,1.5536
1.69276e-008,1.5569
1.69700e-008,1.5544
1.70124e-008,1.5550
1.70548e-008,1.5595
1.70973e-008,1.5646
1.71397e-008,1.5670
1.71821e-008,1.5670
1.72246e-008,1.5673
1.72670e-008,1.5698
1.73094e-008,1.5732
1.73518e-008,1.5742
1.73942e-008,1.5750
1.74367e-008,1.5790
1.74791e-008,1.5811
1.75215e-008,1.5702
1.75640e-008,1.5429
1.76064e-008,1.5042
1.76488e-008,1.4631
1.76912e-008,1.4325
1.77336e-008,1.4385
1.77761e-008,1.4826
1.78185e-008,1.4017
1.78609e-008,1.2811
1.79033e-008,1.1183
1.79458e-008,0.9331
1.79882e-008,0.7741
1.80306e-008,0.6780
1.80731e-008,0.6148
1.81155e-008,0.5752
1.81579e-008,0.5523
1.82003e-008,0.5372
1.82427e-008,0.5287
1.82852e-008,0.5289
1.83276e-008,0.5168
1.83700e-008,0.5027
1.84125e-008,0.5251
1.84549e-008,0.5369
1.84973e-008,0.5027
1.85397e-008,0.4352
1.85822e-008,0.3128
1.86246e-008,0.1242
1.86670e-008,-0.0395
1.87094e-008,-0.1366
1.87518e-008,-0.1825
1.87943e-008,-0.1797
1.88367e-008,-0.1498
1.88791e-008,-0.1257
