.HEADER
..NAMES
Time,V U1.P25&R25
.DATA
1.56972e-008,0.3361
1.57397e-008,0.3523
1.57821e-008,0.3431
1.58245e-008,0.3209
1.58670e-008,0.3047
1.59094e-008,0.2854
1.59518e-008,0.2776
1.59942e-008,0.2799
1.60366e-008,0.2900
1.60791e-008,0.3114
1.61215e-008,0.3208
1.61639e-008,0.3169
1.62064e-008,0.2994
1.62488e-008,0.2652
1.62912e-008,0.2329
1.63336e-008,0.2195
1.63761e-008,0.3526
1.64185e-008,0.5433
1.64609e-008,0.7491
1.65033e-008,0.9226
1.65457e-008,1.0190
1.65882e-008,1.0788
1.66306e-008,1.0924
1.66730e-008,1.0943
1.67155e-008,1.1167
1.67579e-008,1.1324
1.68003e-008,1.1452
1.68427e-008,1.1734
1.68851e-008,1.1929
1.69276e-008,1.1949
1.69700e-008,1.1833
1.70124e-008,1.1649
1.70548e-008,1.1631
1.70973e-008,1.1648
1.71397e-008,1.1680
1.71821e-008,1.1945
1.72246e-008,1.2273
1.72670e-008,1.2373
1.73094e-008,1.0846
1.73518e-008,0.8483
1.73942e-008,0.6411
1.74367e-008,0.4855
1.74791e-008,0.4000
1.75215e-008,0.3462
1.75640e-008,0.3320
1.76064e-008,0.3504
1.76488e-008,0.3473
1.76912e-008,0.3244
1.77336e-008,0.3082
1.77761e-008,0.2887
1.78185e-008,0.2778
1.78609e-008,0.2794
1.79033e-008,0.2865
1.79458e-008,0.3076
1.79882e-008,0.3202
1.80306e-008,0.3184
1.80731e-008,0.3045
1.81155e-008,0.2722
1.81579e-008,0.2386
1.82003e-008,0.2189
1.82427e-008,0.3191
1.82852e-008,0.5077
1.83276e-008,0.7056
1.83700e-008,0.8947
1.84125e-008,1.0047
1.84549e-008,1.0687
1.84973e-008,1.0936
1.85397e-008,1.0915
1.85822e-008,1.1119
1.86246e-008,1.1306
1.86670e-008,1.1413
1.87094e-008,1.1677
1.87518e-008,1.1908
1.87943e-008,1.1953
1.88367e-008,1.1870
1.88791e-008,1.1674
1.89216e-008,1.1624
1.89640e-008,1.1651
1.90064e-008,1.1657
1.90488e-008,1.1880
1.90912e-008,1.2213
1.91337e-008,1.2409
1.91761e-008,1.1254
1.92185e-008,0.8906
1.92610e-008,0.6825
1.93034e-008,0.5105
1.93458e-008,0.4119
1.93882e-008,0.3566
1.94307e-008,0.3299
1.94731e-008,0.3480
1.95155e-008,0.3506
1.95579e-008,0.3283
1.96003e-008,0.3114
1.96428e-008,0.2924
1.96852e-008,0.2787
1.97276e-008,0.2789
1.97701e-008,0.2838
1.98125e-008,0.3034
1.98549e-008,0.3191
1.98973e-008,0.3195
1.99397e-008,0.3087
1.99822e-008,0.2793
2.00246e-008,0.2446
2.00670e-008,0.2213
2.01095e-008,0.2901
2.01519e-008,0.4710
2.01943e-008,0.6621
2.02367e-008,0.8643
2.02792e-008,0.9894
2.03216e-008,1.0571
2.03640e-008,1.0928
2.04064e-008,1.0900
2.04488e-008,1.1071
2.04913e-008,1.1283
2.05337e-008,1.1383
2.05761e-008,1.1619
2.06186e-008,1.1878
2.06610e-008,1.1953
2.07034e-008,1.1900
2.07458e-008,1.1708
2.07882e-008,1.1619
2.08307e-008,1.1651
2.08731e-008,1.1644
2.09155e-008,1.1818
2.09580e-008,1.2150
2.10004e-008,1.2412
2.10428e-008,1.1628
2.10852e-008,0.9359
2.11277e-008,0.7256
2.11701e-008,0.5372
2.12125e-008,0.4249
2.12549e-008,0.3666
2.12973e-008,0.3306
2.13398e-008,0.3448
2.13822e-008,0.3528
2.14246e-008,0.3328
2.14671e-008,0.3143
2.15095e-008,0.2963
2.15519e-008,0.2801
2.15943e-008,0.2783
2.16367e-008,0.2819
2.16792e-008,0.2989
2.17216e-008,0.3173
2.17640e-008,0.3203
2.18064e-008,0.3120
2.18489e-008,0.2863
2.18913e-008,0.2509
2.19337e-008,0.2230
2.19762e-008,0.2613
2.20186e-008,0.4332
2.20610e-008,0.6213
2.21034e-008,0.8317
2.21458e-008,0.9718
2.21883e-008,1.0457
2.22307e-008,1.0900
2.22731e-008,1.0895
2.23156e-008,1.1024
2.23580e-008,1.1252
2.24004e-008,1.1359
2.24428e-008,1.1560
2.24852e-008,1.1839
2.25277e-008,1.1950
2.25701e-008,1.1923
2.26125e-008,1.1746
2.26549e-008,1.1621
2.26974e-008,1.1647
2.27398e-008,1.1641
2.27822e-008,1.1764
2.28247e-008,1.2085
2.28671e-008,1.2387
2.29095e-008,1.1973
2.29519e-008,0.9836
2.29943e-008,0.7659
2.30368e-008,0.5662
2.30792e-008,0.4409
2.31216e-008,0.3760
2.31641e-008,0.3331
2.32065e-008,0.3409
2.32489e-008,0.3534
2.32913e-008,0.3376
2.33338e-008,0.3172
2.33762e-008,0.3003
2.34186e-008,0.2822
2.34610e-008,0.2778
2.35034e-008,0.2807
2.35459e-008,0.2945
2.35883e-008,0.3149
2.36307e-008,0.3208
2.36732e-008,0.3146
2.37156e-008,0.2928
2.37580e-008,0.2575
2.38004e-008,0.2268
2.38428e-008,0.2334
2.38853e-008,0.3948
2.39277e-008,0.5836
2.39701e-008,0.7950
2.40126e-008,0.9503
2.40550e-008,1.0338
2.40974e-008,1.0859
2.41398e-008,1.0903
2.41823e-008,1.0982
2.42247e-008,1.1214
2.42671e-008,1.1341
2.43095e-008,1.1505
2.43519e-008,1.1793
2.43944e-008,1.1943
2.44368e-008,1.1939
2.44792e-008,1.1788
2.45217e-008,1.1629
2.45641e-008,1.1640
2.46065e-008,1.1643
2.46489e-008,1.1717
2.46913e-008,1.2018
2.47338e-008,1.2336
2.47762e-008,1.2231
2.48186e-008,1.0328
2.48611e-008,0.8042
2.49035e-008,0.5996
2.49459e-008,0.4603
2.49883e-008,0.3868
2.50308e-008,0.3374
