.HEADER
..NAMES
Time,V U1.L24&L25
.DATA
2.09580e-008,-0.8037
2.10004e-008,-0.8126
2.10428e-008,-0.8443
2.10852e-008,-0.8751
2.11277e-008,-0.8828
2.11701e-008,-0.8833
2.12125e-008,-0.8838
2.12549e-008,-0.9081
2.12973e-008,-0.9570
2.13398e-008,-0.9934
2.13822e-008,-1.0213
2.14246e-008,-1.0294
2.14671e-008,-1.0118
2.15095e-008,-0.7999
2.15519e-008,-0.4344
2.15943e-008,-0.0736
2.16367e-008,0.2904
2.16792e-008,0.5750
2.17216e-008,0.7455
2.17640e-008,0.8158
2.18064e-008,0.8512
2.18489e-008,0.8400
2.18913e-008,0.8068
2.19337e-008,0.8133
2.19762e-008,0.8432
2.20186e-008,0.8740
2.20610e-008,0.8835
2.21034e-008,0.8836
2.21458e-008,0.8846
2.21883e-008,0.9049
2.22307e-008,0.9530
2.22731e-008,0.9900
2.23156e-008,1.0198
2.23580e-008,1.0306
2.24004e-008,1.0173
2.24428e-008,0.8313
2.24852e-008,0.4696
2.25277e-008,0.1151
2.25701e-008,-0.2586
2.26125e-008,-0.5496
2.26549e-008,-0.7318
2.26974e-008,-0.8088
2.27398e-008,-0.8489
2.27822e-008,-0.8432
2.28247e-008,-0.8079
2.28671e-008,-0.8080
2.29095e-008,-0.8373
2.29519e-008,-0.8707
2.29943e-008,-0.8827
2.30368e-008,-0.8829
2.30792e-008,-0.8835
2.31216e-008,-0.8998
2.31641e-008,-0.9482
2.32065e-008,-0.9869
2.32489e-008,-1.0171
2.32913e-008,-1.0293
2.33338e-008,-1.0199
2.33762e-008,-0.8601
2.34186e-008,-0.5049
2.34610e-008,-0.1546
2.35034e-008,0.2283
2.35459e-008,0.5267
2.35883e-008,0.7221
2.36307e-008,0.8047
2.36732e-008,0.8471
2.37156e-008,0.8458
2.37580e-008,0.8115
2.38004e-008,0.8090
2.38428e-008,0.8366
2.38853e-008,0.8691
2.39277e-008,0.8832
2.39701e-008,0.8832
2.40126e-008,0.8843
2.40550e-008,0.8975
2.40974e-008,0.9439
2.41398e-008,0.9834
2.41823e-008,1.0150
2.42247e-008,1.0301
2.42671e-008,1.0248
2.43095e-008,0.8915
2.43519e-008,0.5415
2.43944e-008,0.1924
2.44368e-008,-0.1961
2.44792e-008,-0.4987
2.45217e-008,-0.7073
2.45641e-008,-0.7977
2.46065e-008,-0.8436
2.46489e-008,-0.8483
2.46913e-008,-0.8138
2.47338e-008,-0.8046
2.47762e-008,-0.8305
2.48186e-008,-0.8653
2.48611e-008,-0.8822
2.49035e-008,-0.8827
2.49459e-008,-0.8836
2.49883e-008,-0.8932
2.50308e-008,-0.9387
2.50732e-008,-0.9803
2.51156e-008,-1.0122
2.51580e-008,-1.0286
2.52004e-008,-1.0260
2.52429e-008,-0.9210
2.52853e-008,-0.5777
2.53277e-008,-0.2279
2.53702e-008,0.1638
2.54126e-008,0.4731
2.54550e-008,0.6956
2.54974e-008,0.7940
2.55398e-008,0.8410
2.55823e-008,0.8501
2.56247e-008,0.8175
2.56671e-008,0.8060
2.57096e-008,0.8303
2.57520e-008,0.8635
2.57944e-008,0.8823
2.58368e-008,0.8831
2.58793e-008,0.8843
2.59217e-008,0.8917
2.59641e-008,0.9343
2.60065e-008,0.9767
2.60489e-008,1.0096
2.60914e-008,1.0289
2.61338e-008,1.0291
2.61762e-008,0.9503
2.62187e-008,0.6155
2.62611e-008,0.2611
2.63035e-008,-0.1288
2.63459e-008,-0.4432
2.63883e-008,-0.6777
2.64308e-008,-0.7870
2.64732e-008,-0.8365
2.65156e-008,-0.8518
2.65580e-008,-0.8206
2.66005e-008,-0.8026
2.66429e-008,-0.8243
2.66853e-008,-0.8590
2.67278e-008,-0.8809
2.67702e-008,-0.8826
2.68126e-008,-0.8837
2.68550e-008,-0.8883
2.68974e-008,-0.9287
2.69399e-008,-0.9734
2.69823e-008,-1.0066
2.70247e-008,-1.0271
2.70672e-008,-1.0282
2.71096e-008,-0.9716
2.71520e-008,-0.6532
2.71944e-008,-0.2944
2.72368e-008,0.0929
2.72793e-008,0.4160
2.73217e-008,0.6625
2.73641e-008,0.7833
2.74065e-008,0.8337
2.74490e-008,0.8528
2.74914e-008,0.8243
2.75338e-008,0.8043
2.75763e-008,0.8245
2.76187e-008,0.8572
2.76611e-008,0.8807
2.77035e-008,0.8831
2.77459e-008,0.8843
2.77884e-008,0.8878
2.78308e-008,0.9243
2.78732e-008,0.9696
2.79157e-008,1.0035
2.79581e-008,1.0269
2.80005e-008,1.0300
2.80429e-008,0.9898
2.80854e-008,0.6921
2.81278e-008,0.3275
2.81702e-008,-0.0543
2.82126e-008,-0.3857
2.82550e-008,-0.6412
2.82975e-008,-0.7746
2.83399e-008,-0.8290
2.83823e-008,-0.8534
2.84248e-008,-0.8281
2.84672e-008,-0.8020
2.85096e-008,-0.8186
2.85520e-008,-0.8522
2.85944e-008,-0.8788
2.86369e-008,-0.8827
2.86793e-008,-0.8837
2.87217e-008,-0.8854
2.87642e-008,-0.9186
2.88066e-008,-0.9660
2.88490e-008,-1.0006
2.88914e-008,-1.0249
2.89339e-008,-1.0290
2.89763e-008,-0.9990
2.90187e-008,-0.7277
2.90611e-008,-0.3604
2.91035e-008,0.0157
2.91460e-008,0.3575
2.91884e-008,0.6230
2.92308e-008,0.7684
2.92733e-008,0.8261
2.93157e-008,0.8533
2.93581e-008,0.8319
2.94005e-008,0.8041
2.94429e-008,0.8190
2.94854e-008,0.8505
2.95278e-008,0.8781
2.95702e-008,0.8833
2.96127e-008,0.8840
2.96551e-008,0.8855
2.96975e-008,0.9146
2.97399e-008,0.9621
2.97824e-008,0.9972
2.98248e-008,1.0240
2.98672e-008,1.0305
2.99096e-008,1.0080
2.99521e-008,0.7626
2.99945e-008,0.3934
3.00369e-008,0.0242
3.00793e-008,-0.3266
3.01218e-008,-0.6000
3.01642e-008,-0.7568
3.02066e-008,-0.8205
3.02490e-008,-0.8526
3.02914e-008,-0.8359
3.03339e-008,-0.8035
3.03763e-008,-0.8132
3.04187e-008,-0.8451
3.04612e-008,-0.8756
3.05036e-008,-0.8829
3.05460e-008,-0.8834
3.05884e-008,-0.8839
3.06309e-008,-0.9091
3.06733e-008,-0.9580
3.07157e-008,-0.9942
3.07581e-008,-1.0218
3.08005e-008,-1.0294
3.08430e-008,-1.0110
3.08854e-008,-0.7936
3.09278e-008,-0.4272
3.09702e-008,-0.0646
3.10127e-008,0.2971
3.10551e-008,0.5799
3.10975e-008,0.7479
3.11400e-008,0.8168
3.11824e-008,0.8515
3.12248e-008,0.8392
3.12672e-008,0.8063
3.13096e-008,0.8138
3.13521e-008,0.8438
3.13945e-008,0.8744
3.14369e-008,0.8834
3.14793e-008,0.8836
3.15218e-008,0.8845
3.15642e-008,0.9057
3.16066e-008,0.9539
3.16491e-008,0.9906
3.16915e-008,1.0202
3.17339e-008,1.0306
3.17763e-008,1.0164
3.18188e-008,0.8248
3.18612e-008,0.4619
3.19036e-008,0.1063
3.19460e-008,-0.2655
3.19884e-008,-0.5550
3.20309e-008,-0.7345
3.20733e-008,-0.8102
3.21157e-008,-0.8495
3.21582e-008,-0.8427
3.22006e-008,-0.8074
3.22430e-008,-0.8085
3.22854e-008,-0.8381
3.23279e-008,-0.8713
3.23703e-008,-0.8828
3.24127e-008,-0.8830
3.24551e-008,-0.8835
3.24975e-008,-0.9007
3.25400e-008,-0.9493
3.25824e-008,-0.9877
3.26248e-008,-1.0177
3.26672e-008,-1.0294
3.27097e-008,-1.0192
3.27521e-008,-0.8539
3.27945e-008,-0.4972
3.28370e-008,-0.1464
3.28794e-008,0.2350
3.29218e-008,0.5321
3.29642e-008,0.7247
3.30066e-008,0.8058
3.30491e-008,0.8476
3.30915e-008,0.8452
3.31339e-008,0.8108
3.31763e-008,0.8093
3.32188e-008,0.8372
3.32612e-008,0.8696
3.33036e-008,0.8832
3.33461e-008,0.8832
3.33885e-008,0.8842
3.34309e-008,0.8981
3.34733e-008,0.9449
3.35158e-008,0.9841
3.35582e-008,1.0156
3.36006e-008,1.0301
3.36430e-008,1.0241
3.36854e-008,0.8850
3.37279e-008,0.5336
3.37703e-008,0.1845
3.38127e-008,-0.2031
3.38552e-008,-0.5046
3.38976e-008,-0.7103
3.39400e-008,-0.7990
3.39824e-008,-0.8444
3.40249e-008,-0.8479
3.40673e-008,-0.8132
3.41097e-008,-0.8049
3.41521e-008,-0.8313
3.41945e-008,-0.8660
3.42370e-008,-0.8823
3.42794e-008,-0.8828
3.43218e-008,-0.8836
3.43643e-008,-0.8938
3.44067e-008,-0.9398
3.44491e-008,-0.9811
3.44915e-008,-1.0129
3.45340e-008,-1.0288
