.HEADER
..NAMES
Time,V U1.R21&P21
.DATA
1.96520e-008,0.2043
1.96860e-008,0.1852
1.97200e-008,0.1731
1.97540e-008,0.1637
1.97880e-008,0.1352
1.98220e-008,0.0981
1.98560e-008,0.0689
1.98900e-008,0.0566
1.99240e-008,0.0604
1.99580e-008,0.0780
1.99920e-008,0.1092
2.00260e-008,0.1666
2.00600e-008,0.2360
2.00940e-008,0.3019
2.01280e-008,0.3746
2.01620e-008,0.4446
2.01960e-008,0.5171
2.02300e-008,0.6229
2.02640e-008,0.7345
2.02980e-008,0.8553
2.03320e-008,0.9785
2.03660e-008,1.0764
2.04000e-008,1.1493
2.04340e-008,1.2088
2.04680e-008,1.2392
2.05020e-008,1.2522
2.05360e-008,1.2462
2.05700e-008,1.2314
2.06040e-008,1.2196
2.06380e-008,1.2118
2.06720e-008,1.2031
2.07060e-008,1.2051
2.07400e-008,1.2113
2.07740e-008,1.2233
2.08080e-008,1.2443
2.08420e-008,1.2703
2.08760e-008,1.2900
2.09100e-008,1.3082
2.09440e-008,1.3199
2.09780e-008,1.3232
2.10120e-008,1.3110
2.10460e-008,1.2287
2.10800e-008,1.0676
2.11140e-008,0.8963
2.11480e-008,0.7269
2.11820e-008,0.5822
2.12160e-008,0.4430
2.12500e-008,0.3223
2.12840e-008,0.2367
2.13180e-008,0.2106
2.13520e-008,0.2020
2.13860e-008,0.1936
2.14200e-008,0.1854
2.14540e-008,0.1915
2.14880e-008,0.2050
2.15220e-008,0.2058
2.15560e-008,0.1882
2.15900e-008,0.1736
2.16240e-008,0.1664
2.16580e-008,0.1400
2.16920e-008,0.1034
2.17260e-008,0.0720
2.17600e-008,0.0573
2.17940e-008,0.0587
2.18280e-008,0.0747
2.18620e-008,0.1030
2.18960e-008,0.1568
2.19300e-008,0.2255
2.19640e-008,0.2902
2.19980e-008,0.3647
2.20320e-008,0.4353
2.20660e-008,0.5032
2.21000e-008,0.6077
2.21340e-008,0.7166
2.21680e-008,0.8368
2.22020e-008,0.9609
2.22360e-008,1.0630
2.22700e-008,1.1396
2.23040e-008,1.2018
2.23380e-008,1.2357
2.23720e-008,1.2519
2.24060e-008,1.2476
2.24400e-008,1.2337
2.24740e-008,1.2208
2.25080e-008,1.2128
2.25420e-008,1.2040
2.25760e-008,1.2042
2.26100e-008,1.2100
2.26440e-008,1.2210
2.26780e-008,1.2405
2.27120e-008,1.2667
2.27460e-008,1.2873
2.27800e-008,1.3055
2.28140e-008,1.3188
2.28480e-008,1.3229
2.28820e-008,1.3154
2.29160e-008,1.2498
2.29500e-008,1.0942
2.29840e-008,0.9197
2.30180e-008,0.7505
2.30520e-008,0.6027
2.30860e-008,0.4622
2.31200e-008,0.3385
2.31540e-008,0.2450
2.31880e-008,0.2120
2.32220e-008,0.2039
2.32560e-008,0.1942
2.32900e-008,0.1866
2.33240e-008,0.1895
2.33580e-008,0.2035
2.33920e-008,0.2069
2.34260e-008,0.1912
2.34600e-008,0.1745
2.34940e-008,0.1686
2.35280e-008,0.1446
2.35620e-008,0.1089
2.35960e-008,0.0756
2.36300e-008,0.0583
2.36640e-008,0.0574
2.36980e-008,0.0716
2.37320e-008,0.0974
2.37660e-008,0.1473
2.38000e-008,0.2155
2.38340e-008,0.2814
2.38680e-008,0.3557
2.39020e-008,0.4254
2.39360e-008,0.4912
2.39700e-008,0.5925
2.40040e-008,0.6992
2.40380e-008,0.8190
2.40720e-008,0.9431
2.41060e-008,1.0493
2.41400e-008,1.1299
2.41740e-008,1.1939
2.42080e-008,1.2318
2.42420e-008,1.2510
2.42760e-008,1.2489
2.43100e-008,1.2361
2.43440e-008,1.2221
2.43780e-008,1.2138
2.44120e-008,1.2051
2.44460e-008,1.2034
2.44800e-008,1.2089
2.45140e-008,1.2189
2.45480e-008,1.2369
2.45820e-008,1.2629
2.46160e-008,1.2846
2.46500e-008,1.3027
2.46840e-008,1.3176
2.47180e-008,1.3226
2.47520e-008,1.3197
2.47860e-008,1.2697
2.48200e-008,1.1207
2.48540e-008,0.9432
2.48880e-008,0.7757
2.49220e-008,0.6233
2.49560e-008,0.4824
2.49900e-008,0.3558
2.50240e-008,0.2555
2.50580e-008,0.2142
2.50920e-008,0.2057
2.51260e-008,0.1948
2.51600e-008,0.1881
2.51940e-008,0.1878
2.52280e-008,0.2017
2.52620e-008,0.2076
2.52960e-008,0.1943
2.53300e-008,0.1758
2.53640e-008,0.1702
2.53980e-008,0.1491
2.54320e-008,0.1145
2.54660e-008,0.0796
2.55000e-008,0.0597
2.55340e-008,0.0564
2.55680e-008,0.0687
2.56020e-008,0.0924
2.56360e-008,0.1382
2.56700e-008,0.2053
2.57040e-008,0.2733
2.57380e-008,0.3466
2.57720e-008,0.4152
2.58060e-008,0.4808
2.58400e-008,0.5772
2.58740e-008,0.6822
2.59080e-008,0.8015
2.59420e-008,0.9255
2.59760e-008,1.0360
2.60100e-008,1.1202
2.60440e-008,1.1853
2.60780e-008,1.2278
2.61120e-008,1.2495
2.61460e-008,1.2500
2.61800e-008,1.2385
2.62140e-008,1.2235
2.62480e-008,1.2149
2.62820e-008,1.2065
2.63160e-008,1.2028
2.63500e-008,1.2079
2.63840e-008,1.2169
2.64180e-008,1.2335
2.64520e-008,1.2590
2.64860e-008,1.2818
2.65200e-008,1.2999
2.65540e-008,1.3161
2.65880e-008,1.3221
2.66220e-008,1.3221
2.66560e-008,1.2852
2.66900e-008,1.1454
2.67240e-008,0.9677
2.67580e-008,0.8018
2.67920e-008,0.6440
2.68260e-008,0.5031
2.68600e-008,0.3737
2.68940e-008,0.2678
2.69280e-008,0.2174
2.69620e-008,0.2072
2.69960e-008,0.1957
2.70300e-008,0.1897
2.70640e-008,0.1863
2.70980e-008,0.1997
2.71320e-008,0.2078
2.71660e-008,0.1972
2.72000e-008,0.1776
2.72340e-008,0.1712
2.72680e-008,0.1533
2.73020e-008,0.1200
2.73360e-008,0.0839
2.73700e-008,0.0615
2.74040e-008,0.0559
2.74380e-008,0.0661
2.74720e-008,0.0880
2.75060e-008,0.1297
2.75400e-008,0.1949
2.75740e-008,0.2644
2.76080e-008,0.3368
2.76420e-008,0.4049
2.76760e-008,0.4705
2.77100e-008,0.5614
2.77440e-008,0.6657
2.77780e-008,0.7838
2.78120e-008,0.9074
2.78460e-008,1.0222
2.78800e-008,1.1098
2.79140e-008,1.1761
2.79480e-008,1.2234
2.79820e-008,1.2473
2.80160e-008,1.2509
2.80500e-008,1.2408
2.80840e-008,1.2252
2.81180e-008,1.2160
2.81520e-008,1.2079
2.81860e-008,1.2023
2.82200e-008,1.2071
2.82540e-008,1.2151
2.82880e-008,1.2304
2.83220e-008,1.2550
2.83560e-008,1.2789
2.83900e-008,1.2970
2.84240e-008,1.3143
2.84580e-008,1.3216
2.84920e-008,1.3232
2.85260e-008,1.2959
2.85600e-008,1.1687
2.85940e-008,0.9931
2.86280e-008,0.8277
2.86620e-008,0.6648
2.86960e-008,0.5236
2.87300e-008,0.3914
2.87640e-008,0.2811
2.87980e-008,0.2212
2.88320e-008,0.2082
2.88660e-008,0.1970
2.89000e-008,0.1910
2.89340e-008,0.1851
2.89680e-008,0.1976
2.90020e-008,0.2076
2.90360e-008,0.1999
2.90700e-008,0.1799
2.91040e-008,0.1719
2.91380e-008,0.1572
2.91720e-008,0.1255
2.92060e-008,0.0886
2.92400e-008,0.0636
2.92740e-008,0.0556
2.93080e-008,0.0636
2.93420e-008,0.0840
2.93760e-008,0.1217
2.94100e-008,0.1846
2.94440e-008,0.2547
2.94780e-008,0.3253
2.95120e-008,0.3941
2.95460e-008,0.4606
2.95800e-008,0.5453
2.96140e-008,0.6498
2.96480e-008,0.7661
2.96820e-008,0.8888
2.97160e-008,1.0075
2.97500e-008,1.0986
2.97840e-008,1.1665
2.98180e-008,1.2186
2.98520e-008,1.2446
2.98860e-008,1.2515
2.99200e-008,1.2428
2.99540e-008,1.2271
2.99880e-008,1.2172
3.00220e-008,1.2092
3.00560e-008,1.2021
3.00900e-008,1.2062
3.01240e-008,1.2135
3.01580e-008,1.2275
3.01920e-008,1.2510
3.02260e-008,1.2758
3.02600e-008,1.2943
3.02940e-008,1.3122
3.03280e-008,1.3210
3.03620e-008,1.3232
3.03960e-008,1.3020
3.04300e-008,1.1903
3.04640e-008,1.0194
3.04980e-008,0.8527
3.05320e-008,0.6861
3.05660e-008,0.5442
3.06000e-008,0.4090
3.06340e-008,0.2951
3.06680e-008,0.2258
3.07020e-008,0.2089
3.07360e-008,0.1984
3.07700e-008,0.1921
3.08040e-008,0.1845
3.08380e-008,0.1953
3.08720e-008,0.2069
3.09060e-008,0.2022
3.09400e-008,0.1825
3.09740e-008,0.1724
3.10080e-008,0.1608
3.10420e-008,0.1307
3.10760e-008,0.0935
3.11100e-008,0.0662
3.11440e-008,0.0558
3.11780e-008,0.0615
3.12120e-008,0.0803
3.12460e-008,0.1143
3.12800e-008,0.1744
3.13140e-008,0.2443
3.13480e-008,0.3119
3.13820e-008,0.3827
3.14160e-008,0.4514
3.14500e-008,0.5288
3.14840e-008,0.6342
3.15180e-008,0.7480
3.15520e-008,0.8697
3.15860e-008,0.9914
3.16200e-008,1.0863
3.16540e-008,1.1567
3.16880e-008,1.2132
3.17220e-008,1.2415
3.17560e-008,1.2518
3.17900e-008,1.2446
3.18240e-008,1.2292
3.18580e-008,1.2183
3.18920e-008,1.2105
3.19260e-008,1.2023
3.19600e-008,1.2054
3.19940e-008,1.2120
3.20280e-008,1.2249
3.20620e-008,1.2470
3.20960e-008,1.2726
3.21300e-008,1.2916
3.21640e-008,1.3098
3.21980e-008,1.3202
3.22320e-008,1.3230
3.22660e-008,1.3069
3.23000e-008,1.2114
3.23340e-008,1.0459
3.23680e-008,0.8766
3.24020e-008,0.7080
3.24360e-008,0.5648
3.24700e-008,0.4272
3.25040e-008,0.3094
3.25380e-008,0.2309
3.25720e-008,0.2095
3.26060e-008,0.2002
3.26400e-008,0.1928
3.26740e-008,0.1846
3.27080e-008,0.1930
3.27420e-008,0.2059
3.27760e-008,0.2042
3.28100e-008,0.1854
3.28440e-008,0.1728
3.28780e-008,0.1640
3.29120e-008,0.1358
3.29460e-008,0.0987
3.29800e-008,0.0690
3.30140e-008,0.0562
3.30480e-008,0.0596
3.30820e-008,0.0769
3.31160e-008,0.1075
3.31500e-008,0.1643
3.31840e-008,0.2338
3.32180e-008,0.2992
3.32520e-008,0.3722
3.32860e-008,0.4422
3.33200e-008,0.5135
3.33540e-008,0.6190
3.33880e-008,0.7300
3.34220e-008,0.8507
3.34560e-008,0.9742
