.HEADER
..NAMES
Time,V U1.V26
.DATA
1.87094e-008,0.0020
1.87518e-008,0.0014
1.87943e-008,0.0013
1.88367e-008,0.0017
1.88791e-008,0.0025
1.89216e-008,0.0030
1.89640e-008,0.0031
1.90064e-008,0.0027
1.90488e-008,0.0022
1.90912e-008,0.0016
1.91337e-008,0.0013
1.91761e-008,0.0012
1.92185e-008,0.0012
1.92610e-008,0.0010
1.93034e-008,0.0006
1.93458e-008,0.0001
1.93882e-008,-0.0005
1.94307e-008,-0.0011
1.94731e-008,-0.0014
1.95155e-008,-0.0014
1.95579e-008,-0.0011
1.96003e-008,-0.0007
1.96428e-008,-0.0025
1.96852e-008,0.0344
1.97276e-008,0.1241
1.97701e-008,0.2843
1.98125e-008,0.4376
1.98549e-008,0.5774
1.98973e-008,0.6942
1.99397e-008,0.7869
1.99822e-008,0.8545
2.00246e-008,0.8930
2.00670e-008,0.9056
2.01095e-008,0.8997
2.01519e-008,0.8891
2.01943e-008,0.8826
2.02367e-008,0.8876
2.02792e-008,0.8940
2.03216e-008,0.9031
2.03640e-008,0.9248
2.04064e-008,0.9877
2.04488e-008,1.0965
2.04913e-008,1.2330
2.05337e-008,1.3686
2.05761e-008,1.3704
2.06186e-008,1.1345
2.06610e-008,0.9372
2.07034e-008,0.7911
2.07458e-008,0.6659
2.07882e-008,0.5708
2.08307e-008,0.5235
2.08731e-008,0.5163
2.09155e-008,0.5445
2.09580e-008,0.6209
2.10004e-008,0.6905
2.10428e-008,0.7221
2.10852e-008,0.7278
2.11277e-008,0.7036
2.11701e-008,0.6838
2.12125e-008,0.6949
2.12549e-008,0.6270
2.12973e-008,0.4427
2.13398e-008,0.2187
2.13822e-008,0.0083
2.14246e-008,-0.1698
2.14671e-008,-0.2322
2.15095e-008,-0.1482
2.15519e-008,0.1311
2.15943e-008,0.3464
2.16367e-008,0.5022
2.16792e-008,0.6227
2.17216e-008,0.6854
2.17640e-008,0.7033
2.18064e-008,0.7061
2.18489e-008,0.6788
2.18913e-008,0.6275
2.19337e-008,0.6052
2.19762e-008,0.6275
2.20186e-008,0.6663
2.20610e-008,0.7056
2.21034e-008,0.7294
2.21458e-008,0.7353
2.21883e-008,0.8238
2.22307e-008,1.0043
2.22731e-008,1.2170
2.23156e-008,1.4075
2.23580e-008,1.5382
2.24004e-008,1.5599
2.24428e-008,1.5060
2.24852e-008,1.4727
2.25277e-008,1.4624
2.25701e-008,1.4571
2.26125e-008,1.4701
2.26549e-008,1.5048
2.26974e-008,1.5490
2.27398e-008,1.5927
2.27822e-008,1.6301
2.28247e-008,1.6347
2.28671e-008,1.6037
2.29095e-008,1.5625
2.29519e-008,1.5306
2.29943e-008,1.5271
2.30368e-008,1.5399
2.30792e-008,1.5293
2.31216e-008,1.4871
2.31641e-008,1.4382
2.32065e-008,1.3999
2.32489e-008,1.3822
2.32913e-008,1.4029
2.33338e-008,1.4463
2.33762e-008,1.4795
2.34186e-008,1.4991
2.34610e-008,1.5117
2.35034e-008,1.5128
2.35459e-008,1.4982
2.35883e-008,1.4763
2.36307e-008,1.4530
2.36732e-008,1.4336
2.37156e-008,1.4318
2.37580e-008,1.4492
2.38004e-008,1.4744
2.38428e-008,1.4932
2.38853e-008,1.4952
2.39277e-008,1.4861
2.39701e-008,1.4832
2.40126e-008,1.4944
2.40550e-008,1.5129
2.40974e-008,1.5317
2.41398e-008,1.5428
2.41823e-008,1.5375
2.42247e-008,1.5216
2.42671e-008,1.5071
2.43095e-008,1.4966
2.43519e-008,1.4881
2.43944e-008,1.4854
2.44368e-008,1.4913
2.44792e-008,1.5024
2.45217e-008,1.5156
2.45641e-008,1.5266
2.46065e-008,1.5286
2.46489e-008,1.5199
2.46913e-008,1.5057
2.47338e-008,1.4946
2.47762e-008,1.4924
2.48186e-008,1.4973
2.48611e-008,1.5018
2.49035e-008,1.5009
2.49459e-008,1.4951
2.49883e-008,1.4869
2.50308e-008,1.4808
2.50732e-008,1.4808
2.51156e-008,1.4858
2.51580e-008,1.4915
2.52004e-008,1.4968
2.52429e-008,1.5176
2.52853e-008,1.4966
2.53277e-008,1.3611
2.53702e-008,1.2160
2.54126e-008,1.0587
2.54550e-008,0.8756
2.54974e-008,0.7339
2.55398e-008,0.6390
2.55823e-008,0.5799
2.56247e-008,0.5390
2.56671e-008,0.5358
2.57096e-008,0.5401
2.57520e-008,0.5482
2.57944e-008,0.5626
2.58368e-008,0.5627
2.58793e-008,0.5583
2.59217e-008,0.5694
2.59641e-008,0.5480
2.60065e-008,0.4708
2.60489e-008,0.3625
2.60914e-008,0.2249
2.61338e-008,0.0591
2.61762e-008,-0.0693
2.62187e-008,0.0084
2.62611e-008,0.2329
2.63035e-008,0.4300
2.63459e-008,0.6123
2.63883e-008,0.7557
2.64308e-008,0.8234
2.64732e-008,0.8596
2.65156e-008,0.8536
2.65580e-008,0.8174
2.66005e-008,0.7427
2.66429e-008,0.6960
2.66853e-008,0.6698
2.67278e-008,0.6740
2.67702e-008,0.7046
2.68126e-008,0.7083
2.68550e-008,0.7087
2.68974e-008,0.8035
2.69399e-008,0.9891
2.69823e-008,1.2084
2.70247e-008,1.4332
2.70672e-008,1.6035
2.71096e-008,1.6422
2.71520e-008,1.6010
2.71944e-008,1.5660
2.72368e-008,1.5368
2.72793e-008,1.5120
2.73217e-008,1.5039
2.73641e-008,1.5193
2.74065e-008,1.5466
2.74490e-008,1.5861
2.74914e-008,1.6251
2.75338e-008,1.6354
2.75763e-008,1.6187
2.76187e-008,1.5816
2.76611e-008,1.5451
2.77035e-008,1.5378
2.77459e-008,1.5430
2.77884e-008,1.5211
2.78308e-008,1.4725
2.78732e-008,1.4214
2.79157e-008,1.3742
2.79581e-008,1.3484
2.80005e-008,1.3662
2.80429e-008,1.4072
2.80854e-008,1.4418
2.81278e-008,1.4678
2.81702e-008,1.4892
2.82126e-008,1.4981
2.82550e-008,1.4917
2.82975e-008,1.4774
2.83399e-008,1.4564
2.83823e-008,1.4369
2.84248e-008,1.4314
2.84672e-008,1.4425
2.85096e-008,1.4653
2.85520e-008,1.4855
2.85944e-008,1.4901
2.86369e-008,1.4851
2.86793e-008,1.4877
2.87217e-008,1.5015
2.87642e-008,1.5208
2.88066e-008,1.5422
2.88490e-008,1.5556
2.88914e-008,1.5511
2.89339e-008,1.5356
2.89763e-008,1.5208
2.90187e-008,1.5081
2.90611e-008,1.4965
2.91035e-008,1.4910
2.91460e-008,1.4935
2.91884e-008,1.5014
2.92308e-008,1.5131
2.92733e-008,1.5242
2.93157e-008,1.5282
2.93581e-008,1.5223
2.94005e-008,1.5097
2.94429e-008,1.4984
2.94854e-008,1.4950
2.95278e-008,1.4978
2.95702e-008,1.4998
2.96127e-008,1.4977
2.96551e-008,1.4916
2.96975e-008,1.4827
2.97399e-008,1.4760
2.97824e-008,1.4760
2.98248e-008,1.4810
2.98672e-008,1.4867
2.99096e-008,1.4931
2.99521e-008,1.5206
2.99945e-008,1.4295
3.00369e-008,1.2874
3.00793e-008,1.1382
3.01218e-008,0.9654
3.01642e-008,0.7913
3.02066e-008,0.6734
3.02490e-008,0.5963
3.02914e-008,0.5442
3.03339e-008,0.5278
3.03763e-008,0.5377
3.04187e-008,0.5445
3.04612e-008,0.5572
3.05036e-008,0.5679
3.05460e-008,0.5577
3.05884e-008,0.5640
3.06309e-008,0.5657
3.06733e-008,0.5149
3.07157e-008,0.4179
3.07581e-008,0.2967
3.08005e-008,0.1393
3.08430e-008,-0.0178
3.08854e-008,-0.1092
3.09278e-008,-0.1497
3.09702e-008,-0.1663
3.10127e-008,-0.1546
3.10551e-008,-0.1267
3.10975e-008,-0.1066
3.11400e-008,-0.0975
3.11824e-008,-0.0908
3.12248e-008,-0.0958
3.12672e-008,-0.1088
3.13096e-008,-0.1158
3.13521e-008,-0.1180
3.13945e-008,-0.1128
3.14369e-008,-0.1029
3.14793e-008,-0.1014
3.15218e-008,-0.1032
3.15642e-008,-0.0909
3.16066e-008,-0.0652
3.16491e-008,-0.0324
3.16915e-008,0.0121
3.17339e-008,0.0567
3.17763e-008,0.0816
3.18188e-008,0.0822
3.18612e-008,0.0575
3.19036e-008,0.0989
3.19460e-008,0.2212
3.19884e-008,0.3732
3.20309e-008,0.5297
3.20733e-008,0.6699
3.21157e-008,0.7980
3.21582e-008,0.8980
3.22006e-008,0.9697
3.22430e-008,1.0019
3.22854e-008,1.0013
3.23279e-008,0.9819
3.23703e-008,0.9664
3.24127e-008,0.9618
3.24551e-008,0.9671
3.24975e-008,0.9625
3.25400e-008,0.9427
3.25824e-008,0.9484
3.26248e-008,1.0126
3.26672e-008,1.1271
3.27097e-008,1.2737
3.27521e-008,1.4237
3.27945e-008,1.5293
3.28370e-008,1.5754
3.28794e-008,1.5865
3.29218e-008,1.5849
3.29642e-008,1.5743
3.30066e-008,1.5611
3.30491e-008,1.5541
3.30915e-008,1.5566
3.31339e-008,1.5710
3.31763e-008,1.5945
3.32188e-008,1.6158
3.32612e-008,1.6238
3.33036e-008,1.6159
3.33461e-008,1.6000
3.33885e-008,1.5922
3.34309e-008,1.5964
3.34733e-008,1.5960
3.35158e-008,1.5766
3.35582e-008,1.5403
3.36006e-008,1.4944
3.36430e-008,1.4505
3.36854e-008,1.4244
3.37279e-008,1.4213
3.37703e-008,1.4308
3.38127e-008,1.4436
3.38552e-008,1.4581
3.38976e-008,1.4711
3.39400e-008,1.4781
3.39824e-008,1.4775
3.40249e-008,1.4694
3.40673e-008,1.4565
3.41097e-008,1.4448
3.41521e-008,1.4410
3.41945e-008,1.4470
3.42370e-008,1.4577
3.42794e-008,1.4642
3.43218e-008,1.4633
3.43643e-008,1.4613
3.44067e-008,1.4653
3.44491e-008,1.4770
3.44915e-008,1.4949
3.45340e-008,1.5139
3.45764e-008,1.5264
3.46188e-008,1.5294
3.46612e-008,1.5264
3.47036e-008,1.5206
3.47461e-008,1.5130
3.47885e-008,1.5057
3.48309e-008,1.5014
