.HEADER
..NAMES
Time,V U1.L24&L25
.DATA
1.73518e-008,0.8285
1.73942e-008,0.6380
1.74367e-008,0.4842
1.74791e-008,0.3651
1.75215e-008,0.3105
1.75640e-008,0.2958
1.76064e-008,0.2973
1.76488e-008,0.3196
1.76912e-008,0.3363
1.77336e-008,0.3230
1.77761e-008,0.3034
1.78185e-008,0.2960
1.78609e-008,0.2995
1.79033e-008,0.3005
1.79458e-008,0.2964
1.79882e-008,0.2722
1.80306e-008,0.2439
1.80731e-008,0.2274
1.81155e-008,0.2198
1.81579e-008,0.2200
1.82003e-008,0.2345
1.82427e-008,0.3663
1.82852e-008,0.5292
1.83276e-008,0.7211
1.83700e-008,0.8925
1.84125e-008,1.0219
1.84549e-008,1.0906
1.84973e-008,1.1282
1.85397e-008,1.1520
1.85822e-008,1.1487
1.86246e-008,1.1396
1.86670e-008,1.1441
1.87094e-008,1.1548
1.87518e-008,1.1685
1.87943e-008,1.1768
1.88367e-008,1.1821
1.88791e-008,1.1837
1.89216e-008,1.1969
1.89640e-008,1.2155
1.90064e-008,1.2316
1.90488e-008,1.2464
1.90912e-008,1.2489
1.91337e-008,1.2244
1.91761e-008,1.0657
1.92185e-008,0.8627
1.92610e-008,0.6739
1.93034e-008,0.5126
1.93458e-008,0.3840
1.93882e-008,0.3161
1.94307e-008,0.2973
1.94731e-008,0.2951
1.95155e-008,0.3142
1.95579e-008,0.3357
1.96003e-008,0.3269
1.96428e-008,0.3067
1.96852e-008,0.2961
1.97276e-008,0.2987
1.97701e-008,0.3005
1.98125e-008,0.2983
1.98549e-008,0.2783
1.98973e-008,0.2484
1.99397e-008,0.2299
1.99822e-008,0.2205
2.00246e-008,0.2195
2.00670e-008,0.2258
2.01095e-008,0.3355
2.01519e-008,0.4980
2.01943e-008,0.6801
2.02367e-008,0.8622
2.02792e-008,1.0011
2.03216e-008,1.0808
2.03640e-008,1.1218
2.04064e-008,1.1494
2.04488e-008,1.1510
2.04913e-008,1.1402
2.05337e-008,1.1426
2.05761e-008,1.1521
2.06186e-008,1.1662
2.06610e-008,1.1755
2.07034e-008,1.1813
2.07458e-008,1.1832
2.07882e-008,1.1931
2.08307e-008,1.2123
2.08731e-008,1.2282
2.09155e-008,1.2443
2.09580e-008,1.2493
2.10004e-008,1.2338
2.10428e-008,1.1042
2.10852e-008,0.8977
2.11277e-008,0.7114
2.11701e-008,0.5417
2.12125e-008,0.4049
2.12549e-008,0.3251
2.12973e-008,0.2997
2.13398e-008,0.2939
2.13822e-008,0.3089
2.14246e-008,0.3336
2.14671e-008,0.3305
2.15095e-008,0.3103
2.15519e-008,0.2969
2.15943e-008,0.2978
2.16367e-008,0.3005
2.16792e-008,0.2994
2.17216e-008,0.2840
2.17640e-008,0.2535
2.18064e-008,0.2327
2.18489e-008,0.2216
2.18913e-008,0.2192
2.19337e-008,0.2245
2.19762e-008,0.3087
2.20186e-008,0.4668
2.20610e-008,0.6376
2.21034e-008,0.8307
2.21458e-008,0.9785
2.21883e-008,1.0690
2.22307e-008,1.1145
2.22731e-008,1.1456
2.23156e-008,1.1527
2.23580e-008,1.1417
2.24004e-008,1.1412
2.24428e-008,1.1498
2.24852e-008,1.1636
2.25277e-008,1.1740
2.25701e-008,1.1804
2.26125e-008,1.1829
2.26549e-008,1.1897
2.26974e-008,1.2089
2.27398e-008,1.2249
2.27822e-008,1.2417
2.28247e-008,1.2493
2.28671e-008,1.2410
2.29095e-008,1.1390
2.29519e-008,0.9357
2.29943e-008,0.7511
2.30368e-008,0.5714
2.30792e-008,0.4278
2.31216e-008,0.3358
2.31641e-008,0.3032
2.32065e-008,0.2935
2.32489e-008,0.3044
2.32913e-008,0.3300
2.33338e-008,0.3335
2.33762e-008,0.3143
2.34186e-008,0.2983
2.34610e-008,0.2969
2.35034e-008,0.3004
2.35459e-008,0.3000
2.35883e-008,0.2890
2.36307e-008,0.2591
2.36732e-008,0.2358
2.37156e-008,0.2231
2.37580e-008,0.2191
2.38004e-008,0.2229
2.38428e-008,0.2833
2.38853e-008,0.4349
2.39277e-008,0.5979
2.39701e-008,0.7983
2.40126e-008,0.9531
2.40550e-008,1.0563
2.40974e-008,1.1066
2.41398e-008,1.1408
2.41823e-008,1.1535
2.42247e-008,1.1437
2.42671e-008,1.1402
2.43095e-008,1.1476
2.43519e-008,1.1608
2.43944e-008,1.1725
2.44368e-008,1.1793
2.44792e-008,1.1828
2.45217e-008,1.1869
2.45641e-008,1.2052
2.46065e-008,1.2218
2.46489e-008,1.2387
2.46913e-008,1.2489
2.47338e-008,1.2465
2.47762e-008,1.1738
2.48186e-008,0.9758
2.48611e-008,0.7895
2.49035e-008,0.6016
2.49459e-008,0.4534
2.49883e-008,0.3478
2.50308e-008,0.3067
2.50732e-008,0.2942
2.51156e-008,0.3006
2.51580e-008,0.3253
2.52004e-008,0.3355
2.52429e-008,0.3184
2.52853e-008,0.3003
2.53277e-008,0.2963
2.53702e-008,0.3000
2.54126e-008,0.3003
2.54550e-008,0.2931
2.54974e-008,0.2652
2.55398e-008,0.2393
2.55823e-008,0.2249
2.56247e-008,0.2192
2.56671e-008,0.2207
2.57096e-008,0.2566
2.57520e-008,0.4028
2.57944e-008,0.5640
2.58368e-008,0.7637
2.58793e-008,0.9250
2.59217e-008,1.0419
2.59641e-008,1.0990
2.60065e-008,1.1350
2.60489e-008,1.1534
2.60914e-008,1.1460
2.61338e-008,1.1396
2.61762e-008,1.1457
2.62187e-008,1.1579
2.62611e-008,1.1707
2.63035e-008,1.1781
2.63459e-008,1.1826
2.63883e-008,1.1850
2.64308e-008,1.2012
2.64732e-008,1.2187
2.65156e-008,1.2354
2.65580e-008,1.2480
2.66005e-008,1.2482
2.66429e-008,1.2050
2.66853e-008,1.0176
2.67278e-008,0.8243
2.67702e-008,0.6340
2.68126e-008,0.4809
2.68550e-008,0.3630
2.68974e-008,0.3100
2.69399e-008,0.2956
