.HEADER
..NAMES
Time,V U1.H24&G25
.DATA
3.33036e-008,0.8904
3.33461e-008,0.8952
3.33885e-008,0.8762
3.34309e-008,0.8606
3.34733e-008,0.8825
3.35158e-008,0.8994
3.35582e-008,0.9535
3.36006e-008,1.0172
3.36430e-008,1.0329
3.36854e-008,0.9281
3.37279e-008,0.4686
3.37703e-008,0.0636
3.38127e-008,-0.3097
3.38552e-008,-0.5757
3.38976e-008,-0.7196
3.39400e-008,-0.7939
3.39824e-008,-0.8486
3.40249e-008,-0.8773
3.40673e-008,-0.9069
3.41097e-008,-0.9282
3.41521e-008,-0.9271
3.41945e-008,-0.9147
3.42370e-008,-0.8900
3.42794e-008,-0.8942
3.43218e-008,-0.8780
3.43643e-008,-0.8593
3.44067e-008,-0.8794
3.44491e-008,-0.8961
3.44915e-008,-0.9453
3.45340e-008,-1.0121
3.45764e-008,-1.0315
3.46188e-008,-0.9572
3.46612e-008,-0.5174
3.47036e-008,-0.0940
3.47461e-008,0.2775
3.47885e-008,0.5553
3.48309e-008,0.7135
3.48733e-008,0.7895
3.49158e-008,0.8475
3.49582e-008,0.8754
3.50006e-008,0.9057
3.50431e-008,0.9285
3.50855e-008,0.9288
3.51279e-008,0.9183
3.51703e-008,0.8920
3.52128e-008,0.8950
3.52552e-008,0.8820
3.52976e-008,0.8600
3.53400e-008,0.8777
3.53824e-008,0.8954
3.54249e-008,0.9390
3.54673e-008,1.0083
3.55097e-008,1.0328
3.55522e-008,0.9813
3.55946e-008,0.5696
3.56370e-008,0.1294
3.56794e-008,-0.2389
3.57219e-008,-0.5306
3.57643e-008,-0.7025
3.58067e-008,-0.7812
3.58491e-008,-0.8428
3.58915e-008,-0.8699
3.59340e-008,-0.9017
3.59764e-008,-0.9262
3.60188e-008,-0.9279
3.60613e-008,-0.9191
3.61037e-008,-0.8925
3.61461e-008,-0.8935
3.61885e-008,-0.8835
3.62310e-008,-0.8596
3.62734e-008,-0.8744
3.63158e-008,-0.8928
3.63582e-008,-0.9313
3.64006e-008,-1.0022
3.64431e-008,-1.0309
3.64855e-008,-0.9955
3.65279e-008,-0.6182
3.65703e-008,-0.1616
3.66128e-008,0.2036
3.66552e-008,0.5088
3.66976e-008,0.6943
3.67401e-008,0.7758
3.67825e-008,0.8405
3.68249e-008,0.8682
3.68673e-008,0.9009
3.69097e-008,0.9258
3.69522e-008,0.9293
3.69946e-008,0.9220
3.70370e-008,0.8954
3.70794e-008,0.8938
3.71219e-008,0.8872
