.HEADER
..NAMES
Time,V U1.P25&R25
.DATA
3.07178e-008,1.1276
3.07602e-008,1.1511
3.08026e-008,1.1669
3.08451e-008,1.1513
3.08875e-008,1.1486
3.09299e-008,1.1564
3.09723e-008,1.1668
3.10147e-008,1.1806
3.10572e-008,1.1756
3.10996e-008,1.1727
3.11420e-008,1.1721
3.11844e-008,1.1670
3.12269e-008,1.1777
3.12693e-008,1.2072
3.13117e-008,1.2350
3.13542e-008,1.1644
3.13966e-008,0.9432
3.14390e-008,0.7352
3.14814e-008,0.5506
3.15239e-008,0.4427
3.15663e-008,0.3728
3.16087e-008,0.3149
3.16511e-008,0.3010
3.16935e-008,0.3038
3.17360e-008,0.2950
3.17784e-008,0.3038
3.18208e-008,0.3113
3.18633e-008,0.3107
3.19057e-008,0.3058
3.19481e-008,0.2901
3.19905e-008,0.2937
3.20330e-008,0.3070
3.20754e-008,0.3129
3.21178e-008,0.3083
3.21602e-008,0.2891
3.22026e-008,0.2583
3.22451e-008,0.2289
3.22875e-008,0.2601
3.23299e-008,0.4258
3.23723e-008,0.6107
3.24148e-008,0.8165
3.24572e-008,0.9536
3.24996e-008,1.0375
3.25421e-008,1.0986
3.25845e-008,1.1231
3.26269e-008,1.1467
3.26693e-008,1.1662
3.27117e-008,1.1551
3.27542e-008,1.1471
3.27966e-008,1.1551
3.28390e-008,1.1639
3.28814e-008,1.1791
3.29239e-008,1.1774
3.29663e-008,1.1724
3.30087e-008,1.1729
3.30512e-008,1.1676
3.30936e-008,1.1736
3.31360e-008,1.2009
3.31784e-008,1.2318
3.32209e-008,1.1973
3.32633e-008,0.9904
3.33057e-008,0.7743
3.33481e-008,0.5788
3.33905e-008,0.4590
3.34330e-008,0.3858
3.34754e-008,0.3223
3.35178e-008,0.3018
3.35603e-008,0.3032
3.36027e-008,0.2968
3.36451e-008,0.3005
3.36875e-008,0.3115
3.37300e-008,0.3105
3.37724e-008,0.3080
3.38148e-008,0.2927
3.38572e-008,0.2911
3.38996e-008,0.3050
3.39421e-008,0.3124
3.39845e-008,0.3102
3.40269e-008,0.2941
3.40694e-008,0.2646
3.41118e-008,0.2333
3.41542e-008,0.2346
3.41966e-008,0.3883
3.42391e-008,0.5739
3.42815e-008,0.7803
3.43239e-008,0.9320
3.43663e-008,1.0227
3.44087e-008,1.0908
3.44512e-008,1.1190
3.44936e-008,1.1423
3.45360e-008,1.1638
3.45784e-008,1.1591
3.46209e-008,1.1462
3.46633e-008,1.1538
3.47057e-008,1.1614
3.47482e-008,1.1767
3.47906e-008,1.1791
3.48330e-008,1.1724
3.48754e-008,1.1733
3.49178e-008,1.1685
3.49603e-008,1.1705
3.50027e-008,1.1947
3.50451e-008,1.2264
3.50875e-008,1.2203
3.51300e-008,1.0387
3.51724e-008,0.8121
3.52148e-008,0.6115
3.52573e-008,0.4779
3.52997e-008,0.3997
3.53421e-008,0.3313
3.53845e-008,0.3029
3.54270e-008,0.3020
3.54694e-008,0.2993
3.55118e-008,0.2976
3.55542e-008,0.3110
3.55966e-008,0.3104
3.56391e-008,0.3094
3.56815e-008,0.2959
3.57239e-008,0.2892
3.57664e-008,0.3026
3.58088e-008,0.3116
3.58512e-008,0.3116
3.58936e-008,0.2986
3.59361e-008,0.2709
3.59785e-008,0.2391
3.60209e-008,0.2235
3.60633e-008,0.3511
3.61057e-008,0.5380
3.61482e-008,0.7396
3.61906e-008,0.9077
3.62330e-008,1.0067
3.62754e-008,1.0809
3.63179e-008,1.1156
3.63603e-008,1.1377
3.64027e-008,1.1603
3.64452e-008,1.1629
3.64876e-008,1.1465
3.65300e-008,1.1523
3.65724e-008,1.1594
3.66148e-008,1.1737
3.66573e-008,1.1805
3.66997e-008,1.1729
3.67421e-008,1.1734
3.67845e-008,1.1698
3.68270e-008,1.1684
3.68694e-008,1.1887
3.69118e-008,1.2204
3.69543e-008,1.2322
3.69967e-008,1.0840
3.70391e-008,0.8513
3.70815e-008,0.6478
3.71240e-008,0.4991
3.71664e-008,0.4138
3.72088e-008,0.3434
3.72512e-008,0.3046
3.72936e-008,0.3010
3.73361e-008,0.3016
3.73785e-008,0.2954
3.74209e-008,0.3096
3.74634e-008,0.3106
3.75058e-008,0.3104
3.75482e-008,0.2994
3.75906e-008,0.2882
3.76331e-008,0.2999
3.76755e-008,0.3105
3.77179e-008,0.3125
3.77603e-008,0.3024
3.78027e-008,0.2771
3.78452e-008,0.2452
3.78876e-008,0.2235
3.79300e-008,0.3187
3.79725e-008,0.5029
3.80149e-008,0.6971
3.80573e-008,0.8809
3.80997e-008,0.9905
3.81422e-008,1.0678
3.81846e-008,1.1117
3.82270e-008,1.1329
3.82694e-008,1.1561
3.83118e-008,1.1657
3.83543e-008,1.1481
3.83967e-008,1.1506
3.84391e-008,1.1578
3.84815e-008,1.1704
3.85240e-008,1.1811
3.85664e-008,1.1740
3.86088e-008,1.1732
3.86513e-008,1.1710
3.86937e-008,1.1673
3.87361e-008,1.1831
3.87785e-008,1.2142
3.88210e-008,1.2354
3.88634e-008,1.1240
3.89058e-008,0.8932
3.89482e-008,0.6883
3.89906e-008,0.5226
3.90331e-008,0.4273
3.90755e-008,0.3577
3.91179e-008,0.3082
3.91604e-008,0.3007
3.92028e-008,0.3032
3.92452e-008,0.2944
3.92876e-008,0.3072
3.93301e-008,0.3110
3.93725e-008,0.3108
3.94149e-008,0.3027
3.94573e-008,0.2884
3.94997e-008,0.2970
3.95422e-008,0.3090
3.95846e-008,0.3129
3.96270e-008,0.3055
3.96695e-008,0.2830
3.97119e-008,0.2513
3.97543e-008,0.2263
3.97967e-008,0.2907
3.98392e-008,0.4668
3.98816e-008,0.6546
3.99240e-008,0.8518
3.99664e-008,0.9740
4.00088e-008,1.0533
4.00513e-008,1.1062
4.00937e-008,1.1282
4.01361e-008,1.1516
4.01785e-008,1.1670
4.02210e-008,1.1510
4.02634e-008,1.1488
4.03058e-008,1.1565
4.03483e-008,1.1672
4.03907e-008,1.1807
4.04331e-008,1.1755
4.04755e-008,1.1728
4.05179e-008,1.1721
4.05604e-008,1.1670
4.06028e-008,1.1781
4.06452e-008,1.2080
4.06876e-008,1.2353
4.07301e-008,1.1606
4.07725e-008,0.9380
4.08149e-008,0.7305
4.08574e-008,0.5477
4.08998e-008,0.4411
4.09422e-008,0.3714
4.09846e-008,0.3141
4.10271e-008,0.3010
4.10695e-008,0.3039
4.11119e-008,0.2948
4.11543e-008,0.3042
4.11967e-008,0.3114
4.12392e-008,0.3108
4.12816e-008,0.3056
4.13240e-008,0.2898
4.13665e-008,0.2940
4.14089e-008,0.3073
4.14513e-008,0.3129
4.14937e-008,0.3081
4.15362e-008,0.2886
4.15786e-008,0.2576
4.16210e-008,0.2285
4.16634e-008,0.2629
4.17058e-008,0.4297
4.17483e-008,0.6148
4.17907e-008,0.8201
4.18331e-008,0.9558
4.18756e-008,1.0389
4.19180e-008,1.0993
4.19604e-008,1.1236
4.20028e-008,1.1472
4.20453e-008,1.1664
4.20877e-008,1.1547
4.21301e-008,1.1472
4.21725e-008,1.1553
4.22149e-008,1.1642
4.22574e-008,1.1793
4.22998e-008,1.1773
4.23422e-008,1.1725
4.23846e-008,1.1729
4.24271e-008,1.1675
4.24695e-008,1.1740
4.25119e-008,1.2016
4.25544e-008,1.2324
4.25968e-008,1.1942
4.26392e-008,0.9850
4.26816e-008,0.7700
4.27241e-008,0.5754
4.27665e-008,0.4570
4.28089e-008,0.3844
4.28513e-008,0.3214
4.28937e-008,0.3017
4.29362e-008,0.3034
4.29786e-008,0.2966
4.30210e-008,0.3009
4.30635e-008,0.3115
4.31059e-008,0.3105
4.31483e-008,0.3078
4.31907e-008,0.2924
4.32332e-008,0.2914
4.32756e-008,0.3053
4.33180e-008,0.3125
4.33604e-008,0.3100
4.34028e-008,0.2936
4.34453e-008,0.2639
4.34877e-008,0.2327
4.35301e-008,0.2362
4.35726e-008,0.3923
4.36150e-008,0.5778
4.36574e-008,0.7844
4.36998e-008,0.9346
4.37423e-008,1.0243
4.37847e-008,1.0917
4.38271e-008,1.1195
4.38695e-008,1.1428
4.39119e-008,1.1642
4.39544e-008,1.1587
4.39968e-008,1.1463
4.40392e-008,1.1540
4.40816e-008,1.1617
4.41241e-008,1.1771
4.41665e-008,1.1790
4.42089e-008,1.1725
4.42514e-008,1.1733
4.42938e-008,1.1684
4.43362e-008,1.1708
4.43786e-008,1.1953
4.44210e-008,1.2270
4.44635e-008,1.2188
4.45059e-008,1.0334
4.45483e-008,0.8078
4.45907e-008,0.6075
4.46332e-008,0.4756
4.46756e-008,0.3982
4.47180e-008,0.3301
4.47605e-008,0.3027
4.48029e-008,0.3022
4.48453e-008,0.2990
4.48877e-008,0.2979
4.49302e-008,0.3111
4.49726e-008,0.3105
4.50150e-008,0.3094
4.50574e-008,0.2956
4.50998e-008,0.2893
4.51423e-008,0.3030
4.51847e-008,0.3118
4.52271e-008,0.3115
4.52696e-008,0.2981
4.53120e-008,0.2702
4.53544e-008,0.2385
4.53968e-008,0.2235
