.HEADER
..NAMES
Time,V U1.P25&R25
.DATA
1.41275e-008,0.2148
1.41699e-008,0.4910
1.42124e-008,0.6469
1.42548e-008,0.7628
1.42972e-008,0.7885
1.43397e-008,0.7959
1.43821e-008,0.8248
1.44245e-008,0.8348
1.44669e-008,0.8400
1.45094e-008,0.8697
1.45518e-008,0.8862
1.45942e-008,0.9006
1.46366e-008,0.8879
1.46790e-008,0.8584
1.47215e-008,0.8520
1.47639e-008,0.8539
1.48063e-008,0.8773
1.48487e-008,0.9368
1.48912e-008,1.0000
1.49336e-008,0.9909
1.49760e-008,0.6476
1.50185e-008,0.2341
1.50609e-008,-0.1761
1.51033e-008,-0.4691
1.51457e-008,-0.6336
1.51881e-008,-0.7518
1.52306e-008,-0.7810
1.52730e-008,-0.7884
1.53154e-008,-0.8210
1.53579e-008,-0.8400
1.54003e-008,-0.8423
1.54427e-008,-0.8687
1.54851e-008,-0.8831
1.55276e-008,-0.8959
1.55700e-008,-0.8886
1.56124e-008,-0.8602
1.56548e-008,-0.8523
1.56972e-008,-0.8522
1.57397e-008,-0.8716
1.57821e-008,-0.9296
1.58245e-008,-0.9933
1.58670e-008,-1.0015
1.59094e-008,-0.6864
1.59518e-008,-0.2675
1.59942e-008,0.1413
1.60366e-008,0.4471
1.60791e-008,0.6200
1.61215e-008,0.7472
1.61639e-008,0.7888
1.62064e-008,0.7936
1.62488e-008,0.8181
1.62912e-008,0.8359
1.63336e-008,0.8358
1.63761e-008,0.8644
1.64185e-008,0.8837
1.64609e-008,0.8982
1.65033e-008,0.8935
1.65457e-008,0.8625
1.65882e-008,0.8521
1.66306e-008,0.8530
1.66730e-008,0.8695
1.67155e-008,0.9241
1.67579e-008,0.9885
1.68003e-008,1.0107
1.68427e-008,0.7294
1.68851e-008,0.3077
1.69276e-008,-0.0989
1.69700e-008,-0.4222
1.70124e-008,-0.6061
1.70548e-008,-0.7343
1.70973e-008,-0.7817
1.71397e-008,-0.7856
1.71821e-008,-0.8130
1.72246e-008,-0.8400
1.72670e-008,-0.8393
1.73094e-008,-0.8640
1.73518e-008,-0.8813
1.73942e-008,-0.8934
1.74367e-008,-0.8932
1.74791e-008,-0.8644
1.75215e-008,-0.8529
1.75640e-008,-0.8519
1.76064e-008,-0.8648
1.76488e-008,-0.9169
1.76912e-008,-0.9818
1.77336e-008,-1.0138
1.77761e-008,-0.7652
1.78185e-008,-0.3430
1.78609e-008,0.0607
1.79033e-008,0.3980
1.79458e-008,0.5917
1.79882e-008,0.7251
1.80306e-008,0.7882
1.80731e-008,0.7914
1.81155e-008,0.8113
1.81579e-008,0.8361
1.82003e-008,0.8333
1.82427e-008,0.8586
1.82852e-008,0.8810
1.83276e-008,0.8951
1.83700e-008,0.8980
1.84125e-008,0.8676
1.84549e-008,0.8525
1.84973e-008,0.8526
1.85397e-008,0.8633
1.85822e-008,0.9114
1.86246e-008,0.9765
1.86670e-008,1.0160
1.87094e-008,0.8026
1.87518e-008,0.3844
1.87943e-008,-0.0160
