.HEADER
..NAMES
Time,V U1.V22
.DATA
2.17225e-008,1.2659
2.17685e-008,1.2673
2.18144e-008,1.2760
2.18603e-008,1.2763
2.19062e-008,1.2541
2.19522e-008,1.2207
2.19981e-008,1.1888
2.20440e-008,1.1730
2.20899e-008,1.1813
2.21359e-008,1.2085
2.21818e-008,1.2390
2.22277e-008,1.2540
2.22736e-008,1.2460
2.23196e-008,1.2272
2.23655e-008,1.2100
2.24114e-008,1.2072
2.24573e-008,1.2218
2.25033e-008,1.2457
2.25492e-008,1.2699
2.25951e-008,1.2790
2.26410e-008,1.2671
2.26869e-008,1.2436
2.27329e-008,1.2193
2.27788e-008,1.2053
2.28247e-008,1.2059
2.28706e-008,1.2174
2.29166e-008,1.2029
2.29625e-008,1.0812
2.30084e-008,0.9417
2.30543e-008,0.7760
2.31003e-008,0.6069
2.31462e-008,0.4404
2.31921e-008,0.3108
2.32380e-008,0.2391
2.32840e-008,0.1954
2.33299e-008,0.1726
2.33758e-008,0.1630
2.34217e-008,0.1689
2.34677e-008,0.1871
2.35136e-008,0.2063
2.35595e-008,0.2200
2.36055e-008,0.2234
2.36514e-008,0.2157
2.36973e-008,0.2011
2.37432e-008,0.1996
2.37892e-008,0.2212
2.38351e-008,0.2543
2.38810e-008,0.2861
2.39269e-008,0.3034
2.39729e-008,0.3009
2.40188e-008,0.2793
2.40647e-008,0.2508
2.41106e-008,0.2323
2.41566e-008,0.2314
2.42025e-008,0.2429
2.42484e-008,0.2569
2.42943e-008,0.2619
2.43403e-008,0.2539
2.43862e-008,0.2355
2.44321e-008,0.2141
2.44780e-008,0.2045
2.45239e-008,0.2119
2.45699e-008,0.2301
2.46158e-008,0.2499
2.46617e-008,0.2622
2.47076e-008,0.2648
2.47536e-008,0.2593
2.47995e-008,0.2909
2.48454e-008,0.4403
2.48913e-008,0.5956
2.49373e-008,0.7903
2.49832e-008,0.9787
2.50291e-008,1.1248
2.50750e-008,1.2215
2.51210e-008,1.2604
2.51669e-008,1.2887
2.52128e-008,1.3013
2.52587e-008,1.3079
2.53047e-008,1.3050
2.53506e-008,1.2902
2.53965e-008,1.2730
2.54424e-008,1.2569
2.54884e-008,1.2514
2.55343e-008,1.2609
2.55802e-008,1.2800
2.56262e-008,1.2818
2.56721e-008,1.2569
2.57180e-008,1.2178
2.57639e-008,1.1798
2.58099e-008,1.1638
2.58558e-008,1.1772
2.59017e-008,1.2115
2.59476e-008,1.2455
2.59936e-008,1.2578
2.60395e-008,1.2459
2.60854e-008,1.2233
2.61313e-008,1.2054
2.61773e-008,1.2058
2.62232e-008,1.2242
2.62691e-008,1.2515
2.63150e-008,1.2750
2.63610e-008,1.2785
2.64069e-008,1.2613
2.64528e-008,1.2349
2.64987e-008,1.2115
2.65446e-008,1.2024
2.65906e-008,1.2086
2.66365e-008,1.2218
2.66824e-008,1.1687
2.67283e-008,1.0310
2.67743e-008,0.8850
2.68202e-008,0.7151
2.68661e-008,0.5428
2.69120e-008,0.3890
2.69580e-008,0.2820
2.70039e-008,0.2263
2.70498e-008,0.1873
2.70957e-008,0.1676
2.71417e-008,0.1602
2.71876e-008,0.1694
2.72335e-008,0.1911
2.72794e-008,0.2106
2.73254e-008,0.2244
2.73713e-008,0.2245
2.74172e-008,0.2129
2.74631e-008,0.1982
2.75091e-008,0.2031
2.75550e-008,0.2294
2.76009e-008,0.2640
2.76469e-008,0.2936
2.76928e-008,0.3055
2.77387e-008,0.2961
2.77846e-008,0.2695
2.78306e-008,0.2416
2.78765e-008,0.2290
2.79224e-008,0.2336
2.79683e-008,0.2481
2.80143e-008,0.2605
2.80602e-008,0.2608
2.81061e-008,0.2480
2.81520e-008,0.2264
2.81980e-008,0.2074
2.82439e-008,0.2044
2.82898e-008,0.2175
2.83357e-008,0.2381
2.83817e-008,0.2561
2.84276e-008,0.2645
2.84735e-008,0.2629
2.85194e-008,0.2549
2.85653e-008,0.2478
2.86113e-008,0.2447
2.86572e-008,0.2441
2.87031e-008,0.2426
2.87490e-008,0.2389
2.87950e-008,0.2350
2.88409e-008,0.2336
2.88868e-008,0.2368
2.89327e-008,0.2438
2.89787e-008,0.2516
2.90246e-008,0.2559
2.90705e-008,0.2535
2.91164e-008,0.2456
2.91624e-008,0.2362
2.92083e-008,0.2305
2.92542e-008,0.2323
2.93001e-008,0.2407
2.93461e-008,0.2512
2.93920e-008,0.2575
2.94379e-008,0.2562
2.94839e-008,0.2491
2.95298e-008,0.2408
2.95757e-008,0.2362
2.96216e-008,0.2371
2.96676e-008,0.2418
2.97135e-008,0.2470
2.97594e-008,0.2496
2.98053e-008,0.2486
2.98513e-008,0.2455
2.98972e-008,0.2427
2.99431e-008,0.2418
2.99890e-008,0.2430
3.00350e-008,0.2451
3.00809e-008,0.2466
3.01268e-008,0.2464
3.01727e-008,0.2447
3.02187e-008,0.2433
3.02646e-008,0.2434
3.03105e-008,0.2452
3.03564e-008,0.2475
3.04024e-008,0.2581
3.04483e-008,0.3696
3.04942e-008,0.5297
3.05401e-008,0.7043
3.05861e-008,0.8933
3.06320e-008,1.0719
3.06779e-008,1.1926
3.07238e-008,1.2584
3.07698e-008,1.2839
3.08157e-008,1.2969
3.08616e-008,1.2969
3.09075e-008,1.2932
3.09535e-008,1.2892
3.09994e-008,1.2800
3.10453e-008,1.2749
3.10912e-008,1.2686
3.11372e-008,1.2690
3.11831e-008,1.2753
3.12290e-008,1.2764
3.12749e-008,1.2560
3.13209e-008,1.2237
3.13668e-008,1.1924
3.14127e-008,1.1745
3.14586e-008,1.1795
3.15045e-008,1.2037
3.15505e-008,1.2338
3.15964e-008,1.2517
3.16423e-008,1.2472
3.16882e-008,1.2303
3.17342e-008,1.2129
3.17801e-008,1.2073
3.18260e-008,1.2188
3.18719e-008,1.2405
3.19179e-008,1.2650
3.19638e-008,1.2775
3.20097e-008,1.2694
3.20556e-008,1.2481
3.21016e-008,1.2238
3.21475e-008,1.2073
3.21934e-008,1.2047
3.22393e-008,1.2139
3.22853e-008,1.2075
3.23312e-008,1.0995
3.23771e-008,0.9608
3.24230e-008,0.7999
3.24690e-008,0.6325
3.25149e-008,0.4614
3.25608e-008,0.3250
3.26067e-008,0.2452
3.26527e-008,0.1995
3.26986e-008,0.1738
3.27445e-008,0.1635
3.27904e-008,0.1677
3.28364e-008,0.1842
3.28823e-008,0.2037
3.29282e-008,0.2178
3.29741e-008,0.2232
3.30201e-008,0.2170
3.30660e-008,0.2030
3.31119e-008,0.1986
3.31578e-008,0.2172
3.32038e-008,0.2491
3.32497e-008,0.2816
3.32956e-008,0.3013
3.33415e-008,0.3021
3.33875e-008,0.2832
3.34334e-008,0.2550
3.34793e-008,0.2341
3.35253e-008,0.2305
3.35712e-008,0.2402
3.36171e-008,0.2544
3.36630e-008,0.2613
3.37090e-008,0.2555
3.37549e-008,0.2387
3.38008e-008,0.2170
3.38467e-008,0.2048
3.38927e-008,0.2097
3.39386e-008,0.2267
3.39845e-008,0.2468
3.40304e-008,0.2607
3.40764e-008,0.2649
3.41223e-008,0.2605
3.41682e-008,0.2776
3.42141e-008,0.4182
3.42601e-008,0.5728
3.43060e-008,0.7638
3.43519e-008,0.9534
3.43978e-008,1.1084
3.44438e-008,1.2112
3.44897e-008,1.2563
3.45356e-008,1.2851
3.45815e-008,1.2997
3.46275e-008,1.3072
3.46734e-008,1.3053
3.47193e-008,1.2929
3.47652e-008,1.2751
3.48112e-008,1.2589
3.48571e-008,1.2511
3.49030e-008,1.2585
3.49489e-008,1.2773
3.49949e-008,1.2827
3.50408e-008,1.2612
3.50867e-008,1.2234
3.51326e-008,1.1842
3.51786e-008,1.1644
3.52245e-008,1.1737
3.52704e-008,1.2059
3.53163e-008,1.2412
3.53622e-008,1.2574
3.54082e-008,1.2483
3.54541e-008,1.2265
3.55000e-008,1.2070
3.55459e-008,1.2044
3.55919e-008,1.2208
3.56378e-008,1.2472
3.56837e-008,1.2724
3.57296e-008,1.2792
3.57756e-008,1.2644
3.58215e-008,1.2386
3.58674e-008,1.2140
3.59133e-008,1.2026
3.59593e-008,1.2068
3.60052e-008,1.2208
3.60511e-008,1.1850
3.60970e-008,1.0506
3.61430e-008,0.9076
3.61889e-008,0.7371
3.62348e-008,0.5658
3.62807e-008,0.4079
3.63267e-008,0.2923
3.63726e-008,0.2322
3.64185e-008,0.1912
3.64644e-008,0.1699
3.65104e-008,0.1600
3.65563e-008,0.1671
3.66022e-008,0.1878
3.66481e-008,0.2079
3.66941e-008,0.2229
3.67400e-008,0.2250
3.67859e-008,0.2150
3.68318e-008,0.1994
3.68778e-008,0.2009
3.69237e-008,0.2250
3.69696e-008,0.2591
3.70155e-008,0.2902
3.70615e-008,0.3048
3.71074e-008,0.2985
3.71533e-008,0.2735
3.71992e-008,0.2448
3.72452e-008,0.2295
3.72911e-008,0.2320
3.73370e-008,0.2457
3.73830e-008,0.2592
3.74289e-008,0.2614
3.74748e-008,0.2503
3.75207e-008,0.2295
3.75667e-008,0.2092
3.76126e-008,0.2036
3.76585e-008,0.2149
3.77044e-008,0.2351
3.77504e-008,0.2541
3.77963e-008,0.2639
3.78422e-008,0.2635
3.78881e-008,0.2567
3.79341e-008,0.3176
3.79800e-008,0.4723
3.80259e-008,0.6347
3.80718e-008,0.8299
3.81178e-008,1.0150
3.81637e-008,1.1480
3.82096e-008,1.2321
3.82555e-008,1.2648
3.83015e-008,1.2913
3.83474e-008,1.3027
3.83933e-008,1.3076
3.84392e-008,1.3036
3.84852e-008,1.2862
3.85311e-008,1.2693
3.85770e-008,1.2536
3.86229e-008,1.2514
3.86689e-008,1.2640
3.87148e-008,1.2825
3.87607e-008,1.2786
3.88066e-008,1.2493
3.88526e-008,1.2087
3.88985e-008,1.1734
3.89444e-008,1.1635
3.89903e-008,1.1827
3.90363e-008,1.2192
3.90822e-008,1.2505
3.91281e-008,1.2569
3.91740e-008,1.2413
3.92199e-008,1.2179
3.92659e-008,1.2028
3.93118e-008,1.2077
3.93577e-008,1.2290
3.94036e-008,1.2573
3.94496e-008,1.2778
3.94955e-008,1.2763
3.95414e-008,1.2558
3.95873e-008,1.2287
3.96333e-008,1.2075
3.96792e-008,1.2020
3.97251e-008,1.2110
3.97710e-008,1.2189
3.98170e-008,1.1421
3.98629e-008,1.0009
3.99088e-008,0.8470
3.99547e-008,0.6793
4.00007e-008,0.5069
4.00466e-008,0.3612
4.00925e-008,0.2679
4.01384e-008,0.2171
4.01844e-008,0.1817
4.02303e-008,0.1642
4.02762e-008,0.1605
4.03221e-008,0.1728
4.03681e-008,0.1954
4.04140e-008,0.2140
4.04599e-008,0.2256
4.05058e-008,0.2228
4.05518e-008,0.2090
