.HEADER
..NAMES
Time,V U1.F25
.DATA
1.96428e-008,0.2391
1.96852e-008,0.3903
1.97276e-008,0.5641
1.97701e-008,0.7772
1.98125e-008,0.9445
1.98549e-008,1.0584
1.98973e-008,1.1189
1.99397e-008,1.1516
1.99822e-008,1.1763
2.00246e-008,1.1864
2.00670e-008,1.1965
2.01095e-008,1.2004
2.01519e-008,1.2046
2.01943e-008,1.2171
2.02367e-008,1.2351
2.02792e-008,1.2321
2.03216e-008,1.2156
2.03640e-008,1.2012
2.04064e-008,1.1841
2.04488e-008,1.1820
2.04913e-008,1.2056
2.05337e-008,1.2431
2.05761e-008,1.2642
2.06186e-008,1.2782
2.06610e-008,1.2750
2.07034e-008,1.2644
2.07458e-008,1.2553
2.07882e-008,1.2540
2.08307e-008,1.2567
2.08731e-008,1.2594
2.09155e-008,1.2611
2.09580e-008,1.2605
2.10004e-008,1.2617
2.10428e-008,1.2649
2.10852e-008,1.2659
2.11277e-008,1.2623
2.11701e-008,1.2605
2.12125e-008,1.2595
2.12549e-008,1.2586
2.12973e-008,1.2619
2.13398e-008,1.2680
2.13822e-008,1.2693
2.14246e-008,1.2662
2.14671e-008,1.2633
2.15095e-008,1.2391
2.15519e-008,1.0514
2.15943e-008,0.8399
2.16367e-008,0.6588
2.16792e-008,0.4934
2.17216e-008,0.3773
2.17640e-008,0.3236
2.18064e-008,0.3038
2.18489e-008,0.2842
2.18913e-008,0.2803
2.19337e-008,0.2743
2.19762e-008,0.2701
2.20186e-008,0.2671
2.20610e-008,0.2532
2.21034e-008,0.2318
2.21458e-008,0.2405
2.21883e-008,0.2705
2.22307e-008,0.2789
2.22731e-008,0.2886
2.23156e-008,0.2953
2.23580e-008,0.2687
2.24004e-008,0.2196
2.24428e-008,0.2071
2.24852e-008,0.3410
2.25277e-008,0.5395
2.25701e-008,0.7555
2.26125e-008,0.9507
2.26549e-008,1.0671
2.26974e-008,1.1272
2.27398e-008,1.1536
2.27822e-008,1.1766
2.28247e-008,1.1863
2.28671e-008,1.1963
2.29095e-008,1.1960
2.29519e-008,1.1983
2.29943e-008,1.2155
2.30368e-008,1.2380
2.30792e-008,1.2390
2.31216e-008,1.2201
2.31641e-008,1.2021
2.32065e-008,1.1767
2.32489e-008,1.1698
2.32913e-008,1.1964
2.33338e-008,1.2416
2.33762e-008,1.2518
2.34186e-008,1.0960
2.34610e-008,0.8477
2.35034e-008,0.6438
