.HEADER
..NAMES
Time,V U1.L23
.DATA
1.46366e-008,1.2628
1.46790e-008,1.2631
1.47215e-008,1.2630
1.47639e-008,1.2627
1.48063e-008,1.2625
1.48487e-008,1.2625
1.48912e-008,1.2627
1.49336e-008,1.2628
1.49760e-008,1.2629
1.50185e-008,1.2628
1.50609e-008,1.2626
1.51033e-008,1.2626
1.51457e-008,1.2626
1.51881e-008,1.2628
1.52306e-008,1.2629
1.52730e-008,1.2628
1.53154e-008,1.2626
1.53579e-008,1.2626
1.54003e-008,1.2627
1.54427e-008,1.2628
1.54851e-008,1.2628
1.55276e-008,1.2627
1.55700e-008,1.2627
1.56124e-008,1.2626
1.56548e-008,1.2627
1.56972e-008,1.2627
1.57397e-008,1.2627
1.57821e-008,1.2627
1.58245e-008,1.2627
1.58670e-008,1.2627
1.59094e-008,1.2627
1.59518e-008,1.2627
1.59942e-008,1.2627
1.60366e-008,1.2627
1.60791e-008,1.2627
1.61215e-008,1.2627
1.61639e-008,1.2627
1.62064e-008,1.2627
1.62488e-008,1.2627
1.62912e-008,1.2627
1.63336e-008,1.2627
1.63761e-008,1.2627
1.64185e-008,1.2627
1.64609e-008,1.2627
1.65033e-008,1.2627
1.65457e-008,1.2627
1.65882e-008,1.2627
1.66306e-008,1.2627
1.66730e-008,1.2627
1.67155e-008,1.2627
1.67579e-008,1.2627
1.68003e-008,1.2627
1.68427e-008,1.2627
1.68851e-008,1.2627
1.69276e-008,1.2627
1.69700e-008,1.2627
1.70124e-008,1.2627
1.70548e-008,1.2627
1.70973e-008,1.2627
1.71397e-008,1.2627
1.71821e-008,1.2627
1.72246e-008,1.2625
1.72670e-008,1.2149
1.73094e-008,0.9889
1.73518e-008,0.7837
1.73942e-008,0.5836
1.74367e-008,0.4192
1.74791e-008,0.3342
1.75215e-008,0.2871
1.75640e-008,0.2826
1.76064e-008,0.2692
1.76488e-008,0.2539
1.76912e-008,0.2552
1.77336e-008,0.2595
1.77761e-008,0.2834
1.78185e-008,0.2916
1.78609e-008,0.2825
1.79033e-008,0.2708
1.79458e-008,0.2715
1.79882e-008,0.2897
1.80306e-008,0.2966
1.80731e-008,0.2881
1.81155e-008,0.2620
1.81579e-008,0.2358
1.82003e-008,0.2430
1.82427e-008,0.4197
1.82852e-008,0.6283
1.83276e-008,0.8604
1.83700e-008,1.0335
1.84125e-008,1.1157
1.84549e-008,1.1618
1.84973e-008,1.1679
1.85397e-008,1.1910
1.85822e-008,1.2147
1.86246e-008,1.2204
1.86670e-008,1.2175
1.87094e-008,1.1901
1.87518e-008,1.1784
1.87943e-008,1.1846
1.88367e-008,1.2002
1.88791e-008,1.2068
1.89216e-008,1.1894
1.89640e-008,1.1760
1.90064e-008,1.1760
1.90488e-008,1.2011
1.90912e-008,1.2334
1.91337e-008,1.2139
1.91761e-008,0.9868
1.92185e-008,0.7399
1.92610e-008,0.5363
1.93034e-008,0.3785
1.93458e-008,0.3112
1.93882e-008,0.2826
1.94307e-008,0.2838
1.94731e-008,0.2721
1.95155e-008,0.2478
1.95579e-008,0.2478
1.96003e-008,0.2589
1.96428e-008,0.2902
1.96852e-008,0.3032
1.97276e-008,0.2867
1.97701e-008,0.2674
1.98125e-008,0.2664
1.98549e-008,0.2919
1.98973e-008,0.3056
1.99397e-008,0.2946
1.99822e-008,0.2614
2.00246e-008,0.2282
2.00670e-008,0.2202
2.01095e-008,0.3753
2.01519e-008,0.5955
2.01943e-008,0.8179
2.02367e-008,1.0094
2.02792e-008,1.0993
2.03216e-008,1.1493
2.03640e-008,1.1640
2.04064e-008,1.1845
2.04488e-008,1.2152
2.04913e-008,1.2211
2.05337e-008,1.2185
2.05761e-008,1.1925
2.06186e-008,1.1769
2.06610e-008,1.1844
2.07034e-008,1.1987
2.07458e-008,1.2086
2.07882e-008,1.1921
2.08307e-008,1.1763
2.08731e-008,1.1742
2.09155e-008,1.1956
2.09580e-008,1.2296
2.10004e-008,1.2502
2.10428e-008,1.2587
2.10852e-008,1.2515
2.11277e-008,1.2405
2.11701e-008,1.2390
2.12125e-008,1.2449
2.12549e-008,1.2574
2.12973e-008,1.2641
2.13398e-008,1.2631
2.13822e-008,1.2590
2.14246e-008,1.2567
2.14671e-008,1.2617
2.15095e-008,1.2675
2.15519e-008,1.2694
2.15943e-008,1.2664
2.16367e-008,1.2622
2.16792e-008,1.2618
2.17216e-008,1.2642
2.17640e-008,1.2666
2.18064e-008,1.2666
2.18489e-008,1.2642
2.18913e-008,1.2613
2.19337e-008,1.2496
2.19762e-008,1.1110
2.20186e-008,0.8741
2.20610e-008,0.6897
2.21034e-008,0.4955
2.21458e-008,0.3697
2.21883e-008,0.3051
2.22307e-008,0.2788
2.22731e-008,0.2785
2.23156e-008,0.2596
2.23580e-008,0.2552
2.24004e-008,0.2554
2.24428e-008,0.2695
2.24852e-008,0.2905
2.25277e-008,0.2873
2.25701e-008,0.2773
2.26125e-008,0.2687
2.26549e-008,0.2806
2.26974e-008,0.2950
2.27398e-008,0.2937
2.27822e-008,0.2767
2.28247e-008,0.2477
2.28671e-008,0.2290
2.29095e-008,0.3206
2.29519e-008,0.5307
2.29943e-008,0.7378
2.30368e-008,0.9616
2.30792e-008,1.0822
2.31216e-008,1.1427
2.31641e-008,1.1695
2.32065e-008,1.1757
2.32489e-008,1.2064
2.32913e-008,1.2181
2.33338e-008,1.2220
2.33762e-008,1.2051
2.34186e-008,1.1805
2.34610e-008,1.1810
2.35034e-008,1.1910
2.35459e-008,1.2072
2.35883e-008,1.1993
2.36307e-008,1.1813
2.36732e-008,1.1739
2.37156e-008,1.1858
2.37580e-008,1.2189
2.38004e-008,1.2445
2.38428e-008,1.2578
2.38853e-008,1.2564
2.39277e-008,1.2444
2.39701e-008,1.2393
2.40126e-008,1.2415
2.40550e-008,1.2523
2.40974e-008,1.2626
2.41398e-008,1.2644
2.41823e-008,1.2614
2.42247e-008,1.2571
2.42671e-008,1.2593
2.43095e-008,1.2655
2.43519e-008,1.2691
2.43944e-008,1.2681
2.44368e-008,1.2636
2.44792e-008,1.2617
2.45217e-008,1.2632
2.45641e-008,1.2658
2.46065e-008,1.2668
2.46489e-008,1.2651
2.46913e-008,1.2624
2.47338e-008,1.2572
2.47762e-008,1.1719
2.48186e-008,0.9368
2.48611e-008,0.7483
2.49035e-008,0.5469
2.49459e-008,0.3969
2.49883e-008,0.3216
2.50308e-008,0.2810
2.50732e-008,0.2810
2.51156e-008,0.2651
2.51580e-008,0.2549
2.52004e-008,0.2555
2.52429e-008,0.2627
2.52853e-008,0.2866
2.53277e-008,0.2896
2.53702e-008,0.2806
2.54126e-008,0.2697
2.54550e-008,0.2752
2.54974e-008,0.2926
2.55398e-008,0.2955
2.55823e-008,0.2837
2.56247e-008,0.2559
2.56671e-008,0.2331
2.57096e-008,0.2207
2.57520e-008,0.2139
2.57944e-008,0.2214
2.58368e-008,0.2299
2.58793e-008,0.2318
2.59217e-008,0.2265
2.59641e-008,0.2169
2.60065e-008,0.2139
2.60489e-008,0.2156
2.60914e-008,0.2187
2.61338e-008,0.2178
2.61762e-008,0.2127
2.62187e-008,0.2102
2.62611e-008,0.2112
2.63035e-008,0.2140
2.63459e-008,0.2152
2.63883e-008,0.2137
2.64308e-008,0.2125
2.64732e-008,0.2126
2.65156e-008,0.2136
2.65580e-008,0.2148
2.66005e-008,0.2168
2.66429e-008,0.2453
2.66853e-008,0.4063
2.67278e-008,0.5839
2.67702e-008,0.8092
2.68126e-008,0.9842
2.68550e-008,1.0883
2.68974e-008,1.1533
2.69399e-008,1.1678
2.69823e-008,1.1908
2.70247e-008,1.2072
2.70672e-008,1.2155
2.71096e-008,1.2192
2.71520e-008,1.1991
2.71944e-008,1.1883
2.72368e-008,1.1871
2.72793e-008,1.1980
2.73217e-008,1.2048
2.73641e-008,1.1940
2.74065e-008,1.1840
2.74490e-008,1.1812
2.74914e-008,1.2001
2.75338e-008,1.2263
2.75763e-008,1.2455
2.76187e-008,1.2565
2.76611e-008,1.2523
2.77035e-008,1.2456
2.77459e-008,1.2425
2.77884e-008,1.2454
2.78308e-008,1.2552
2.78732e-008,1.2615
2.79157e-008,1.2633
2.79581e-008,1.2605
2.80005e-008,1.2585
2.80429e-008,1.2617
2.80854e-008,1.2659
2.81278e-008,1.2681
2.81702e-008,1.2663
2.82126e-008,1.2633
2.82550e-008,1.2629
2.82975e-008,1.2642
2.83399e-008,1.2658
2.83823e-008,1.2657
2.84248e-008,1.2642
2.84672e-008,1.2620
2.85096e-008,1.2359
2.85520e-008,1.0340
2.85944e-008,0.8158
2.86369e-008,0.6229
2.86793e-008,0.4461
2.87217e-008,0.3462
2.87642e-008,0.2912
2.88066e-008,0.2806
2.88490e-008,0.2727
2.88914e-008,0.2555
2.89339e-008,0.2559
2.89763e-008,0.2575
2.90187e-008,0.2784
2.90611e-008,0.2916
2.91035e-008,0.2843
2.91460e-008,0.2732
2.91884e-008,0.2700
2.92308e-008,0.2869
2.92733e-008,0.2965
2.93157e-008,0.2906
2.93581e-008,0.2676
2.94005e-008,0.2400
2.94429e-008,0.2301
2.94854e-008,0.3811
2.95278e-008,0.5943
2.95702e-008,0.8177
2.96127e-008,1.0110
2.96551e-008,1.1049
2.96975e-008,1.1571
2.97399e-008,1.1687
2.97824e-008,1.1854
2.98248e-008,1.2127
2.98672e-008,1.2196
2.99096e-008,1.2202
2.99521e-008,1.1953
2.99945e-008,1.1785
3.00369e-008,1.1833
